"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_RES-02_1","A","L2","Conceptual","The student believed that recency of research is the sole criterion for evidence-based practice.","understanding of evidence-based practice components"
"PQ_RES-02_1","C","L2","Conceptual","The student believed that personal belief is sufficient for evidence-based practice.","Understanding of evidence-based practice components"
"PQ_RES-02_1","D","L3","Conceptual","The student believed that EBP requires conducting new research for each case.","understanding of evidence-based practice components"
"PQ_RES-02_2","A","L1","Conceptual","The student believed that claims in advertisements are sufficient evidence of effectiveness.","Evaluating research claims in educational interventions"
"PQ_RES-02_2","B","L2","Conceptual","The student believed that all magazine advertisements are inherently unreliable for educational interventions.","Evaluating credibility of educational research claims"
"PQ_RES-02_2","D","L2","Procedural","The student believed that anecdotal evidence from peers is sufficient to evaluate an intervention's effectiveness.","Evaluating educational interventions using empirical research"
"PQ_RES-02_3","A","L1","Conceptual","The student believed that meta-analysis evaluates research quality rather than just synthesizing effect sizes.","meta-analysis purpose and scope"
"PQ_RES-02_3","C","L1","Conceptual","The student believed that meta-analysis is primarily about identifying consistent patterns and effectiveness.","Understanding of meta-analysis primary function"
"PQ_RES-02_3","D","L2","Conceptual","The student believed meta-analysis primarily contextualizes individual studies rather than focusing on statistical synthesis.","meta-analysis statistical synthesis focus"
"PQ_RES-02_4","A","L1","Conceptual","The student believed that any positive effect size indicates high effectiveness.","Understanding effect size interpretation"
"PQ_RES-02_4","C","L2","Conceptual","The student believed that any effect size below 0.5 is negligible and not worth considering.","Interpretation of effect size magnitude"
"PQ_RES-02_4","D","L1","Conceptual","The student believed that any positive effect size indicates superiority over all other interventions.","Understanding effect size interpretation in meta-analysis"
"PQ_RES-02_5","A","L3","Conceptual","The student believed that narrative reviews require more time than systematic reviews.","systematic review methodology"
"PQ_RES-02_5","B","L2","Conceptual","The student believed that the quality of studies is inherently lower in narrative reviews.","Understanding of review methodology quality control"
"PQ_RES-02_5","D","L3","Conceptual","The student believed that narrative reviews have a requirement to include unpublished studies.","Understanding narrative review methodology"
"PQ_RES-02_6","A","L2","Conceptual","The student believed the gap is about educational materials updating slowly.","understanding of research-to-practice gap concept"
"PQ_RES-02_6","C","L2","Conceptual","The student believed that the research-to-practice gap is due to logistical barriers in conducting school-based research.","Understanding of research-to-practice gap causes"
"PQ_RES-02_6","D","L2","Conceptual","The student believed that the gap is due to practitioners ignoring research in favor of intuition.","Research-to-practice gap definition"
"PQ_RES-02_7","A","L3","Conceptual","The student believed that research fraud is a common reason for intervention failure.","Understanding of research validity and reliability"
"PQ_RES-02_7","B","L1","Conceptual","The student believed that research findings are invalid if not replicated in every setting.","understanding of external validity in research"
"PQ_RES-02_7","D","L3","Conceptual","The student believed that school psychology lacks a foundation in research and evidence.","Understanding evidence-based practice in school psychology"
"PQ_RES-02_8","B","L2","Conceptual","The student believed that ESSA's Evidence Tiers relate to financial incentives for schools.","ESSA Evidence Tiers definition"
"PQ_RES-02_8","C","L2","Conceptual","The student believed ESSA Evidence Tiers categorize schools by test scores.","ESSA Evidence Tiers definition"
"PQ_RES-02_8","D","L3","Conceptual","The student believed that ESSA Evidence Tiers relate to teacher qualifications.","ESSA Evidence Tiers definition"
