"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_ETH-02_1","A","L2","Conceptual","The student believed that being incorrect is sufficient for malpractice.","Elements of professional malpractice in school psychology"
"PQ_ETH-02_1","C","L2","Conceptual","The student believed that intent to harm is necessary for malpractice.","understanding elements of professional malpractice"
"PQ_ETH-02_1","D","L3","Conceptual","The student believed that school psychologists are responsible for any issue a student faces.","understanding of professional malpractice criteria"
"PQ_ETH-02_2","A","L1","Conceptual","The student believed that the standard of care requires perfection in practice.","standard of care definition in school psychology"
"PQ_ETH-02_2","C","L2","Conceptual","The student believed that the standard of care involves using the most advanced practices regardless of evidence.","standard of care definition in school psychology"
"PQ_ETH-02_2","D","L3","Conceptual","The student believed that the standard of care allows for personal discretion without evidence-based justification.","Professional ethics in decision-making"
"PQ_ETH-02_3","A","L3","Conceptual","The student believed that case notes have no legal importance in school psychology.","Legal significance of case notes in school psychology"
"PQ_ETH-02_3","C","L2","Conceptual","The student believed that case notes are primarily for personal use and memory aid.","legal and ethical purposes of case notes"
"PQ_ETH-02_3","D","L2","Conceptual","The student believed that vagueness in notes is necessary to ensure privacy.","ethical guidelines for documentation clarity"
"PQ_ETH-02_4","A","L2","Conceptual","The student believed that only the person who directly made the error is liable.","vicarious liability in supervisory roles"
"PQ_ETH-02_4","B","L1","Conceptual","The student believed that the supervisor is solely responsible for the trainee's actions.","Vicarious liability in supervisory relationships"
"PQ_ETH-02_4","D","L2","Conceptual","The student believed that institutional liability absolves individuals of responsibility.","vicarious liability in educational settings"
"PQ_ETH-02_5","A","L2","Conceptual","The student believed that supervision involves assessing different skills separately.","Discrimination model of supervision"
"PQ_ETH-02_5","C","L2","Conceptual","The student believed that matching challenge level and support is based on competence.","Competence-based supervision model characteristics"
"PQ_ETH-02_5","D","L3","Lexical","The student believed that 'standard model' refers to a model tailored to developmental stages.","Understanding of supervision model types"
"PQ_ETH-02_6","A","L1","Conceptual","The student believed that a degree alone ensures competence in all tasks.","supervision competence assessment protocol"
"PQ_ETH-02_6","C","L2","Conceptual","The student believed that testing abilities is a valid supervisory strategy.","supervisory assessment delegation protocol"
"PQ_ETH-02_6","D","L2","Conceptual","The student believed that supervisees are best judges of their own capabilities.","supervision responsibility in competence assessment"
"PQ_ETH-02_7","A","L1","Conceptual","The student believed that missing a triennial reevaluation is a minor issue without legal impact.","IDEA compliance requirements for reevaluations"
"PQ_ETH-02_7","C","L2","Conceptual","The student believed that procedural violations only occur if parents take action.","IDEA procedural safeguards understanding"
"PQ_ETH-02_7","D","L3","Conceptual","The student believed that delays in reevaluations are common and acceptable in schools.","IDEA reevaluation timeline requirements"
"PQ_ETH-02_8","A","L1","Conceptual","The student believed that worsening of a condition automatically implies liability.","legal standards for professional liability"
"PQ_ETH-02_8","D","L2","Conceptual","The student believed liability depends on who implements the intervention.","understanding of professional liability standards"
"PQ_ETH-02_9","A","L2","Procedural","The student believed that termination is the correct response to any supervisee error.","Appropriate supervisory response to supervisee errors"
"PQ_ETH-02_9","C","L3","Conceptual","The student believed that ignoring the error would prevent further issues.","Ethical response to supervisee errors"
"PQ_ETH-02_9","D","L2","Conceptual","The student believed that public accountability is necessary for supervisee errors.","Ethical guidelines for supervision feedback"
"PQ_ETH-02_10","A","L2","Procedural","The student believed that records are only needed for immediate use within the current school year.","record retention policy for psychological records"
"PQ_ETH-02_10","C","L3","Conceptual","The student believed that record retention depends on individual memory.","legal requirements for record retention"
"PQ_ETH-02_10","D","L3","Conceptual","School records should not be kept in written form at all.","FERPA record retention guidelines"
"PQ_ETH-02_11","A","L2","Conceptual","The student believed that informality of text messages negates any liability concerns.","understanding of digital communication confidentiality risks"
"PQ_ETH-02_11","C","L2","Conceptual","The student believed that liability concerns only arise with diagnostic information.","Understanding of confidentiality in digital communication"
"PQ_ETH-02_11","D","L3","Conceptual","The student believed that all digital communications are inherently secure and protected.","Understanding digital communication confidentiality risks"
"PQ_ETH-02_12","A","L2","Conceptual","The student believed that unsecured assessment materials are not a significant concern.","ethical standards for test security"
"PQ_ETH-02_12","C","L2","Conceptual","The student believed that a breach occurs only if unauthorized access is confirmed.","ethical standards for test security"
"PQ_ETH-02_12","D","L2","Conceptual","The student believed that the responsibility for securing assessment materials lies solely with custodial staff.","ethical responsibility for test security"
"PQ_ETH-02_13","A","L1","Conceptual","The student believed that credibility and objectivity are the primary concerns in legal liability.","Understanding of legal implications of subjective language"
"PQ_ETH-02_13","C","L2","Conceptual","The student believed that legal liability primarily arises from discrimination claims.","legal implications of subjective language in documentation"
"PQ_ETH-02_13","D","L1","Conceptual","The student believed that ethical documentation standards are the primary concern in liability issues.","Understanding of legal liability versus ethical standards"
"PQ_ETH-02_14","A","L1","Conceptual","The student believed FERPA requirements only apply to school psychologists.","FERPA applicability to all educational staff"
"PQ_ETH-02_14","C","L2","Conceptual","The student believed FERPA requirements are limited to the academic calendar.","FERPA year-round confidentiality requirement"
"PQ_ETH-02_14","D","L2","Conceptual","The student believed that clinical notes are not part of educational records under FERPA.","FERPA definition of educational records"
"PQ_ETH-02_15","A","L2","Conceptual","The student believed that legal obligations override ethical considerations.","ethical guidelines for court testimony"
"PQ_ETH-02_15","C","L1","Conceptual","The student believed that loyalty to the school or student overrides ethical obligations.","ethical standards for court testimony"
"PQ_ETH-02_15","D","L2","Conceptual","The student believed that refusing to testify is a valid way to avoid liability.","legal obligations of expert witnesses"
"PQ_ETH-02_16","A","L2","Conceptual","The student believed that the supervisee's independent actions absolve the supervisor of liability.","Supervisor liability for inadequate supervision"
"PQ_ETH-02_16","C","L2","Conceptual","The student believed liability requires explicit instructions to ignore protocols.","Supervisor liability for inadequate supervision"
"PQ_ETH-02_16","D","L2","Conceptual","The student believed supervisors are shielded from personal liability when delegating to credentialed staff.","Supervisor liability in delegation of duties"
"PQ_ETH-02_17","A","L2","Conceptual","The student believed that using technical jargon enhances the credibility of the report.","Effective communication in psychological reports"
"PQ_ETH-02_17","C","L2","Conceptual","The student believed that omitting negative findings is beneficial for the family's emotional well-being.","Ethical reporting of assessment results"
"PQ_ETH-02_17","D","L2","Conceptual","The student believed that providing raw data is sufficient for transparency.","Effective communication of assessment results"
"PQ_ETH-02_18","A","L2","Conceptual","The student believed liability insurance covers all types of professional errors.","scope of liability insurance coverage"
"PQ_ETH-02_18","C","L2","Conceptual","The student believed liability insurance covers all actions without exceptions.","scope of professional liability insurance"
"PQ_ETH-02_18","D","L3","Conceptual","The student believed that liability insurance does not cover any school-related activities.","Scope of liability insurance coverage"
"PQ_ETH-02_19","A","L3","Conceptual","The student believed that school psychologists are exempt from mandatory reporting laws.","Understanding of mandatory reporting obligations"
"PQ_ETH-02_19","C","L2","Conceptual","The student believed liability arises only if the abuse continues and is not stopped.","mandatory reporting immediate obligation"
"PQ_ETH-02_19","D","L2","Conceptual","The student believed liability arises only when the school board is informed.","mandatory reporting legal obligations"
