"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_ACA-02_1","A","L1","Conceptual","The student believed that accommodations change the fundamental learning expectations.","Difference between accommodations and modifications"
"PQ_ACA-02_1","C","L1","Conceptual","The student believed that accommodations maintain rigor without altering expectations.","Distinction between accommodation and modification"
"PQ_ACA-02_1","D","L3","Conceptual","The student believed that accommodations involve creating a separate curriculum.","IEP accommodation versus modification distinction"
"PQ_ACA-02_2","A","L1","Conceptual","The student believed that extended time changes the nature of the test itself.","Distinction between accommodations and modifications"
"PQ_ACA-02_2","C","L3","Conceptual","The student believed that extended time changes the educational content itself.","Distinction between accommodations and curriculum modifications"
"PQ_ACA-02_2","D","L2","Conceptual","The student believed that extended time requires specialized instruction from special education staff.","Understanding accommodations versus special education services"
"PQ_ACA-02_3","A","L2","Procedural","The student believed that extra time alone would accommodate the intellectual disability.","curriculum modification for intellectual disabilities"
"PQ_ACA-02_3","C","L3","Conceptual","The student believed that seating arrangements are a curriculum modification.","curriculum modification strategies for intellectual disabilities"
"PQ_ACA-02_3","D","L2","Conceptual","The student believed that providing a calculator compensates for the intellectual disability.","Curriculum modification for intellectual disabilities"
"PQ_ACA-02_4","B","L1","Conceptual","The student believed reducing workload is an accommodation, not a modification.","distinction between accommodations and modifications"
"PQ_ACA-02_4","C","L1","Conceptual","The student believed that simplifying language does not alter the standard.","Understanding accommodation versus modification"
"PQ_ACA-02_4","D","L1","Conceptual","The student believed that changing the format of assessment does not alter the standard.","Understanding accommodation versus modification"
"PQ_ACA-02_5","A","L1","Conceptual","The student believed that using text-to-speech changes the learning expectations.","Difference between accommodations and modifications"
"PQ_ACA-02_5","C","L2","Conceptual","The student believed that using assistive technology necessitates special education placement.","IDEA assistive technology provisions"
"PQ_ACA-02_5","D","L2","Conceptual","The student believed that using text-to-speech software means the student is not required to read.","Understanding accommodations versus exemptions"
"PQ_ACA-02_6","A","L1","Conceptual","The student believed accommodations are meant to simplify the test content.","purpose of Section 504 accommodations"
"PQ_ACA-02_6","C","L2","Conceptual","The student believed that accommodations are meant to exempt students from assessments.","Purpose of Section 504 accommodations"
"PQ_ACA-02_6","D","L3","Conceptual","The student believed that receiving accommodations implies a learning disability diagnosis.","Section 504 eligibility criteria"
"PQ_ACA-02_7","A","L1","Conceptual","Universal Design for Learning is only applicable to students with disabilities.","Universal Design for Learning principles"
"PQ_ACA-02_7","C","L2","Conceptual","UDL involves making changes to curriculum standards based on specific situations.","Universal Design for Learning core principles"
"PQ_ACA-02_7","D","L3","Conceptual","The student believed UDL is synonymous with special education curriculum.","Universal Design for Learning principles"
"PQ_ACA-02_8","A","L1","Conceptual","The student believed that changes in materials always alter the content learned.","Difference between accommodations and modifications"
"PQ_ACA-02_8","C","L2","Conceptual","The student believed that large-print textbooks are considered assistive technology.","IDEA definition of accommodations versus assistive technology"
"PQ_ACA-02_8","D","L3","Conceptual","The student believed that needing large-print materials indicates an intellectual disability.","Characteristics of visual impairment"
"PQ_ACA-02_9","A","L3","Conceptual","The student believed that an accommodation eliminates the need to complete the task.","Purpose of IEP accommodations"
"PQ_ACA-02_9","B","L2","Conceptual","The student believed that typing is not considered a form of writing.","IEP accommodation purpose understanding"
"PQ_ACA-02_9","D","L2","Conceptual","The student believed that using a word processor is a direct indicator of dysgraphia.","Understanding IEP accommodation rationales"
"PQ_ACA-02_10","A","L1","Conceptual","The student believed that any change aiding success is an accommodation.","Difference between accommodations and modifications"
"PQ_ACA-02_10","C","L3","Lexical","The student believed that any tool or change aiding learning is assistive technology.","Definition of assistive technology in education"
"PQ_ACA-02_10","D","L2","Conceptual","The student believed that modifying curriculum equates to removing the student from the general curriculum.","Understanding curriculum modification versus removal"
"PQ_ACA-02_11","A","L3","Conceptual","The student believed that a one-size-fits-all approach is effective for special education.","Individualized Education Program (IEP) customization"
"PQ_ACA-02_11","C","L2","Conceptual","The student believed that more accommodations always lead to better outcomes.","Individualized Education Program (IEP) accommodation planning"
"PQ_ACA-02_11","D","L2","Conceptual","The student believed that fewer accommodations help integrate students better into general education.","Least restrictive environment principle"
"PQ_ACA-02_12","A","L1","Conceptual","The student believed that maintaining the current accommodation is always beneficial.","data-driven decision-making in accommodations"
"PQ_ACA-02_12","C","L1","Conceptual","The student believed that removing support would automatically foster independence.","gradual release of responsibility model"
"PQ_ACA-02_12","D","L2","Conceptual","The student believed that increasing the intensity of the same intervention would automatically lead to improved outcomes.","RTI intervention effectiveness evaluation"
"PQ_ACA-02_13","A","L3","Conceptual","Students believed FAPE requires uniform accommodations for all students with disabilities.","Individualized Education Program (IEP) customization"
"PQ_ACA-02_13","C","L2","Conceptual","The student believed that FAPE prioritizes cost-efficiency over individualized student needs.","IDEA requirements for individualized education programs"
"PQ_ACA-02_13","D","L2","Conceptual","The student believed FAPE only covers academic skills, excluding behavioral and social-emotional supports.","IDEA comprehensive support requirements"
"PQ_ACA-02_14","A","L2","Conceptual","The student believed that modifications are the same as accommodations.","Difference between accommodations and modifications"
"PQ_ACA-02_14","C","L2","Conceptual","The student believed that any modification inherently violates LRE principles.","Understanding LRE in context of modifications"
"PQ_ACA-02_14","D","L2","Conceptual","The student believed that modifications inherently lower expectations and should be avoided.","Understanding of appropriate use of modifications"
"PQ_ACA-02_15","A","L1","Conceptual","The student believed that accommodations should simplify the test content.","Purpose of testing accommodations"
"PQ_ACA-02_15","D","L3","Procedural","The student believed that the psychologist has the sole authority to decide accommodations.","IEP team decision-making process"
"PQ_ACA-02_16","A","L1","Conceptual","The student believed that excusing verbal participation fully accommodates a speech disability.","Understanding of inclusive participation strategies"
"PQ_ACA-02_16","C","L3","Conceptual","The student believed that forcing participation would improve speech skills.","Understanding of appropriate accommodations for speech disabilities"
"PQ_ACA-02_16","D","L2","Conceptual","The student believed that segregating students with similar disabilities is beneficial.","Least Restrictive Environment principle"
"PQ_ACA-02_17","A","L2","Conceptual","The student believed that scaffolding is a fixed support system like accommodations.","temporary nature of scaffolding in instruction"
"PQ_ACA-02_17","D","L2","Conceptual","The student believed scaffolding involves altering the curriculum standards.","understanding of scaffolding versus curriculum modification"
