"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_SWP-02_1","A","L1","Conceptual","The student believed that grade retention leads to significant long-term academic improvement.","Research findings on grade retention outcomes"
"PQ_SWP-02_1","C","L2","Conceptual","The student believed that retention has subject-specific effects, improving math but not reading.","Subject-specific impact of grade retention"
"PQ_SWP-02_1","D","L2","Conceptual","The student believed that teacher quality is the sole factor influencing retention outcomes.","Impact of grade retention on long-term academic outcomes"
"PQ_SWP-02_2","A","L2","Conceptual","The student believed that advancing to the next grade without intervention helps catch up academically.","understanding of effective intervention strategies"
"PQ_SWP-02_2","C","L1","Conceptual","The student believed that repeating a grade ensures mastery of content.","Research on retention vs. intervention effectiveness"
"PQ_SWP-02_2","D","L2","Conceptual","The student believed that placing students in lower academic groups would provide targeted support.","Differentiated instruction strategies"
"PQ_SWP-02_3","A","L1","Conceptual","The student believed that academic redshirting is always advantageous for all young children.","Nuanced understanding of academic redshirting research"
"PQ_SWP-02_3","C","L2","Conceptual","The student believed that academic redshirting is universally harmful with no potential benefits.","Research findings on academic redshirting outcomes"
"PQ_SWP-02_4","A","L2","Conceptual","The student believed that testing policies and retention decisions operate independently.","Impact of high-stakes testing on retention rates"
"PQ_SWP-02_4","C","L2","Conceptual","The student believed that high-stakes testing directly leads to better teaching methods, thus reducing retention rates.","Impact of high-stakes testing on educational outcomes"
"PQ_SWP-02_4","D","L2","Conceptual","The student believed that retention decisions are based only on student performance metrics.","Impact of educational policy on retention decisions"
"PQ_SWP-02_5","B","L1","Conceptual","The student believed that repeating a grade without instructional changes would improve outcomes.","Research on effectiveness of grade retention"
"PQ_SWP-02_5","C","L2","Conceptual","The student believed that advancing a struggling student could encourage them to catch up.","understanding of appropriate interventions for struggling students"
"PQ_SWP-02_5","D","L3","Conceptual","The student believed that removing a struggling student from general education would improve their performance.","Inclusion benefits for struggling students"
"PQ_SWP-02_6","A","L1","Conceptual","The student believed that rigid tracking is universally beneficial for student achievement.","Impact of tracking on student achievement disparities"
"PQ_SWP-02_6","C","L2","Conceptual","The student believed that tracking is a neutral practice with no effect on student outcomes.","Impact of tracking on student achievement"
"PQ_SWP-02_6","D","L2","Conceptual","The student believed that any form of grouping in education is detrimental.","Differentiated instruction benefits"
"PQ_SWP-02_7","A","L1","Conceptual","The student believed that detracking universally benefits all students if teachers are well-supported.","Research findings on detracking outcomes"
"PQ_SWP-02_7","C","L2","Conceptual","The student believed detracking inherently disadvantages gifted students without proper curriculum adjustments.","impact of detracking on gifted students"
"PQ_SWP-02_7","D","L2","Conceptual","The student believed detracking is mainly about equity without academic impact.","Research findings on detracking outcomes"
"PQ_SWP-02_8","A","L1","Conceptual","The student believed that retention policies always lead to significant improvements.","Research findings on grade retention effects"
"PQ_SWP-02_8","C","L2","Conceptual","The student believed that mandatory retention policies are ineffective in changing academic outcomes.","Impact of retention policies on student achievement"
"PQ_SWP-02_8","D","L2","Conceptual","The student believed that retention policies benefit only students who are already performing well.","Impact of retention policies on diverse student groups"
"PQ_SWP-02_9","A","L3","Conceptual","The student believed the Joplin Plan was related to student retention policies.","Understanding of the Joplin Plan's focus on desegregation"
"PQ_SWP-02_9","B","L2","Conceptual","The student believed the Joplin Plan was related to tracking and segregation issues.","Joplin Plan's impact on classroom segregation"
"PQ_SWP-02_9","D","L3","Conceptual","The student believed the Joplin Plan involved mandatory summer school for all students.","Understanding of the Joplin Plan's focus on desegregation"
"PQ_SWP-02_10","A","L3","Conceptual","The student believed that education policies have no impact on criminal justice outcomes.","School-to-prison pipeline research findings"
"PQ_SWP-02_10","C","L2","Conceptual","The student believed retention helps by identifying and managing problem students.","Negative effects of grade retention on student outcomes"
"PQ_SWP-02_10","D","L1","Conceptual","The student believed that tracking inherently benefits all students by tailoring education to their abilities.","Negative impacts of tracking on student outcomes"
"PQ_SWP-02_11","A","L2","Conceptual","The student believed that academic performance alone determines retention decisions.","comprehensive retention decision-making criteria"
