"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_ACA-09_1","A","L1","Conceptual","The student believed that recovery from TBI is predictable and quick.","TBI recovery and educational accommodations"
"PQ_ACA-09_1","C","L2","Procedural","The student believed that immediate special education evaluation is necessary for TBI cases.","TBI re-entry assessment protocol"
"PQ_ACA-09_1","D","L3","Conceptual","The student believed that missing school time automatically necessitates grade repetition.","TBI recovery and educational reintegration strategies"
"PQ_ACA-09_2","A","L1","Conceptual","The student believed that diabetes management is primarily a shared responsibility among all parties, including parents.","Role of school psychologist in diabetes management"
"PQ_ACA-09_2","C","L2","Conceptual","The student believed that the school psychologist's role includes ensuring participation in physical activities.","Role of school psychologist in IEP implementation"
"PQ_ACA-09_2","D","L2","Procedural","The student believed that the school psychologist has no role in diabetes management.","collaborative role of school psychologist in health management"
"PQ_ACA-09_3","A","L2","Conceptual","Students with FASD are unable to attend school due to severe intellectual disability.","Understanding FASD educational impact"
"PQ_ACA-09_3","B","L2","Conceptual","The student believed FASD is characterized by strong abstract reasoning skills.","FASD cognitive and behavioral profile"
"PQ_ACA-09_3","D","L3","Conceptual","Students with FASD can have highly superior cognitive abilities.","FASD cognitive and behavioral profile"
"PQ_ACA-09_4","A","L1","Conceptual","The student believed that absence seizures do not interfere with cognitive processes or learning.","Impact of absence seizures on attention and learning"
"PQ_ACA-09_4","B","L3","Conceptual","The student believed that absence seizures lead to aggressive behavior.","Characteristics of absence seizures"
"PQ_ACA-09_4","D","L2","Conceptual","Absence seizures only impact students who already have intellectual disabilities.","Understanding of absence seizures' impact on all students"
"PQ_ACA-09_5","B","L1","Conceptual","The student believed that the cognitive effects of chemotherapy are due to personal character flaws.","Understanding cancer-related cognitive impairment"
"PQ_ACA-09_5","C","L2","Conceptual","The student believed that chemotherapy side effects are classified as a learning disability.","Differentiating medical and educational diagnoses"
"PQ_ACA-09_5","D","L3","Conceptual","The student believed that emotional immaturity is a cognitive effect of chemotherapy.","Understanding cognitive effects of chemotherapy"
"PQ_ACA-09_6","A","L2","Conceptual","The student believed that chronic hypoxia from asthma is a primary cause of intellectual disability.","Impact of chronic hypoxia on cognitive development"
"PQ_ACA-09_6","B","L2","Conceptual","The student believed that poor glycemic control in adolescence can lead to intellectual disability.","Impact of early childhood conditions on brain development"
"PQ_ACA-09_6","D","L3","Conceptual","The student believed that seasonal allergies could significantly impact brain development.","Impact of chronic inflammation on cognitive development"
"PQ_ACA-09_7","A","L1","Conceptual","The student believed that extensive accommodations are a requirement for a 504 plan.","Section 504 eligibility criteria"
"PQ_ACA-09_7","C","L2","Conceptual","The student believed that automatic qualification under IDEA is necessary for a 504 plan.","IDEA vs. Section 504 eligibility criteria"
"PQ_ACA-09_7","D","L2","Conceptual","The student believed that any condition limiting a major life activity qualifies for a 504 plan.","Understanding 504 plan eligibility criteria"
