"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_DIV-05_1","A","L3","Conceptual","The student believed that ELL students should not be evaluated for special education services.","IDEA evaluation requirements for ELL students"
"PQ_DIV-05_1","C","L3","Conceptual","The student believed that ELL students should not be evaluated for special education needs.","IDEA evaluation requirements for ELL students"
"PQ_DIV-05_1","D","L3","Conceptual","The student believed that evaluations must be conducted solely in English to maintain consistency.","IDEA requirement for evaluations in native language"
"PQ_DIV-05_2","A","L1","Conceptual","The student believed that language barriers exempt ELL students from special education evaluation.","IDEA evaluation requirements for ELL students"
"PQ_DIV-05_2","C","L2","Conceptual","The student believed that services must be provided only in English to promote language acquisition.","IDEA language support requirements for ELL students"
"PQ_DIV-05_2","D","L3","Conceptual","The student believed that federal law mandates English-only instruction for ELL students.","Lau v. Nichols decision on language instruction"
"PQ_DIV-05_3","A","L3","Conceptual","The student believed that disabilities disqualify students from gifted programs.","IDEA provisions for twice-exceptional students"
"PQ_DIV-05_3","B","L2","Conceptual","The student believed that ADHD can be 'fixed' through remediation alone.","Understanding of ADHD as a lifelong condition"
"PQ_DIV-05_3","D","L1","Conceptual","The student believed that being gifted negates the need for special education services.","IDEA provisions for twice-exceptional students"
"PQ_DIV-05_4","A","L1","Procedural","The student believed that immediate referral is required for suspected disabilities.","RTI pre-referral intervention process"
"PQ_DIV-05_4","C","L1","Conceptual","The student believed that socioeconomic status alone can explain academic difficulties.","IDEA child find requirement"
"PQ_DIV-05_4","D","L2","Conceptual","The student believed that private assessments are preferable to school evaluations for low-income families.","IDEA Child Find obligation"
"PQ_DIV-05_5","A","L1","Conceptual","The student believed that assessment bias is the sole factor affecting identification accuracy.","understanding of factors affecting special education identification"
"PQ_DIV-05_5","C","L2","Conceptual","The student believed that disproportionality is solely due to systemic bias and cultural factors.","understanding of assessment bias impact on identification rates"
"PQ_DIV-05_5","D","L2","Conceptual","The student believed that focusing solely on accurate assessment is the primary concern, ignoring systemic biases.","culturally responsive assessment practices"
"PQ_DIV-05_6","A","L1","Conceptual","The student believed that socioeconomic status should dictate lower academic expectations.","IDEA requirement for high expectations"
"PQ_DIV-05_6","C","L2","Conceptual","The student believed that economic constraints justify limiting educational goals to survival skills.","IDEA requirements for IEP goal setting"
