"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_ACA-08_1","A","L1","Lexical","Student assumed that 'Long-term memory encoding and retrieval' is the best match, showing confusion about the stem's demand in 'According to Barkley's model, ADHD is best conceptualized as a disorder of' and misidentifying what the item is truly asking them to preserve or prioritize.","Precise construct boundaries for selecting the correct framework in school psychology scenarios"
"PQ_ACA-08_1","C","L2","Conceptual","Student assumed that 'Visual-spatial processing' is the best match, showing confusion about the stem's demand in 'According to Barkley's model, ADHD is best conceptualized as a disorder of' and misidentifying what the item is truly asking them to preserve or prioritize.","Precise construct boundaries for selecting the correct framework in school psychology scenarios"
"PQ_ACA-08_1","D","L3","Conceptual","Student assumed that 'Semantic knowledge organization' is the best match, showing confusion about the stem's demand in 'According to Barkley's model, ADHD is best conceptualized as a disorder of' and misidentifying what the item is truly asking them to preserve or prioritize.","Precise construct boundaries for selecting the correct framework in school psychology scenarios"
"PQ_ACA-08_2","A","L1","Conceptual","Student assumed that 'Working memory (holding information in mind temporarily)' is the best match, showing confusion about the stem's demand in 'A second-grader frequently loses his backpack, forgets homework assignments, and cannot organize' and misidentifying what the item is truly asking them to preserve or prioritize.","Family-school partnership principles: collaborative communication, role clarity, and shared decision-making"
"PQ_ACA-08_2","C","L2","Conceptual","Student assumed that 'Cognitive flexibility (set-shifting)' is the best match, showing confusion about the stem's demand in 'A second-grader frequently loses his backpack, forgets homework assignments, and cannot organize' and misidentifying what the item is truly asking them to preserve or prioritize.","Family-school partnership principles: collaborative communication, role clarity, and shared decision-making"
"PQ_ACA-08_2","D","L3","Conceptual","Student assumed that 'Inhibitory control (response inhibition)' is the best match, showing confusion about the stem's demand in 'A second-grader frequently loses his backpack, forgets homework assignments, and cannot organize' and misidentifying what the item is truly asking them to preserve or prioritize.","Family-school partnership principles: collaborative communication, role clarity, and shared decision-making"
"PQ_ACA-08_3","A","L1","Conceptual","Student assumed that 'Cognitive flexibility and the ability to adapt when shifting between different mental sets, tasks, or problem-solving' is the best match, showing confusion about the stem's demand in 'A student starts a math assignment but abandons it to work on' and misidentifying what the item is truly asking them to preserve or prioritize.","Precise construct boundaries for selecting the correct framework in school psychology scenarios"
"PQ_ACA-08_3","B","L2","Procedural","Student assumed that 'Planning and organization skills, including the ability to break down complex assignments into manageable steps and' is the best match, showing confusion about the stem's demand in 'A student starts a math assignment but abandons it to work on' and misidentifying what the item is truly asking them to preserve or prioritize.","Precise construct boundaries for selecting the correct framework in school psychology scenarios"
"PQ_ACA-08_3","D","L3","Conceptual","Student assumed that 'Working memory capacity and the ability to hold and manipulate information in mind while performing cognitive' is the best match, showing confusion about the stem's demand in 'A student starts a math assignment but abandons it to work on' and misidentifying what the item is truly asking them to preserve or prioritize.","Precise construct boundaries for selecting the correct framework in school psychology scenarios"
"PQ_ACA-08_4","A","L3","Conceptual","Student assumed that 'Only working memory and processing speed, leaving out other essential elements of an effective response.' is the best match, showing confusion about the stem's demand in 'The BRIEF-2 (Behavior Rating Inventory of Executive Function) measures which domains of' and misidentifying what the item is truly asking them to preserve or prioritize.","Precise construct boundaries for selecting the correct framework in school psychology scenarios"
"PQ_ACA-08_4","C","L3","Conceptual","Student assumed that 'Only academic skills and reading fluency, ignoring the other factors that also need to be addressed.' is the best match, showing confusion about the stem's demand in 'The BRIEF-2 (Behavior Rating Inventory of Executive Function) measures which domains of' and misidentifying what the item is truly asking them to preserve or prioritize.","Precise construct boundaries for selecting the correct framework in school psychology scenarios"
