"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_FAM-03_1","B","L2","Procedural","The student believed that the school should wait for external agencies to take the lead.","IDEA proactive collaboration requirement"
"PQ_FAM-03_1","C","L1","Conceptual","The student believed that changing schools is required for foster children to ensure educational stability.","IDEA educational stability provisions for foster children"
"PQ_FAM-03_1","D","L2","Procedural","The student believed that obtaining past records is the first step in collaboration.","IDEA provisions for immediate educational stability"
"PQ_FAM-03_2","A","L2","Conceptual","The student believed an MOU is a legally binding contract for free services.","Understanding the purpose of MOUs in school-community partnerships"
"PQ_FAM-03_2","C","L2","Conceptual","The student believed that an MOU can override legal requirements for individual consent.","FERPA and HIPAA consent requirements"
"PQ_FAM-03_2","D","L2","Conceptual","The student believed an MOU grants the school authority over agency service provision.","MOU limitations on agency service obligations"
"PQ_FAM-03_3","A","L1","Conceptual","The student believed that discussing the allegation with the parent is a priority.","mandatory reporting protocol for suspected abuse"
"PQ_FAM-03_3","C","L2","Procedural","The student believed that legal consultation is required before reporting abuse.","mandatory reporting immediate action requirement"
"PQ_FAM-03_3","D","L1","Procedural","The student believed that confirmation is needed before reporting abuse.","mandatory reporting immediate action requirement"
"PQ_FAM-03_4","A","L1","Conceptual","The student believed that professional judgment alone allows sharing records.","FERPA consent requirements for educational records"
"PQ_FAM-03_4","C","L2","Procedural","The student believed verbal agreements are sufficient for sharing records.","FERPA written consent requirement"
"PQ_FAM-03_4","D","L2","Conceptual","The student believed that being over 18 automatically grants rights to share records.","FERPA consent requirements for adult students"
"PQ_FAM-03_5","A","L1","Conceptual","The student believed that mandatory treatment can be enforced by the school for attendance.","Legal and ethical guidelines for school-based interventions"
"PQ_FAM-03_5","C","L2","Procedural","The student believed that immediate legal intervention is required for suspected substance abuse.","FERPA confidentiality requirements"
"PQ_FAM-03_5","D","L2","Conceptual","The student believed that school-based interventions are sufficient for substance abuse issues.","Collaborative community intervention strategies"
"PQ_FAM-03_6","A","L3","Conceptual","The student believed that FERPA and HIPAA have the same legal standards.","FERPA and HIPAA distinct legal frameworks"
"PQ_FAM-03_6","C","L2","Conceptual","The student believed HIPAA regulations override FERPA in all situations.","FERPA and HIPAA jurisdictional boundaries"
"PQ_FAM-03_6","D","L2","Conceptual","The student believed that HIPAA requirements apply to schools in all collaborations.","FERPA and HIPAA applicability distinctions"
"PQ_FAM-03_7","A","L1","Conceptual","The student believed that sharing detailed disciplinary records is part of collaboration.","FERPA confidentiality requirements"
"PQ_FAM-03_7","C","L2","Conceptual","The student believed that schools can impose additional legal conditions on students with justice involvement.","legal limitations on school-imposed conditions"
"PQ_FAM-03_7","D","L2","Conceptual","The student believed that exclusion from programs is a justified safety measure.","understanding of equitable access to education"
"PQ_FAM-03_8","A","L1","Procedural","The student believed that the receiving district must implement the IEP as is without any review.","IDEA transfer student IEP procedures"
"PQ_FAM-03_8","C","L3","Conceptual","The student believed that the sending district retains responsibility for evaluations after a transfer.","IDEA transfer student evaluation procedures"
"PQ_FAM-03_8","D","L2","Procedural","The student believed that a comprehensive re-evaluation is mandatory before any services can start.","IDEA transfer student service requirements"
"PQ_FAM-03_9","A","L2","Conceptual","The student believed the liaison's role includes direct provision of housing.","McKinney-Vento Act liaison responsibilities"
"PQ_FAM-03_9","C","L2","Conceptual","The student believed that the liaison's role includes managing meal eligibility for homeless students.","McKinney-Vento Act liaison responsibilities"
"PQ_FAM-03_9","D","L3","Conceptual","The student believed that the liaison's role involves law enforcement or regulatory reporting.","McKinney-Vento Act liaison responsibilities"
"PQ_FAM-03_10","A","L1","Procedural","The student believed that verbal sharing without documentation is acceptable in emergencies.","FERPA emergency disclosure procedures"
"PQ_FAM-03_10","C","L1","Conceptual","The student believed that written consent is always required, even in emergencies, without exceptions.","FERPA emergency disclosure exception"
"PQ_FAM-03_10","D","L2","Procedural","The student believed it is acceptable to delay consent until after an emergency.","FERPA emergency disclosure procedures"
"PQ_FAM-03_11","A","L1","Conceptual","The student believed that automatic sharing of all mental health information is necessary for effective crisis intervention.","FERPA confidentiality requirements"
"PQ_FAM-03_11","C","L2","Conceptual","The student believed that school-based interventions must be fully utilized before external referrals.","Interagency collaboration best practices"
"PQ_FAM-03_11","D","L2","Conceptual","The student believed that crisis services should only be involved in immediate emergencies.","comprehensive crisis intervention planning"
"PQ_FAM-03_12","A","L3","Procedural","The student believed school psychologists conduct abuse investigations alone.","CPS collaboration protocols for school psychologists"
"PQ_FAM-03_12","C","L2","Conceptual","The student believed that student consent is always required to share information with CPS.","FERPA exceptions for child welfare cases"
