UNIQUEID,distractor_letter,distractor_tier,distractor_error_type,distractor_misconception,distractor_skill_deficit
"PQ_SAF-04_1","A","L2","Conceptual","The student believed no-suicide or no-harm contracts are the evidence-based intervention for at-risk students, not knowing that research has found such contracts ineffective and that current NASP guidance prioritizes collaborative safety planning with the student's own coping resources.","Evidence base for collaborative safety planning versus ineffectiveness of no-harm contracts"
"PQ_SAF-04_1","C","L2","Procedural","The student believed any student identified at risk for self-harm should be immediately hospitalized, not knowing that hospitalization is reserved for acute imminent risk while collaborative safety planning addresses lower-acuity concerns with the student's coping network.","Matching intervention intensity to risk level versus automatic hospitalization for self-harm risk"
"PQ_SAF-04_1","D","L3","Conceptual","The student believed discussing suicidal ideation directly with at-risk students increases risk by triggering further thoughts, not having learned that direct compassionate inquiry is a core component of evidence-based safety planning and does not increase suicidal behavior.","Direct safety assessment versus myth that discussing suicide increases suicidal behavior"
"PQ_SAF-04_2","A","L1","Conceptual","The student believed initiating individual grief counseling sessions is the primary first-day response after a school tragedy, not recognizing that Psychological First Aid—which precedes structured counseling—prioritizes safety, basic needs, and team coordination before therapeutic intervention.","Psychological First Aid sequencing before structured grief counseling after school tragedy"
"PQ_SAF-04_2","C","L2","Procedural","The student believed the first-day response to a school tragedy requires formal psychological evaluation of all affected students, not knowing that comprehensive assessment is a later-phase activity and that PFA addresses immediate stabilization before formal evaluation begins.","Staged crisis response sequence: PFA stabilization before formal trauma assessment"
"PQ_SAF-04_2","D","L3","Conceptual","The student believed school psychologists should avoid discussing a tragedy directly with students to prevent further distress, not recognizing that age-appropriate accurate communication supports grief processing and reduces the anxiety and misinformation generated by rumors.","Role of age-appropriate information provision in Psychological First Aid versus avoidance"
"PQ_SAF-04_3","A","L2","Conceptual","The student confused postvention with prevention, believing it refers to preventing all future crises rather than the coordinated framework of support, contagion prevention, and grief processing provided after a suicide or death in the school community.","Postvention definition versus prevention terminology in school crisis response"
"PQ_SAF-04_3","C","L3","Conceptual","The student believed postvention refers to collecting post-incident data for legal purposes, not knowing that postvention describes the mental health intervention and grief support system deployed after a suicide or community death to support survivors and prevent contagion.","Postvention as grief support intervention versus legal post-incident data collection"
"PQ_SAF-04_3","D","L2","Conceptual","The student believed postvention involves removing reminders of the deceased to help students move forward, not recognizing that appropriate memorialization and structured grief processing are central components of postvention rather than avoidance of the loss.","Role of appropriate memorialization in postvention versus avoidance-based grief management"
"PQ_SAF-04_4","A","L2","Procedural","The student believed holding large memorial assemblies that extensively discuss a suicide death is appropriate postvention, not knowing that large public assemblies increase suicide contagion risk by elevating the event's prominence among vulnerable students.","Contagion risk of large memorial assemblies versus targeted postvention gatherings"
