"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_LEG-04_1","A","L2","Conceptual","The student believed Brown v. Board of Education addressed funding for private school placements.","IDEA private school placement provisions"
"PQ_LEG-04_1","C","L3","Conceptual","The student believed that the case limited educational rights for students with intellectual disabilities.","Brown v. Board of Education's impact on educational equality"
"PQ_LEG-04_1","D","L2","Conceptual","The student believed that equality in education means identical treatment for all students.","IDEA individualized education program requirements"
"PQ_LEG-04_2","A","L3","Conceptual","The student believed that the case supported exclusion of students with disabilities.","PARC v. Commonwealth of Pennsylvania ruling"
"PQ_LEG-04_2","C","L2","Conceptual","The student believed PARC v. Commonwealth addressed IQ test bias directly.","Understanding PARC v. Commonwealth case focus"
"PQ_LEG-04_2","D","L2","Conceptual","The student believed PARC v. Commonwealth of Pennsylvania addressed parental rights in school placement.","IDEA private school placement regulations"
"PQ_LEG-04_3","A","L1","Conceptual","The student believed that Mills v. Board of Education only applied to intellectual disabilities.","Scope of Mills v. Board of Education ruling"
"PQ_LEG-04_3","C","L2","Conceptual","The student believed that Mills v. Board of Education supported segregation based on disability type.","Least restrictive environment principle"
"PQ_LEG-04_3","D","L1","Conceptual","The student believed that financial constraints justify denying education to students with disabilities.","Mills v. Board of Education financial burden ruling"
"PQ_LEG-04_4","A","L2","Conceptual","The student believed that PASE v. Hannon allowed unrestricted use of IQ tests.","PASE v. Hannon nuanced ruling on IQ test use"
"PQ_LEG-04_4","C","L2","Conceptual","The student believed the cases were differentiated by geographic applicability rather than legal reasoning.","Understanding of case law impact on educational policy"
"PQ_LEG-04_4","D","L3","Conceptual","The student believed that both court cases had the same outcome regarding IQ testing.","Understanding of court case outcomes in special education law"
"PQ_LEG-04_5","A","L3","Conceptual","The student believed that court disagreements nullify all restrictions on IQ test use.","Legal implications of Larry P. vs. PASE decisions"
"PQ_LEG-04_5","C","L2","Conceptual","The student believed that the court rulings universally invalidated IQ tests.","Understanding of court rulings on IQ test validity"
"PQ_LEG-04_5","D","L3","Conceptual","The student believed that IQ tests are inherently biased against students of color.","Cultural bias considerations in IQ testing"
"PQ_LEG-04_6","A","L1","Conceptual","The student believed that FAPE requires schools to maximize each student's potential.","Rowley standard for FAPE"
"PQ_LEG-04_6","C","L3","Conceptual","The student believed that special education should mirror general education without modifications.","IDEA individualized education program requirements"
"PQ_LEG-04_6","D","L2","Conceptual","The student believed that parental requests dictate the IEP content.","IDEA parental involvement guidelines"
"PQ_LEG-04_7","A","L1","Conceptual","The student believed that the Supreme Court decision did not alter the existing Rowley standard.","Endrew F. decision impact on IEP standards"
"PQ_LEG-04_7","C","L3","Conceptual","The student believed that Endrew F. reduced obligations for specialized instruction.","Endrew F. v. Douglas County School District ruling implications"
"PQ_LEG-04_7","D","L2","Conceptual","The student believed that the ruling reduced the obligations of schools.","Endrew F. decision impact on IEP standards"
"PQ_LEG-04_8","A","L2","Conceptual","The student believed that schools have no obligation to provide any medical-related services.","IDEA related services provision"
"PQ_LEG-04_8","C","L2","Conceptual","The student believed that schools have an unlimited obligation to provide any medical service needed by a student.","IDEA related services limitations"
"PQ_LEG-04_8","D","L2","Conceptual","The student believed that IDEA's related services are limited to physical disabilities only.","IDEA related services eligibility criteria"
"PQ_LEG-04_9","A","L2","Conceptual","The student believed Honig v. Doe primarily addressed assessment and evaluation under IDEA.","IDEA eligibility assessment procedures"
"PQ_LEG-04_9","B","L2","Conceptual","The student believed Honig v. Doe primarily addressed procedural safeguards like parent consent in special education.","IDEA procedural safeguards knowledge"
"PQ_LEG-04_9","D","L2","Conceptual","The student believed Honig v. Doe primarily addressed inclusion and placement decisions.","IDEA least restrictive environment provisions"
"PQ_LEG-04_10","A","L2","Conceptual","The student believed that IEP implementation is not relevant to manifestation determination.","IDEA manifestation determination criteria"
"PQ_LEG-04_10","B","L2","Procedural","The student believed that recent evaluations are crucial for manifestation determinations.","Manifestation determination process requirements"
"PQ_LEG-04_10","D","L1","Conceptual","The student believed that the disability-conduct relationship is not crucial for manifestation determination.","Manifestation determination process"
"PQ_LEG-04_11","A","L3","Conceptual","The student believed that public school enrollment is mandatory for all students under IDEA.","IDEA private school tuition reimbursement criteria"
"PQ_LEG-04_11","C","L2","Procedural","Parents must have school district approval before seeking reimbursement for private tuition.","IDEA unilateral placement reimbursement criteria"
"PQ_LEG-04_11","D","L2","Conceptual","The student believed that accreditation and licensing are prerequisites for reimbursement.","IDEA private school placement reimbursement criteria"
"PQ_LEG-04_12","A","L3","Conceptual","The student believed that schools have no obligation to provide any health-related services.","IDEA related services requirements"
"PQ_LEG-04_12","C","L2","Conceptual","The student believed that financial responsibility for related services falls solely on parents.","IDEA related services funding requirements"
"PQ_LEG-04_12","D","L2","Conceptual","The student believed that legal obligations vary based on the size and resources of the school district.","IDEA equitable service provision requirement"
"PQ_LEG-04_13","A","L1","Conceptual","The student believed that schools are always responsible for justifying IEPs.","Burden of proof allocation in IEP disputes"
"PQ_LEG-04_13","B","L1","Conceptual","The student believed that parents always have the responsibility to prove their case in IEP disputes.","Burden of proof allocation in IEP hearings"
"PQ_LEG-04_13","D","L3","Conceptual","The student believed that special education disputes do not involve legal procedures like burden of proof.","Understanding of legal procedures in special education"
"PQ_LEG-04_14","A","L2","Conceptual","The student believed that district-initiated private placement guarantees reimbursement eligibility.","IDEA private school reimbursement criteria"
"PQ_LEG-04_14","B","L2","Conceptual","The student believed that prior agreement to fund private placement is sufficient for reimbursement.","IDEA reimbursement criteria for private placement"
"PQ_LEG-04_14","D","L2","Conceptual","The student believed that district approval of a private school is necessary for reimbursement.","IDEA private school placement reimbursement criteria"
"PQ_LEG-04_15","A","L1","Conceptual","The student believed that procedural compliance with the IEP is the sole determinant of FAPE.","Rowley/Endrew F. standards for FAPE"
"PQ_LEG-04_15","C","L1","Conceptual","The student believed that significant achievement gains are required to prove FAPE compliance.","Rowley/Endrew F. standards for FAPE"
"PQ_LEG-04_15","D","L3","Conceptual","The student believed that academic grades are the sole measure of educational progress.","Comprehensive evaluation of student progress"
"PQ_LEG-04_16","A","L3","Conceptual","The student believed that segregation is necessary for the safety of students with disabilities.","Least restrictive environment principle"
"PQ_LEG-04_16","B","L2","Conceptual","The student believed that legal cases set minimal standards for disability services.","IDEA child find mandate"
"PQ_LEG-04_16","D","L3","Conceptual","The student believed that parental authority overrides all educational decisions without school input.","IDEA procedural safeguards"
"PQ_LEG-04_17","A","L1","Conceptual","The student believed that financial constraints can legally justify reducing IEP services.","IDEA funding requirements for FAPE"
"PQ_LEG-04_17","C","L2","Conceptual","The student believed that financial responsibility for special education services can fall on parents.","IDEA funding responsibility guidelines"
"PQ_LEG-04_17","D","L2","Conceptual","The student believed that private placement is a parental responsibility if public schools lack resources.","IDEA public school placement obligations"
"PQ_LEG-04_18","A","L2","Conceptual","The student believed that legal cases have reduced protections for students with disabilities.","Evolution of special education case law"
"PQ_LEG-04_18","C","L2","Conceptual","The student believed the cases focused solely on disability without considering broader educational equity.","Understanding the evolution of FAPE standards"
"PQ_LEG-04_18","D","L2","Conceptual","The student believed that legal cases reduced parental involvement in special education.","IDEA parental involvement provisions"
"PQ_LEG-04_19","A","L1","Conceptual","The student believed that the school always has the burden of proof in FAPE cases.","Schaffer v. Weast burden of proof ruling"
"PQ_LEG-04_19","C","L2","Conceptual","The student believed that the burden of proof is irrelevant in due process hearings.","Understanding burden of proof in special education law"
"PQ_LEG-04_19","D","L2","Conceptual","The student believed that in due process hearings, both parties have equal responsibility to prove their case.","Schaffer v. Weast burden of proof allocation"
"PQ_LEG-04_20","A","L1","Conceptual","The student believed that federal law allows no exceptions for disciplining students with disabilities.","IDEA discipline procedures for students with disabilities"
"PQ_LEG-04_20","B","L3","Conceptual","The student believed that disability status completely exempts students from any disciplinary action.","IDEA discipline procedures for students with disabilities"
