UNIQUEID,distractor_letter,distractor_tier,distractor_error_type,distractor_misconception,distractor_skill_deficit
PQ_DBD-06_1,A,L1,Conceptual,"The student believed that discrepancies between raters always indicate bias or error in one source, rather than valid setting-specific behavior variation.",Multi-informant assessment interpretation and setting-specific behavior patterns
PQ_DBD-06_1,C,L2,Conceptual,"The student thought that inconsistency across raters demonstrates unreliability of multi-informant assessment, ignoring that setting differences produce valid pattern variation.",Understanding rating scale reliability versus clinical meaningfulness of discrepancies
PQ_DBD-06_1,D,L2,Conceptual,"The student assumed that one rater (teacher) is inherently superior based on setting structure and training, dismissing parent input as less reliable.",Equivalence of parent and teacher behavioral observations across settings
PQ_DBD-06_10,A,L1,Conceptual,"The student believed that single screening scores suffice for ED eligibility decisions, underestimating the need for comprehensive multi-domain assessment.",Comprehensive assessment requirements for special education eligibility determination
PQ_DBD-06_10,C,L2,Conceptual,"The student believed comprehensive assessment was unnecessary if it reduced administrative burden, underestimating the need for multiple domains.",Comprehensive assessment requirements for special education eligibility determination
PQ_DBD-06_10,D,L1,Conceptual,"The student thought parent-only data is adequate for behavioral/emotional diagnosis, dismissing teacher perspective and direct observation as unnecessary.",Multi-informant assessment necessity for behavioral diagnosis across settings
PQ_DBD-06_11,A,L2,Conceptual,The student assumed the profile indicates multiple disorders without recognizing that the high aggression/low internalizing pattern is clinically coherent as externalizing dysfunction.,Interpretation of behavioral rating scale profiles as coherent clinical presentations
PQ_DBD-06_11,C,L3,Conceptual,The student assumed the elevated aggression score indicated deliberate malingering rather than genuine behavioral dyscontrol.,Response validity interpretation in behavioral rating scales
PQ_DBD-06_11,D,L3,Conceptual,"The student treated all profile elevations as equally important, misunderstanding that profile specificity communicates meaningful clinical distinctions.",Differential interpretation of externalizing versus internalizing profile patterns
PQ_DBD-06_12,A,L1,Conceptual,"The student conflated aggression (a problem scale measuring deficits) with adaptive measurement, misunderstanding the BASC-3 problem versus strength scale distinction.",Problem scales versus adaptive scales distinction on BASC-3
PQ_DBD-06_12,B,L1,Conceptual,"The student treated anxiety (a problem scale) as measuring positive behavior, misidentifying the direction of measurement on the BASC-3.",Distinguishing problem behavior scales from adaptive strength scales on BASC-3
PQ_DBD-06_12,D,L1,Conceptual,"The student mistook hyperactivity (a problem scale) as an adaptive strength, confusing the theoretical structure of BASC-3 scale categories.",BASC-3 adaptive scales versus problem scales distinction
PQ_DBD-06_13,A,L2,Procedural,"The student believed the entire rating scale was unreliable when encountering an outlier, rather than investigating patterns.",Investigation of response patterns before dismissing rating scale data
PQ_DBD-06_13,C,L2,Conceptual,The student assumed systematic rater error without investigating whether the unusual profile reflected valid behavioral variation.,Distinguishing rater systematic error from valid response variability patterns
PQ_DBD-06_13,D,L2,Procedural,"The student believed elevated subscales were measurement errors to ignore, rather than recognizing them as clinically meaningful.",Appropriate response to outlier or elevated subscale scores in rating scale interpretation
PQ_DBD-06_14,A,L1,Conceptual,"The student assumed teacher-parent discrepancy reflected bias or limited observation, ignoring legitimate setting-specific behavior.",Setting-specific behavior expression and rater perspective differences across environments
PQ_DBD-06_14,C,L2,Conceptual,"The student assumed both raters misinterpret the same underlying behavior, rather than recognizing that different settings legitimately elicit different behaviors.",Environmental context effects on behavioral expression across settings
PQ_DBD-06_14,D,L1,Conceptual,"The student believed parent and teacher observations lack validity without formal assessment tools, dismissing observational data.",Validity of parent and teacher behavioral observations in clinical assessment
PQ_DBD-06_15,A,L1,Procedural,"The student believed rating scales alone provided sufficient assessment data, neglecting multi-method triangulation.",Multi-method triangulation in behavioral assessment
PQ_DBD-06_15,C,L2,Conceptual,"The student thought rating scales were inherently more valid than other methods, misunderstanding complementary rather than hierarchical integration.",Appropriate weighting and integration of multiple assessment methods
PQ_DBD-06_15,D,L2,Procedural,"The student assumed rating scales should be discarded when contradicting observation, rather than reconciling complementary discrepancies.",Integration of discrepant findings across assessment methods
PQ_DBD-06_16,A,L2,Conceptual,"The student concluded the entire test is invalid due to inconsistent responding, rather than questioning response validity while preserving interpretable subscales.",Distinguishing response validity concerns from test invalidity
PQ_DBD-06_16,B,L1,Conceptual,"The student believed inconsistent responding indicated no behavioral concerns existed, misinterpreting validity questions as absence of problems.",Response validity interpretation in behavioral assessment
PQ_DBD-06_16,D,L3,Procedural,The student thought selective interpretation of clear subscales was appropriate despite unresolved validity questions.,Response pattern investigation before selective interpretation of rating scales
PQ_DBD-06_17,A,L2,Conceptual,"The student inferred intact social ability from low withdrawal scores alone, ignoring concurrent deficits in social skills.",Integration of withdrawal and social skills scores to identify avoidance with deficits
PQ_DBD-06_17,C,L2,Conceptual,"The student believed high withdrawal and low skill scores indicate social competence and extroversion, misunderstanding the inverse relationship of withdrawal and positive social adjustment.",Correct interpretation of low social skills and high withdrawal profile scores
PQ_DBD-06_17,D,L2,Conceptual,The student assumed the coherent profile indicated invalidity rather than recognizing withdrawal plus low skills as clinically meaningful.,Interpreting coherent profile patterns versus attributing inconsistency to invalidity
PQ_DBD-06_18,A,L1,Conceptual,"The student treated preliminary rating scale findings as confirmed diagnostic conclusions, overstating the strength of evidence provided by single measures.",Appropriate framing of rating scale findings as preliminary indicators
PQ_DBD-06_18,C,L2,Conceptual,"The student believed rating scales were merely opinions, dismissing their validity as standardized instruments.",Recognition of rating scale validity within appropriate interpretive bounds
PQ_DBD-06_18,D,L1,Conceptual,"The student thought rating scale scores prove disability, overstating evidentiary strength without integration.",Appropriate causal and evidentiary language for behavioral assessment findings
PQ_DBD-06_19,A,L2,Conceptual,"The student assumed elementary rating scales applied equally to kindergarten, ignoring developmental appropriateness.",Developmental appropriateness of rating scale content and norms
PQ_DBD-06_19,C,L1,Conceptual,"The student believed rating scales were inappropriate for young children, misconceiving that developmentally-matched scales provide valid data.",Validity of rating scales for early childhood behavioral assessment
