"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_LEG-01_1","A","L1","Conceptual","The student believed FERPA applies universally to all schools.","FERPA applicability criteria"
"PQ_LEG-01_1","C","L2","Conceptual","The student believed FERPA applies exclusively to private schools.","FERPA applicability to funding sources"
"PQ_LEG-01_1","D","L3","Conceptual","The student believed FERPA applies based on the size of the student body.","FERPA applicability criteria"
"PQ_LEG-01_2","A","L2","Conceptual","The student believed that educational records are limited to academic performance data.","FERPA educational record definition"
"PQ_LEG-01_2","C","L2","Conceptual","The student believed that FERPA limits educational records to those created by teachers.","FERPA definition of educational records"
"PQ_LEG-01_2","D","L3","Conceptual","The student believed that FERPA covers records about students' family members.","FERPA definition of educational records"
"PQ_LEG-01_3","A","L1","Conceptual","The student believed that any note taken by school personnel is an educational record under FERPA.","FERPA definition of educational records"
"PQ_LEG-01_3","C","L2","Conceptual","The student believed that the content of the notes determines their status under FERPA.","FERPA educational record definition criteria"
"PQ_LEG-01_3","D","L2","Conceptual","The student believed that disability status information automatically makes notes educational records.","FERPA definition of educational records"
"PQ_LEG-01_4","A","L1","Conceptual","The student believed that denying access protects student privacy under FERPA.","FERPA parental access rights"
"PQ_LEG-01_4","C","L2","Conceptual","The student believed that parental access to records requires the student's presence.","FERPA parental rights to access educational records"
"PQ_LEG-01_4","D","L2","Conceptual","The student believed that legal representation is required for parents to access educational records.","FERPA parental access rights"
"PQ_LEG-01_5","A","L1","Procedural","The student believed schools have unilateral authority to deny amendment requests.","FERPA record amendment procedures"
"PQ_LEG-01_5","C","L2","Conceptual","The student believed that schools have no discretion and must comply with all amendment requests.","FERPA record amendment process"
"PQ_LEG-01_5","D","L3","Conceptual","The student believed that only students have the right to request changes to their educational records.","FERPA parental rights to amend records"
"PQ_LEG-01_6","A","L1","Conceptual","The student believed that reaching age 18 automatically grants them access to their educational records.","FERPA rights transfer conditions"
"PQ_LEG-01_6","C","L3","Conceptual","The student believed that schools have the authority to control access to educational records.","FERPA rights transfer at age of majority"
"PQ_LEG-01_6","D","L3","Conceptual","The student believed that educational record rights transfer to a district official.","FERPA rights transfer process"
"PQ_LEG-01_7","A","L2","Conceptual","The student believed that a desire to know is sufficient for accessing educational records.","FERPA legitimate educational interest criteria"
"PQ_LEG-01_7","C","L2","Conceptual","The student believed that any interest in a student justifies access to educational records.","FERPA legitimate educational interest criteria"
"PQ_LEG-01_7","D","L2","Procedural","The student believed that any formal request for information is sufficient for access.","FERPA legitimate educational interest criteria"
"PQ_LEG-01_8","A","L2","Conceptual","The student believed that subjective opinions can justify disclosing records.","FERPA health/safety emergency criteria"
"PQ_LEG-01_8","C","L2","Conceptual","The student believed that a student's request can justify disclosure in emergencies.","FERPA health/safety emergency disclosure criteria"
"PQ_LEG-01_8","D","L2","Procedural","The student believed that legal advice alone justifies disclosure of records.","FERPA health/safety emergency exception criteria"
"PQ_LEG-01_9","A","L2","Conceptual","The student believed that academic performance data is considered directory information.","FERPA directory information definition"
"PQ_LEG-01_9","C","L2","Conceptual","The student believed that disciplinary and behavioral records are considered directory information.","FERPA directory information definition"
"PQ_LEG-01_9","D","L3","Conceptual","The student believed that sensitive personal information is considered directory information.","FERPA directory information definition"
"PQ_LEG-01_10","A","L1","Procedural","The student believed that all judicial orders must be complied with immediately.","FERPA compliance with judicial orders"
"PQ_LEG-01_10","C","L2","Conceptual","The student believed that privacy laws always override judicial orders.","FERPA compliance with judicial orders"
"PQ_LEG-01_10","D","L3","Conceptual","The student believed that internal school review is sufficient for legal compliance.","FERPA judicial order compliance procedure"
"PQ_LEG-01_11","A","L3","Conceptual","The student believed that FERPA and HIPAA are identical laws.","FERPA and HIPAA legal distinction"
"PQ_LEG-01_11","C","L2","Conceptual","The student believed HIPAA provides stronger privacy protections than FERPA in educational settings.","FERPA vs. HIPAA privacy protections comparison"
"PQ_LEG-01_11","D","L2","Conceptual","The student believed that HIPAA is the sole law governing all school records.","FERPA applicability to educational institutions"
"PQ_LEG-01_12","A","L2","Conceptual","The student believed noncustodial parents have no rights to school records.","FERPA rights of noncustodial parents"
"PQ_LEG-01_12","C","L1","Conceptual","The student believed that FERPA grants rights solely to custodial parents.","FERPA parental rights provisions"
"PQ_LEG-01_12","D","L3","Conceptual","The student believed that FERPA requires joint parental consent for records access.","FERPA parental rights understanding"
"PQ_LEG-01_13","A","L2","Conceptual","The student believed that privacy laws prohibit any sharing of student data.","FERPA data sharing guidelines"
"PQ_LEG-01_13","C","L2","Conceptual","The student believed that the importance of research overrides privacy laws.","FERPA parental consent requirement"
"PQ_LEG-01_13","D","L3","Conceptual","The student believed that researchers have unrestricted access to student records for research purposes.","FERPA access restrictions for researchers"
"PQ_LEG-01_14","A","L2","Conceptual","The student believed that only social security numbers are considered PII.","FERPA definition of personally identifiable information"
"PQ_LEG-01_14","C","L2","Conceptual","The student believed that test scores alone constitute PII in educational records.","FERPA definition of personally identifiable information"
"PQ_LEG-01_14","D","L2","Conceptual","The student believed that information in the school yearbook is considered PII.","FERPA directory information exception"
"PQ_LEG-01_15","A","L2","Conceptual","The student believed that all student records can be transferred freely.","FERPA record transfer limitations"
"PQ_LEG-01_15","C","L1","Conceptual","The student believed parental permission is always required for record transfer.","FERPA parental consent requirements"
"PQ_LEG-01_15","D","L3","Conceptual","The student believed that schools should retain records and not transfer them.","FERPA student records transfer requirement"
