"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_PSY-02_1","A","L1","Conceptual","The student believed that a reliability coefficient of 0.52 indicates excellent stability.","Understanding reliability coefficient interpretation"
"PQ_PSY-02_1","C","L2","Conceptual","The student believed that moderate reliability does not impact the validity of a test.","Understanding the relationship between reliability and validity"
"PQ_PSY-02_1","D","L2","Conceptual","The student believed that behavior variability justifies low reliability scores.","Understanding of test-retest reliability importance"
"PQ_PSY-02_2","B","L1","Conceptual","The student believed internal consistency is related to test-retest reliability.","Understanding of Cronbach's alpha purpose"
"PQ_PSY-02_2","C","L2","Conceptual","The student believed internal consistency relates to predictive validity.","Predictive validity versus internal consistency"
"PQ_PSY-02_2","D","L2","Conceptual","The student believed internal consistency involves agreement between different raters.","Inter-rater reliability concept"
"PQ_PSY-02_3","A","L2","Conceptual","The student believed that internal consistency relates to agreement between different raters.","internal consistency reliability concept"
"PQ_PSY-02_3","B","L2","Conceptual","The student believed that discrepancies between raters affect the scale's ability to predict future outcomes.","Predictive validity definition and application"
"PQ_PSY-02_3","D","L2","Conceptual","The student believed that discrepancies between raters affect how well the scale predicts outcomes.","criterion-related validity assessment"
"PQ_PSY-02_4","A","L3","Conceptual","The student believed that cognitive tests are inherently unsuitable for test-retest reliability.","Understanding test-retest reliability applicability"
"PQ_PSY-02_4","B","L2","Conceptual","The student believed that a shorter interval always improves reliability.","Test-retest interval selection criteria"
"PQ_PSY-02_4","D","L2","Conceptual","The student believed that increasing the interval always improves reliability.","test-retest reliability interval considerations"
"PQ_PSY-02_5","A","L2","Conceptual","The student believed that SEM is related to test validity rather than score precision.","Understanding of SEM's role in score interpretation"
"PQ_PSY-02_5","C","L2","Conceptual","The student believed SEM is related to the reliability of test items.","Cronbach's alpha reliability coefficient"
"PQ_PSY-02_5","D","L2","Conceptual","The student believed SEM is used to forecast how a student will perform on future assessments.","predictive validity versus measurement error"
"PQ_PSY-02_6","A","L1","Conceptual","The student believed content validity is about the overall accuracy of the test.","content validity versus construct validity"
"PQ_PSY-02_6","C","L2","Conceptual","The student believed content validity involves predicting future performance.","Criterion-related validity understanding"
"PQ_PSY-02_6","D","L2","Conceptual","The student believed content validity involves consistency among raters.","inter-rater reliability concept"
"PQ_PSY-02_7","A","L2","Conceptual","The student believed that representing early reading skills ensures future reading success.","Understanding predictive validity in assessment tools"
"PQ_PSY-02_7","B","L2","Procedural","The student believed that internal consistency is crucial for predicting future outcomes.","Understanding predictive validity in assessment tools"
"PQ_PSY-02_7","D","L2","Procedural","The student believed that stability over time is crucial for predicting future outcomes.","Predictive validity assessment criteria"
"PQ_PSY-02_8","A","L1","Conceptual","The student believed that reliability means identical scores across different tests.","Understanding of test reliability versus validity"
"PQ_PSY-02_8","C","L2","Conceptual","The student believed that a person's IQ can fluctuate significantly over short periods.","understanding of IQ test stability"
"PQ_PSY-02_8","D","L2","Conceptual","The student believed that reliability directly affects score differences between tests.","Understanding of test reliability versus validity"
"PQ_PSY-02_9","B","L1","Conceptual","The student believed that convergent validity involves lack of correlation with unrelated constructs.","discriminant validity concept"
"PQ_PSY-02_9","C","L2","Conceptual","The student believed that convergent validity involves predictive validity aspects.","Predictive validity versus convergent validity distinction"
"PQ_PSY-02_9","D","L2","Conceptual","The student believed that convergent validity involves inter-rater reliability.","understanding of convergent validity versus reliability"
"PQ_PSY-02_10","A","L1","Conceptual","The student believed that high correlation with similar tests supports discriminant validity.","Discriminant validity versus convergent validity"
"PQ_PSY-02_10","C","L2","Conceptual","The student believed that predicting academic success is related to discriminant validity.","Understanding of discriminant validity criteria"
"PQ_PSY-02_10","D","L2","Conceptual","The student believed that internal consistency is related to discriminant validity.","understanding of discriminant validity criteria"
"PQ_PSY-02_11","A","L2","Conceptual","The student believed that internal consistency is related to item performance across different scoring groups.","internal consistency reliability concept"
"PQ_PSY-02_11","C","L2","Conceptual","The student believed that inconsistent item performance indicates low test-retest reliability.","Understanding of test-retest reliability concept"
"PQ_PSY-02_11","D","L2","Conceptual","The student believed that an item answered correctly by lower-scoring students indicates a lack of construct validity.","Understanding of differential item functioning"
"PQ_PSY-02_12","A","L1","Conceptual","The student believed that low inter-rater reliability indicates overall unreliability of the scale.","Understanding of reliability types in psychometrics"
"PQ_PSY-02_12","C","L3","Conceptual","The student believed that low inter-rater reliability indicates a flaw in the raters' abilities.","Understanding inter-rater reliability implications"
"PQ_PSY-02_12","D","L2","Conceptual","The student believed that poor inter-rater reliability invalidates the entire scale.","Understanding of reliability types in psychometrics"
"PQ_PSY-02_13","B","L2","Conceptual","The student believed that validity inherently outweighs reliability in all testing scenarios.","Understanding the relationship between reliability and validity"
"PQ_PSY-02_13","C","L3","Conceptual","The student believed that reliability and validity are interchangeable terms.","Understanding the distinction between reliability and validity"
"PQ_PSY-02_13","D","L1","Conceptual","The student believed that a test can measure accurately even if it produces inconsistent results.","Understanding the relationship between reliability and validity"
"PQ_PSY-02_14","A","L3","Conceptual","The student believed internal consistency is a type of validity evidence.","Understanding of validity versus reliability"
"PQ_PSY-02_14","B","L1","Conceptual","The student believed that convergent validity was not demonstrated because they misunderstood the correlation with other anxiety measures.","Understanding of convergent validity evidence"
"PQ_PSY-02_14","C","L1","Conceptual","The student believed that a low correlation with intelligence measures does not demonstrate discriminant validity.","understanding of discriminant validity evidence"
"PQ_PSY-02_15","A","L2","Conceptual","The student believed that inconsistent results over time are the main issue.","understanding of test-retest reliability"
"PQ_PSY-02_15","C","L2","Conceptual","The student believed that low scores with no observed difficulties indicate false negatives.","Understanding sensitivity versus specificity"
"PQ_PSY-02_15","D","L3","Conceptual","The student believed that multiple raters were involved in scoring the measure.","Understanding inter-rater reliability concept"
"PQ_PSY-02_16","A","L3","Conceptual","The student believed that a test is universally invalid for any culturally diverse student.","Understanding of test validity across diverse populations"
"PQ_PSY-02_16","C","L1","Conceptual","The student believed that research validity evidence universally applies to all individual assessments.","Understanding of test validity generalization limits"
"PQ_PSY-02_16","D","L3","Conceptual","The student believed that test validity is universally unaffected by cultural differences.","Cultural bias in psychological assessment"
"PQ_PSY-02_17","A","L2","Conceptual","The student believed incremental validity refers to changes in individual performance.","Incremental validity in psychometrics"
"PQ_PSY-02_17","C","L2","Conceptual","The student believed incremental validity involves changes in test scores with age.","Developmental trends in test performance"
"PQ_PSY-02_17","D","L2","Conceptual","The student believed that longer tests inherently improve validity.","Test length and validity relationship"
"PQ_PSY-02_18","A","L1","Conceptual","The student believed that strong validity evidence in the manual is universally applicable.","Cultural and linguistic test adaptation considerations"
"PQ_PSY-02_18","B","L2","Conceptual","The student believed that any lack of diversity in the sample invalidates the test for all students.","Cultural competence in test selection"
"PQ_PSY-02_18","D","L2","Conceptual","The student believed that the test's validity is limited to the demographic it was normed on.","Understanding test generalizability across diverse populations"
"PQ_PSY-02_19","A","L1","Conceptual","The student believed that comparing improvements to chance and a control group is sufficient for evaluation.","Comprehensive program evaluation criteria"
"PQ_PSY-02_19","B","L2","Conceptual","The student believed that considering effect size alone is sufficient to evaluate the program's claim.","Comprehensive program evaluation criteria"
"PQ_PSY-02_19","C","L2","Conceptual","The student believed that measurement validity alone is sufficient to evaluate the program.","Program evaluation comprehensive criteria"
"PQ_PSY-02_20","A","L2","Conceptual","The student believed DIF involves item correlation with the total score.","Differential item functioning definition"
"PQ_PSY-02_20","C","L3","Conceptual","The student believed that DIF is related to variability in scoring due to test administrators.","Understanding of differential item functioning"
"PQ_PSY-02_20","D","L2","Conceptual","The student believed DIF relates to variability in test reliability over time.","understanding of differential item functioning"
"item_017","A","L1","Conceptual","The student believed that a validity coefficient of 0.58 is acceptable.","Understanding of validity coefficient standards"
"item_017","B","L1","Conceptual","The student believed reliability directly indicates validity, which is incorrect.","Understanding reliability versus validity distinction"
"item_017","D","L2","Conceptual","The student believed that moderate validity is sufficient if used with other measures.","Understanding convergent validity standards"
"item_017","E","L3","Lexical","The student believed that option E was a valid choice despite it being marked as unused.","Understanding of test option usage"
"item_017","F","L3","Lexical","The student believed that this option was relevant to the question.","Understanding of test validity and reliability"
"item_187","A","L2","Conceptual","The student believed that a correlation with another test indicates reliability.","Understanding reliability vs. validity in test evaluation"
"item_187","B","L2","Conceptual","The student believed that a correlation of 0.68 indicates poor reliability.","Understanding correlation and reliability distinction"
"item_187","C","L2","Conceptual","The student believed that correlation directly indicates effect size.","Understanding correlation versus effect size"
"item_187","E","L3","Lexical","The student believed that the option was relevant to the question.","Understanding of test evaluation criteria"
"item_187","F","L3","Lexical","The student believed that the unused option could be relevant.","Understanding of test validity and reliability concepts"
"item_246","A","L1","Conceptual","The student believed that a high positive correlation indicates stronger reliability than a high negative correlation.","Understanding of correlation direction in reliability"
"item_246","C","L3","Conceptual","The student believed that any positive correlation indicates strong reliability.","Understanding correlation strength and direction"
"item_246","D","L2","Conceptual","The student believed that a negative correlation cannot indicate strong reliability.","Understanding correlation strength regardless of sign"
"item_246","E","L3","Lexical","The student believed that an unused option could be a valid choice.","Understanding of test-taking strategies"
"item_246","F","L3","Lexical","The student believed that any unused option could be correct.","Understanding of correlation coefficient usage"
"item_248","A","L1","Conceptual","The student believed that correlating scores directly establishes the validity of the tests.","understanding of test validity versus reliability"
"item_248","C","L2","Conceptual","The student believed that correlating scores predicts future performance.","Predictive validity versus reliability distinction"
