"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_SWP-03_1","A","L2","Conceptual","The student believed that publication in peer-reviewed journals is sufficient for Tier 1 evidence.","ESSA Tier 1 evidence criteria"
"PQ_SWP-03_1","C","L1","Conceptual","The student believed that independence of research teams is a requirement for Tier 1 evidence.","ESSA Tier 1 evidence criteria"
"PQ_SWP-03_1","D","L2","Conceptual","The student believed that widespread adoption is a criterion for Tier 1 evidence.","ESSA Tier 1 evidence criteria"
"PQ_SWP-03_2","A","L2","Conceptual","The student believed that WWC is a comprehensive repository of all educational research.","WWC's role in evaluating research rigor"
"PQ_SWP-03_2","C","L2","Conceptual","The student believed that the WWC enforces specific educational programs in schools.","understanding WWC's advisory role versus regulatory authority"
"PQ_SWP-03_2","D","L3","Conceptual","The student believed that WWC is a commercial entity focused on selling products.","Understanding the non-commercial nature of WWC"
"PQ_SWP-03_3","A","L2","Conceptual","The student believed that popularity equates to program effectiveness.","evidence-based program evaluation criteria"
"PQ_SWP-03_3","B","L2","Conceptual","The student believed that endorsement by the developer is a strong indicator of program effectiveness.","Understanding evidence-based practice criteria"
"PQ_SWP-03_3","D","L2","Conceptual","The student believed that cost-effectiveness is a primary indicator of program quality.","Evidence-based program evaluation criteria"
"PQ_SWP-03_4","A","L1","Conceptual","The student believed that ESSA evidence tiers and WWC ratings are the same system.","Understanding differences between ESSA and WWC systems"
"PQ_SWP-03_4","C","L2","Conceptual","The student believed ESSA evidence tiers are limited to federal programs.","ESSA evidence tier applicability"
"PQ_SWP-03_4","D","L2","Conceptual","The student believed that ESSA and WWC have no common elements or goals.","understanding ESSA and WWC relationship"
"PQ_SWP-03_5","A","L1","Conceptual","The student believed that fidelity and adaptation can coexist without regular monitoring.","PBIS implementation fidelity monitoring"
"PQ_SWP-03_5","C","L2","Conceptual","The student believed that evidence-based programs do not require ongoing monitoring for fidelity.","importance of regular monitoring in PBIS implementation"
"PQ_SWP-03_5","D","L2","Conceptual","The student believed that aligning with existing practices is more important than maintaining evidence-based integrity.","PBIS fidelity versus adaptation balance"
"PQ_SWP-03_6","A","L1","Conceptual","The student believed external validity refers to effectiveness within the study setting.","Understanding of external validity in program evaluation"
"PQ_SWP-03_6","C","L2","Conceptual","The student believed that external validity refers to the evidence-based nature of a program.","Understanding of external validity in program evaluation"
"PQ_SWP-03_6","D","L3","Conceptual","The student believed that external validity relates to the popularity of a program.","Understanding of external validity in program evaluation"
"PQ_SWP-03_7","A","L1","Conceptual","The student believed that evidence-based programs are universally effective without adaptation.","Program adaptation for diverse demographic contexts"
"PQ_SWP-03_7","C","L2","Conceptual","The student believed that evidence from different contexts invalidates the program's potential effectiveness.","Generalization of evidence-based practices"
"PQ_SWP-03_7","D","L2","Conceptual","The student believed that program success is solely dependent on student income level.","Understanding of evidence-based program adaptation"
"PQ_SWP-03_8","C","L2","Conceptual","The student believed implementation science is a novel intervention rather than a framework for applying practices.","implementation science framework understanding"
"PQ_SWP-03_8","D","L3","Conceptual","The student believed that evidence alone is enough for practice adoption without structured implementation.","importance of implementation science in practice adoption"
"PQ_SWP-03_9","A","L1","Conceptual","The student believed that initial implementation means the program is already fully operational.","Fixsen's stages of implementation model"
"PQ_SWP-03_9","C","L2","Conceptual","The student believed that initial implementation involves assessing program fit.","Fixsen's stages of implementation sequence"
"PQ_SWP-03_9","D","L1","Conceptual","The student believed that initial implementation means the program is ready for expansion.","Fixsen's stages of implementation framework"
"PQ_SWP-03_10","A","L1","Conceptual","The student believed fidelity measurement evaluates the success of outcomes.","Program evaluation outcome assessment"
"PQ_SWP-03_10","C","L2","Conceptual","The student believed fidelity measurement involves evaluating financial aspects.","Program evaluation cost analysis"
"PQ_SWP-03_10","D","L2","Conceptual","The student believed fidelity measurement involves ensuring inclusivity in the program.","understanding of fidelity measurement purpose"
"PQ_SWP-03_11","A","L2","Conceptual","The student believed that the program's evidence-based status might be incorrect.","Understanding evidence-based program validation"
"PQ_SWP-03_11","C","L3","Conceptual","The student believed that lack of improvement is due to student limitations rather than program issues.","Understanding of program evaluation principles"
"PQ_SWP-03_11","D","L2","Procedural","The student believed that immediate abandonment is the best response to lack of improvement.","Program evaluation and adjustment process"
