UNIQUEID,distractor_letter,distractor_tier,distractor_error_type,distractor_misconception,distractor_skill_deficit
"PQ_MBH-03_1","B","L1","Conceptual","Student believed B in the ABC model is the triggering event itself, confusing the interpretation step with the external event that initiates the cognitive-emotional chain.","ABC model sequencing: activating event vs belief appraisal"
"PQ_MBH-03_1","C","L2","Procedural","Student assumed emotional and behavioral consequences occur first and then create the trigger, reversing the directional flow of Ellis's sequence from event to belief to consequence.","Temporal order in ABC formulation (A->B->C)"
"PQ_MBH-03_1","D","L3","Conceptual","Student assumed ABC components are simultaneous labels without functional order, missing that each component has a distinct role rather than happening as one undifferentiated process.","Structured causal roles within Ellis ABC framework"
"PQ_MBH-03_2","B","L1","Lexical","Student confused catastrophizing language about social judgment with mind reading, over-weighting the 'everyone will think' phrase and missing the core all-or-nothing failure prediction.","Differentiating catastrophizing from mind reading distortions"
"PQ_MBH-03_2","C","L2","Conceptual","Student believed a single predicted failure statement automatically reflects overgeneralization, not noticing the thought is extreme future catastrophe rather than a broad pattern across situations.","Diagnostic features of overgeneralization vs catastrophe thinking"
"PQ_MBH-03_2","D","L2","Conceptual","Student assumed saying 'I'm stupid' is the primary distortion, ignoring that the dominant error is catastrophic pass-fail prediction and binary outcome framing.","Primary-cue identification among co-occurring cognitive distortions"
"PQ_MBH-03_3","A","L2","Conceptual","Student believed reinforcement is defined by punishment-like consequences, confusing behavior decrease procedures with the core definition that reinforcement increases future behavior.","Operant definition by behavioral effect (increase vs decrease)"
"PQ_MBH-03_3","B","L1","Conceptual","Student assumed any post-behavior consequence counts as reinforcement, missing that reinforcement is not synonymous with consequence and must strengthen response probability.","Reinforcement as a functional subset of consequences"
"PQ_MBH-03_3","D","L2","Conceptual","Student confused one subtype, removal of aversive stimulus, with the full construct of reinforcement, treating negative reinforcement as the only valid definition.","Positive and negative reinforcement as parallel subclasses"
"PQ_MBH-03_4","A","L2","Conceptual","Student believed withdrawing reinforcement occurred when praise was delivered, confusing extinction procedures with adding a desirable consequence after appropriate behavior.","Extinction versus positive reinforcement contingencies"
"PQ_MBH-03_4","C","L1","Conceptual","Student interpreted praise as a controlling or aversive act and labeled it punishment, missing that the intervention aims to increase hand-raising behavior.","Function-based distinction between reinforcement and punishment"
"PQ_MBH-03_4","D","L2","Procedural","Student assumed any behavior-improvement plan is shaping, overlooking that shaping requires reinforcing successive approximations, not reinforcement of the already target response.","Criteria for identifying shaping versus direct reinforcement"
