"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_PSY-03_1","A","L2","Procedural","The student believed that implementation should occur before identifying and analyzing the problem.","MTSS problem-solving sequence"
"PQ_PSY-03_1","C","L2","Procedural","The student believed that evaluation should occur before identifying the problem.","MTSS problem-solving sequence"
"PQ_PSY-03_1","D","L2","Procedural","The student believed that problem analysis should occur before identifying the problem.","MTSS problem-solving sequence"
"PQ_PSY-03_2","A","L1","Conceptual","The student believed that identifying a performance gap also identifies the cause.","Problem identification versus problem analysis distinction"
"PQ_PSY-03_2","B","L2","Procedural","The student believed that identifying a discrepancy directly suggests an intervention.","Problem-solving process intervention selection"
"PQ_PSY-03_2","D","L2","Procedural","The student believed that identifying a performance discrepancy directly determines special education eligibility.","IDEA eligibility determination process"
"PQ_PSY-03_3","A","L2","Conceptual","The student believed that cognitive abilities are the primary factor in reading fluency issues.","Understanding of relevant data in problem analysis"
"PQ_PSY-03_3","C","L2","Conceptual","The student believed that background information is most critical for problem analysis.","Problem analysis in reading fluency assessment"
"PQ_PSY-03_3","D","L2","Conceptual","The student believed that parental education and involvement are primary factors in reading fluency issues.","Ecological model of reading development"
"PQ_PSY-03_4","A","L1","Procedural","The student believed that a comprehensive evaluation is the immediate next step after Tier 1.","MTSS decision-making process for Tier 2 interventions"
"PQ_PSY-03_4","B","L1","Procedural","The student believed that non-response to Tier 1 instruction warrants immediate special education referral.","MTSS decision-making process for Tier 2 intervention"
"PQ_PSY-03_4","D","L1","Conceptual","The student believed that non-response to Tier 1 instruction alone is sufficient to diagnose a learning disability.","MTSS decision-making process for learning disabilities"
"PQ_PSY-03_5","B","L1","Conceptual","The student believed that universal screening is an intervention rather than an assessment process.","MTSS Tier 1 assessment purpose"
"PQ_PSY-03_5","C","L2","Conceptual","The student believed that universal screening involves analyzing problems rather than identifying them.","difference between problem identification and problem analysis"
"PQ_PSY-03_5","D","L3","Conceptual","The student believed that universal screening is directly related to special education eligibility.","special education eligibility determination process"
"PQ_PSY-03_6","A","L1","Conceptual","The student believed MTSS is primarily for identifying learning disabilities.","MTSS purpose and scope"
"PQ_PSY-03_6","C","L2","Conceptual","The student believed MTSS mandates special education for all students.","MTSS general education support framework"
"PQ_PSY-03_6","D","L3","Conceptual","The student believed MTSS eliminates the need for special education services.","MTSS integration with special education services"
"PQ_PSY-03_7","A","L1","Procedural","The student believed that small gains indicate a need for special education evaluation.","MTSS decision-making process for intervention adjustments"
"PQ_PSY-03_7","B","L2","Conceptual","The student believed that three weeks is enough time to evaluate intervention effectiveness.","MTSS progress monitoring duration guidelines"
"PQ_PSY-03_7","D","L2","Conceptual","The student believed that lack of immediate progress means the intervention should be stopped.","MTSS intervention adjustment protocol"
"PQ_PSY-03_8","A","L1","Conceptual","The student believed fidelity of implementation is measured by student outcomes.","Understanding fidelity of implementation definition"
