"UNIQUEID","distractor_letter","distractor_tier","distractor_error_type","distractor_misconception","distractor_skill_deficit"
"PQ_MBH-04_1","A","L1","Lexical","The student believed the 1-in-88 statistic was current CDC data when it was actually superseded by the 2023 update to 1-in-36.","Current CDC ASD prevalence rates and epidemiological surveillance updates"
"PQ_MBH-04_1","C","L2","Conceptual","The student thought 1-in-50 was a plausible estimate without consulting the most recent CDC surveillance data.","CDC Autism and Developmental Disabilities Monitoring Network current prevalence figures"
"PQ_MBH-04_1","D","L2","Conceptual","The student thought 1-in-100 represented a reasonable prevalence rate for ASD in children.","CDC Autism and Developmental Disabilities Monitoring Network current prevalence figures"
"PQ_MBH-04_10","A","L1","Conceptual","The student believed Oppositional Defiant Disorder alone could explain serious rule violations like theft and property destruction without remorse.","Conduct Disorder severity threshold and violation-of-rights criterion vs. ODD oppositional patterns"
"PQ_MBH-04_10","C","L2","Conceptual","The student thought ADHD explained the pattern of deliberate rule-breaking, stealing, and lack of remorse.","Conduct Disorder diagnostic criteria distinct from ADHD inattention and impulsivity features"
"PQ_MBH-04_10","D","L3","Conceptual","The student believed the described conduct pattern could be considered normal childhood misbehavior rather than a serious diagnostic condition.","Conduct Disorder severity, pervasiveness, and persistent rule-violation patterns"
"PQ_MBH-04_11","A","L1","Conceptual","The student conflated Generalized Anxiety Disorder with posttraumatic stress disorder despite trauma exposure history and intrusive memories.","PTSD vs. GAD: trauma-specific intrusions, hyperarousal, and avoidance in PTSD diagnosis"
"PQ_MBH-04_11","C","L2","Conceptual","The student thought Adjustment Disorder adequately explained the trauma-specific symptoms of nightmares, hypervigilance, and avoidance.","Adjustment Disorder timeline and stressor-response pattern vs. PTSD chronic symptom clusters"
"PQ_MBH-04_11","D","L3","Conceptual","The student believed the child would naturally recover from trauma-related nightmares and hypervigilance without professional intervention.","PTSD as disorder requiring clinical intervention rather than spontaneous recovery"
"PQ_MBH-04_12","A","L3","Conceptual","The student thought lack of attachment behaviors and emotional unresponsiveness were signs of secure attachment development.","Reactive Attachment Disorder diagnostic criteria: inhibited attachment vs. secure base behaviors"
