UNIQUEID,distractor_letter,distractor_tier,distractor_error_type,distractor_misconception,distractor_skill_deficit
"PQ_DBD-09_1","A","L2","Conceptual","Student treated macrosystem content (societal laws and values) as evidence for the microsystem level, collapsing ecological tiers in a way reports must keep distinct for defensible interpretation.","Bronfenbrenner micro- versus macrosystem boundaries in written case formulation"
"PQ_DBD-09_1","B","L1","Conceptual","Student labeled school–home connections as the microsystem, conflating mesosystem linkages with the child's most immediate face-to-face settings named in Bronfenbrenner's model.","Mesosystem versus microsystem precision in ecological report language"
"PQ_DBD-09_1","D","L3","Conceptual","Student placed broad economic structures under the microsystem heading, mis-sorting structural macro-level influences into the layer reserved for direct proximal contexts.","Ecological level assignment for economic and policy context in narratives"
"PQ_DBD-09_2","A","L2","Procedural","Student drew a global practice directive from a single contrast of grouping formats, exceeding what those observation data can support in a cautious, data-linked recommendation section.","Limiting intervention claims to the observed conditions and magnitudes"
"PQ_DBD-09_2","C","L1","Procedural","Student jumped from on-task differences to a within-child disability explanation without the multi-method, rule-out evidence a psychoeducational report would require before such language.","Defensible hypotheses versus premature diagnostic attribution in reports"
"PQ_DBD-09_2","D","L2","Conceptual","Student dismissed measurable differences as mere observer bias rather than documenting quality indicators and converging evidence the team should weigh before weakening conclusions.","Integrating observational data validity with other sources in conclusions"
"PQ_DBD-09_3","A","L2","Conceptual","Student framed instructional match as identical tasks for everyone, contradicting the individualized demand–support calibration reports describe when linking instruction to learner readiness.","Instructional match as differentiated challenge within ZPD for recommendations"
"PQ_DBD-09_3","C","L1","Conceptual","Student reduced match to teacher credentials alone, omitting task difficulty, scaffolds, and pacing that reports must tie to observed performance when arguing for instructional change.","Variables that operationalize instructional match beyond personnel factors"
"PQ_DBD-09_3","D","L3","Conceptual","Student asserted that match is unrelated to learning, undermining the standard report bridge between observed errors, frustration, and adjusted lesson demands or materials.","Linking demand–support balance to learning and behavior outcomes in text"
"PQ_DBD-09_4","A","L1","Conceptual","Student attributed achievement difficulty to cognitive ability in isolation, falling short of the multi-factor ecological paragraph teams expect before privileging within-child explanations.","Ecological versus single-factor hypotheses in academic problem analysis"
"PQ_DBD-09_4","C","L2","Conceptual","Student emphasized motivation alone and left unwritten the instructional, peer, and classroom management variables that defensible write-ups normally enumerate as competing contributors.","Breadth of ecological contributors appropriate to include in summaries"
"PQ_DBD-09_4","D","L2","Conceptual","Student anchored the narrative only infamily variables and skipped parallel school-side factors, producing an unbalanced case formulation relative to comprehensive ecological review.","Balancing home and school contextual hypotheses in written assessment"
"PQ_DBD-09_5","A","L2","Conceptual","Student named teacher praise following behavior as a setting event, though such consequences function differently in a report's antecedent–behavior–consequence description chain.","Setting events versus consequences in functional and ecological narratives"
"PQ_DBD-09_5","C","L2","Conceptual","Student explained the pattern chiefly via stable cognitive ability instead of the transient emotional and situational priming setting events are meant to capture for intervention planning.","State-like setting events versus trait attributions in case language"
