"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_ACA-04_1","This is a Recall item because the stem requires direct recall of the standard I-do, We-do, You-do sequence without requiring interpretation of a scenario or evaluation of competing frameworks.","Sequential ordering of the explicit instruction model's three instructional phases from teacher modeling through collaborative practice to independent student application."
"PQ_ACA-04_2","This is a Recall item because the question asks for definition of what happens during the I-do phase without requiring contextual application or synthesis of instructional evidence.","Recognition of the specific instructional behaviors and cognitive processes that characterize the initial modeling phase of explicit instruction."
"PQ_ACA-04_3","This is a Recall item because the stem presents direct definition-matching of scaffolding without requiring situational interpretation or comparison across competing instructional frameworks or applied classroom scenarios.","Discrimination between educational scaffolding as graduated support that decreases with student competence and other instructional support mechanisms."
"PQ_ACA-04_4","This is a Recall item because the question asks for definition of differentiated instruction without requiring application to a classroom scenario or evaluation of different approaches.","Identifying the core principle that differentiated instruction requires tailoring content, process, or product to individual student readiness, interest, and learning profile."
"PQ_ACA-04_5","This is a Recall item because the stem requires recognition of formative assessment's defining characteristic without requiring interpretation of actual assessment data or situational classroom application.","Distinguishing the primary purpose of formative assessment as real-time data gathering to guide instructional adjustment from summative evaluation and classification functions."
"PQ_ACA-04_6","This is a Recall item because the question asks for definition of think-pair-share's benefits without requiring analysis of its effectiveness compared to alternatives or classroom implementation.","Recognition of how the think-pair-share strategy structure promotes active engagement and peer collaboration through sequential individual, dyadic, and whole-group phases."
"PQ_ACA-04_7","This is a Recall item because the stem asks for definition of Direct Instruction's defining features without requiring application to case material or evaluation of efficacy evidence.","Identifying core characteristics of Direct Instruction as explicit, sequenced curriculum with high response rates and immediate corrective feedback to students."
"PQ_ACA-04_8","This is a Recall item because the question requires recognition of higher-order thinking practices from Bloom's taxonomy without applying them to a classroom scenario or comparing competing frameworks.","Recognition of instructional practices aligned with Bloom's taxonomy that promote higher-order thinking through evaluation, problem-solving, and creative synthesis tasks."
"PQ_ACA-04_9","This is a Recall item because the stem asks for definition of PALS format without requiring application to a specific student pairing scenario or implementation evaluation.","Identifying the defining structure of Peer-Assisted Learning Strategies as systematically organized peer tutoring with teacher direction and academic pairing protocols."
"PQ_ACA-04_10","This is a Recall item because the question asks for the intended function of mnemonics without requiring application to content selection or evaluation of memory mechanisms.","Recognition that mnemonic strategies enhance retention of discrete factual information through encoding techniques but do not directly promote deep conceptual understanding."
"PQ_ACA-04_11","This is a Recall item because the stem requires definition of chunking without requiring application to specific content material or comparison with alternative processing techniques.","Identification of chunking as the cognitive processing technique of organizing information into meaningful units to reduce working memory demands and enhance encoding."
