"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_RES-03_1","This is an Application item because the learner must recognize and distinguish experimental design features within a research scenario describing random assignment and controlled variables. Success requires applying knowledge of research design types to select the correct classification.","Identification and classification of experimental design with random assignment and confounding variable control"
"PQ_RES-03_2","This is an Application item because the learner must analyze a research scenario and identify the specific validity threat (selection bias) present in the comparison between two non-equivalent schools. Success depends on discriminating among multiple validity threats.","Recognition and discrimination of selection bias as a threat to internal validity in quasi-experimental comparisons"
"PQ_RES-03_3","This is an Application item because the learner must interpret a research scenario involving concurrent interventions and identify regression to the mean as the appropriate threat to validity. This requires applying knowledge of threats to internal validity.","Identification of regression to the mean as competing explanation in intervention research with concurrent interventions"
"PQ_RES-03_4","This is an Application item because the learner must interpret a correlation coefficient and correctly understand its limitations regarding causality and prediction. Success requires distinguishing between valid and invalid inferences from correlational data.","Interpretation of correlation coefficients and recognition of limitations regarding causal inference and predictive validity"
"PQ_RES-03_5","This is an Application item because the learner must recognize and identify confounding variables in a real-world school scenario where multiple simultaneous changes occur. Success depends on understanding threats to internal validity in practice.","Recognition and identification of confounding variables that threaten causal interpretation in policy evaluation"
"PQ_RES-03_6","This is a Recall item because it requires retrieving the definition of ABAB design notation where letters represent baseline and intervention phases. The task involves straightforward factual knowledge recall without scenario analysis.","Definition and notation of single-subject ABAB research design phases baseline and intervention"
"PQ_RES-03_7","This is an Application item because the learner must recognize and classify a research approach that integrates multiple data sources to understand a single student. Success requires applying knowledge of research methodology to an educational scenario.","Classification and identification of case study methodology integrating multiple qualitative and quantitative data sources"
"PQ_RES-03_8","This is an Application item because the learner must identify a survey/correlational research design based on administration of screening and questionnaire instruments to a sample. Success depends on discriminating research design types.","Identification and classification of survey and correlational research designs measuring multiple variables"
"PQ_RES-03_9","This is an Application item because the learner must interpret the meaning of statistical significance at p < .05 threshold and distinguish it from effect size and practical importance. Success requires understanding inferential logic.","Interpretation of statistical significance threshold and rejection of null hypothesis with Type I error understanding"
"PQ_RES-03_10","This is a Recall item because it requires retrieving the definition of Type I error (false positive) in hypothesis testing. The task involves straightforward factual knowledge without requiring scenario interpretation.","Definition of Type I error as false positive conclusion in hypothesis testing"
"PQ_RES-03_11","This is an Application item because the learner must interpret a scenario combining small sample size, statistical significance, and small effect size to recognize low statistical power. Success requires synthesizing multiple statistical concepts.","Interpretation of statistical power and Type II error risk with small samples and small effect sizes"
"PQ_RES-03_12","This is an Application item because the learner must apply the empirical rule to a normal distribution to determine the percentage of scores within one standard deviation. Success requires applying distributional knowledge to data.","Application of empirical rule for normal distribution determining percentages within standard deviation ranges"
"PQ_RES-03_13","This is an Application item because the learner must correctly interpret a confidence interval and understand its meaning as a range around the sample mean. Success requires understanding interval estimation principles.","Interpretation of confidence intervals as ranges containing estimated population parameters with specified probability"
"PQ_RES-03_14","This is an Application item because the learner must select the appropriate statistical test (chi-square) for comparing categorical safety perceptions across two grade levels. Success depends on matching data type and research question.","Selection and application of chi-square test for comparing categorical variables across independent groups"
"PQ_RES-03_15","This is an Application item because the learner must interpret a non-significant finding with small sample size and recognize Type II error as the likely explanation. Success requires understanding power and Type II error.","Recognition and interpretation of Type II error and statistical power concerns with small samples"
"PQ_RES-03_16","This is an Application item because the learner must interpret regression output including beta coefficient and R-squared value to explain variance and predictive relationships. Success requires understanding regression interpretation.","Interpretation of regression coefficients and R-squared values for explaining variance in outcome variables"
"PQ_RES-03_17","This is a Recall item because it requires retrieving the definition of base rate as the prevalence or frequency of a characteristic in a population. The task involves straightforward definitional knowledge.","Definition of base rate as population prevalence or frequency of specified characteristics"
"PQ_RES-03_18","This is an Application item because the learner must interpret Cohen's d = 1.2 and classify it as a large effect size using standard conventions. Success requires applying effect size interpretation knowledge.","Interpretation and classification of Cohen's d effect sizes using standard magnitude conventions"
"PQ_RES-03_19","This is a Recall item because it requires retrieving the definition of structural equation modeling and its purpose for testing complex multivariate relationships. The task involves straightforward conceptual knowledge.","Definition and purpose of structural equation modeling for multivariate and latent variable analysis"
"PQ_RES-03_20","This is an Application item because the learner must critique research by distinguishing between statistical significance and practical significance, recognizing that small correlations can be significant with large samples.","Statistical significance versus practical significance distinction considering effect sizes and sample size interactions"
"item_094","This is an Application item because the learner must identify the control group in an experimental design scenario involving background music manipulation. Success requires understanding experimental terminology.","Identification of control group as condition without experimental manipulation in research design"
"item_172","This is an Application item because the learner must understand the school psychologist's role in relation to clinical diagnosis and identify the correct statement about ADHD assessment in schools. Success requires professional role knowledge.","Understanding school psychologist role in identification versus diagnosis of ADHD and related disorders"
"item_185","This is an Application item because the learner must calculate change or interpret data from a case example involving Michele's RTI progress, requiring numerical reasoning about intervention outcomes.","Numerical computation and interpretation of student achievement data within response-to-intervention progress monitoring"
"item_186","This is an Application item because the learner must interpret Michele's score within an RTI context, comparing current performance to baseline and peer standards, requiring evaluative judgment.","Interpretation of student progress scores within RTI frameworks comparing baseline and benchmark criteria"
