"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_PSY-01_1","This is an Application item because the learner must interpret a standard score and identify its percentile equivalent, discriminating among common misconceptions about raw scores and grade levels.","Standard score interpretation and mathematical relationship to percentile distributions in normal bell curve"
"PQ_PSY-01_2","This is an Application item because the learner must distinguish percentile rank from percent correct, grade equivalents, and stanines, requiring discrimination among similar-sounding score types.","Percentile rank definition and interpretation distinctly different from other norm-referenced score types"
"PQ_PSY-01_3","This is an Application item because the learner must use z-score logic to locate a scaled score relative to the mean and discriminate from percent-correct and grade-equivalent interpretations.","Scaled score interpretation using standard deviations for precise transformation and location identification"
"PQ_PSY-01_4","This is an Application item because the learner must calculate a z-score using the formula (X - mean) / SD and select the correct value among distractors.","Z-score calculation from standard scores with means and standard deviations using mathematical transformations"
"PQ_PSY-01_5","This is an Application item because the learner must interpret a T-score by calculating standard deviations from the mean and discriminate below-average from average performance.","T-score interpretation and precise location relative to mean using standard deviation unit calculations"
"PQ_PSY-01_6","This is an Application item because the learner must interpret age equivalents correctly and reject the misconception that AE scores prescribe specific grade-level placement recommendations directly.","Age-equivalent score interpretation and understanding critical limitations regarding specific educational placement decisions"
"PQ_PSY-01_7","This is an Application item because the learner must analyze a subtest scatter pattern and recognize when relative consistency versus significant variability warrants diagnostic consideration.","Profile scatter analysis and accurate interpretation of cognitive strengths and weaknesses in patterns"
"PQ_PSY-01_8","This is an Application item because the learner must understand that a confidence interval represents a probability band for the true score rather than exact point values.","Confidence interval interpretation as probability bands around obtained scores in norm-referenced testing"
"PQ_PSY-01_9","This is an Application item because the learner must recognize that low scores require multi-method assessment before diagnosis or placement recommendations can be appropriately justified.","Very low standard score interpretation requiring multiple measures before making diagnostic decisions"
"PQ_PSY-01_10","This is an Application item because the learner must interpret grade equivalents accurately and reject the common misconception that grade equivalents indicate curriculum placement readiness.","Grade equivalent interpretation and understanding critical limitations regarding appropriate curriculum advancement decisions"
"PQ_PSY-01_11","This is an Application item because the learner must calculate a 95% confidence interval using standard error of measurement: score ± 1.96 times the SEM.","Confidence interval calculation and band construction using standard error of measurement in practice"
"PQ_PSY-01_12","This is an Application item because the learner must explain that below-average percentiles represent performance within normal variation, balancing statistical fact with practical classroom context.","Below-average score interpretation and appropriate normalization relative to typical performance distribution patterns"
"PQ_PSY-01_13","This is an Application item because the learner must recognize that significant subtest scatter requires profile analysis rather than simple averaging, connecting patterns to academic functioning.","Profile analysis and interpretation when cognitive scatter is significant rather than using composite scores"
"PQ_PSY-01_14","This is an Application item because the learner must interpret stanine scores by identifying their percentile band equivalents rather than treating them as exact percentile values.","Stanine interpretation and understanding relationship to corresponding percentile ranges and score bands"
"PQ_PSY-01_15","This is an Application item because the learner must clarify that percentile rank means exceeding a percentage of the norm group, not answering that percentage of items correctly.","Percentile rank clarification and discrimination from percent-correct item responses and relative standing"
"PQ_PSY-01_16","This is an Application item because the learner must understand ceiling effects as clustering of high scores that limits discrimination, reducing test validity for high performers.","Ceiling effects impact on test discrimination ability at upper performance ranges and overall validity"
"PQ_PSY-01_17","This is an Application item because the learner must recognize that contemporary norm groups better reflect current population performance than older norms despite identical score values.","Norm group recency and appropriateness for contemporary validity across different reference populations"
"PQ_PSY-01_18","This is an Application item because the learner must recognize that extreme scatter makes composite scores misleading and requires profile analysis rather than score reduction.","Profile scatter interpretation and limitations of global composite scores when extreme variability is present"
"PQ_PSY-01_19","This is an Application item because the learner must recognize that communicating scores to parents requires multiple formats including percentiles, descriptive language, and confidence intervals.","Norm-referenced score communication to non-technical audiences using multiple different appropriate interpretation formats"
"PQ_PSY-01_20","This is an Application item because the learner must recognize regression to the mean as a statistical phenomenon explaining score improvement while monitoring intervention appropriateness.","Regression to the mean phenomenon in test-retest interpretation and score improvement pattern analysis"
"item_074","This is an Application item because the learner must use standard error of measurement to construct a confidence range around an obtained score, applying measurement error principles.","Standard error of measurement application to confidence range construction around individual obtained scores"
"item_233","This is a Recall item because it requires retrieving the classification of T-score 64 as one standard deviation above the mean, placing it in above-average range.","T-score range classification and above-average range identification on continuous score distribution scales"
