"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_LEG-01_1","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'The Family Educational Rights and Privacy Act (FERPA) applies to' scenario discrimination"
"PQ_LEG-01_2","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'An ""educational record"" under FERPA includes' scenario discrimination"
"PQ_LEG-01_3","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'A school psychologist keeps a personal case note that is used only' scenario discrimination"
"PQ_LEG-01_4","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'A student's parent requests access to the student's educational records. The school' scenario discrimination"
"PQ_LEG-01_5","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'A parent requests to amend their child's educational record because they believe' scenario discrimination"
"PQ_LEG-01_6","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'A student is 18 years old and a high school senior. When' scenario discrimination"
"PQ_LEG-01_7","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'A school may share a student's educational records without parental consent to' scenario discrimination"
"PQ_LEG-01_8","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'A school may disclose educational records without parental consent in a health' scenario discrimination"
"PQ_LEG-01_9","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'Directory information under FERPA includes information that schools may disclose without consent' scenario discrimination"
"PQ_LEG-01_10","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'A school receives a judicial order (subpoena or court order) to produce' scenario discrimination"
"PQ_LEG-01_11","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'The distinction between FERPA and HIPAA is' scenario discrimination"
"PQ_LEG-01_12","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'A noncustodial parent requests the student's school records. Under FERPA' scenario discrimination"
"PQ_LEG-01_13","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'A school psychologist is asked by a researcher to provide data from' scenario discrimination"
"PQ_LEG-01_14","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'Personally identifiable information (PII) in educational records includes' scenario discrimination"
"PQ_LEG-01_15","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'A school is transferring a student's records to a new school the' scenario discrimination"
"PQ_LEG-01_16","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'A school psychologist may share de-identified school data (with personal identifiers removed)' scenario discrimination"
"PQ_LEG-01_17","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'When a school provides a parent an annual notification of FERPA rights' scenario discrimination"
"PQ_LEG-01_18","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","FERPA applicability, educational records, consent exceptions, amendment and access rights; applied to 'A student's parent is incarcerated and requests records about the student. Under' scenario discrimination"
