"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_SAF-04_1","This is an Application item because the learner must use scenario details in 'When a student is identified as being at risk for self-harm, NASP recommends that' to choose the best-fit intervention response. Success requires discriminating Collaborative safety planning that identifies coping strategies and support networks from plausible but mismatched alternatives like No-suicide or no-harm contracts.","Context-based discrimination of Collaborative safety planning that identifies coping strategies and support networks within the clinical decision context of When student is identified as being at risk"
"PQ_SAF-04_2","This is an Application item because the learner must use scenario details in 'In the immediate aftermath of a school tragedy (student death), what is the school' to choose the best-fit intervention response. Success requires discriminating Provide Psychological First Aid (PFA), ensure basic safety and needs are met from plausible but mismatched alternatives like Conduct individual grief counseling sessions with all students and staff.","Context-based discrimination of Provide Psychological First Aid PFA ensure basic safety and needs within the clinical decision context of In the immediate aftermath of school tragedy student"
"PQ_SAF-04_3","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'What is ""postvention"" in school crisis response?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Interventions and support provided after a suicide or death in the school, not evaluating competing actions such as Preventing all future crises.","Context-based discrimination of Interventions and support provided after suicide or death in the within the clinical decision context of What is postvention in school crisis response"
"PQ_SAF-04_4","This is an Application item because the learner must use scenario details in 'When a student dies by suicide, schools should implement special postvention strategies to prevent' to choose the best-fit intervention response. Success requires discriminating Responsible media reporting, age-appropriate information to students, and monitoring for copycat risk from plausible but mismatched alternatives like Holding large memorial assemblies where the tragedy is discussed extensively.","Context-based discrimination of Responsible media reporting age-appropriate information to students and monitoring for within the clinical decision context of When student dies by suicide schools should implement"
"PQ_SAF-04_5","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'The ""Papageno effect"" in suicide contagion research refers to', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in The protective effect of media coverage showing people overcoming suicidal crises, not evaluating competing actions such as The increase in copycat suicides after media coverage (Werther effect).","Context-based discrimination of The protective effect of media coverage showing people overcoming suicidal within the clinical decision context of The Papageno effect in suicide contagion research refers"
"PQ_SAF-04_6","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'What is the primary purpose of a reunification procedure in crisis response?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in To organize student dismissal and reunite students with parents/guardians in an efficient, not evaluating competing actions such as To identify students who will not be picked up, when.","Context-based discrimination of To organize student dismissal and reunite students with parents guardians within the clinical decision context of What is the primary purpose of reunification procedure"
"PQ_SAF-04_7","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'When debriefing after a crisis, what is a key consideration based on current research?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Universal debriefing may increase symptoms in some students; more targeted support is, not evaluating competing actions such as Mandatory Critical Incident Stress Debriefing (CISD) for all students is.","Context-based discrimination of Universal debriefing may increase symptoms in some students more targeted within the clinical decision context of When debriefing after crisis what is key consideration"
"PQ_SAF-04_8","This is an Application item because the learner must use scenario details in 'A student who survived a school shooting shows symptoms of traumatic stress (intrusive thoughts' to choose the best-fit intervention response. Success requires discriminating A normal stress response to abnormal circumstances, warranting supportive intervention from plausible but mismatched alternatives like A diagnosable mental health disorder requiring immediate psychiatric intervention and.","Context-based discrimination of normal stress response to abnormal circumstances warranting supportive intervention within the clinical decision context of student who survived school shooting shows symptoms of"
"PQ_SAF-04_9","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'What is a ""shelter-in-place"" procedure in school crisis response?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Securing students and staff in classrooms or safe areas to protect from, not evaluating competing actions such as Moving students to the library to shelter during emergencies.","Context-based discrimination of Securing students and staff in classrooms or safe areas to within the clinical decision context of What is shelter-in-place procedure in school crisis response"
"PQ_SAF-04_10","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'How should schools coordinate with community mental health resources after a crisis?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Identify community resources in advance, coordinate referral pathways, and ensure communication between, not evaluating competing actions such as Refer all affected students to community agencies, skipping the assessment.","Context-based discrimination of Identify community resources in advance coordinate referral pathways and ensure within the clinical decision context of How should schools coordinate with community mental health"
"PQ_SAF-04_11","This is an Application item because the learner must use scenario details in 'A student who lost a parent to suicide six months ago shows grief reactions' to choose the best-fit intervention response. Success requires discriminating An anniversary reaction - expected recurrence of grief symptoms near significant dates from plausible but mismatched alternatives like Delayed grief disorder requiring immediate crisis intervention.","Context-based discrimination of An anniversary reaction expected recurrence of grief symptoms near significant within the clinical decision context of student who lost parent to suicide six months"
