"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_ACA-08_1","This is a Recall item because the stem directly asks students to identify Barkley's theoretical definition of ADHD without requiring interpretation of a case scenario or situational context requiring multiple sources.","Knowledge of Barkley's conceptual model positioning ADHD as a disorder of inhibitory control and self-regulation rather than attention or other domains"
"PQ_ACA-08_2","This is an Application item because students must interpret a behavioral scenario describing disorganization symptoms and match them to a specific executive functioning component within a real classroom context.","Discrimination among executive functioning deficits by matching specific behavioral patterns of disorganization to planning and organization impairment"
"PQ_ACA-08_3","This is an Application item because students must analyze a classroom scenario showing task-switching and abandonment patterns and identify the executive functioning component explaining failure to maintain engagement.","Identification of task persistence and inhibition of distracting behaviors as the EF component underlying failure to maintain engagement with single tasks"
"PQ_ACA-08_4","This is a Recall item because the stem is a direct factual question about the specific domains measured by the BRIEF-2 assessment without requiring scenario interpretation or comparative analysis.","Direct factual knowledge of the seven specific executive functioning domains assessed by the Behavior Rating Inventory of Executive Function-2"
"PQ_ACA-08_5","This is an Application item because students must interpret a cognitive profile showing discrepant abilities and classify it within a diagnostic framework by discriminating working memory deficits from other conditions.","Retrieval and matching of differential diagnostic indicators to identify working memory deficit as distinct from intellectual disability or sensory impairment"
"PQ_ACA-08_6","This is a Recall item because the stem asks students to recall the foundational relationship between two constructs from theoretical literature without requiring scenario-based application or comparative framework analysis.","Knowledge of metacognition as a foundational process that enables executive functioning through self-monitoring and strategic behavioral adjustment"
"PQ_ACA-08_7","This is an Application item because students must interpret specific classroom strategies and determine which executive functioning need they support based on instructional design principles.","Classification of classroom-based compensatory strategies as targeting planning, organization, and external memory support rather than remediation"
"PQ_ACA-08_8","This is a Recall item because the stem asks students to retrieve research findings about cognitive training outcomes without requiring interpretation of implementation scenarios or comparison of competing frameworks.","Direct recall of empirical research findings regarding the limited transfer effects and modest benefits of computerized cognitive training for ADHD symptoms"
"PQ_ACA-08_9","This is an Application item because students must interpret a case scenario showing student response to frequent immediate rewards and identify the theoretical principle underlying the intervention design.","Recognition of behavioral contingency management and reinforcement principles operating in a reward system designed for students with weak executive functioning"
"PQ_ACA-08_10","This is a Recall item because the stem asks students to retrieve the definitional distinction between cool and hot executive functioning constructs without situational application or multi-framework comparison.","Discrimination between cool EF as abstract, emotion-free problem-solving and hot EF as emotionally-laden, motivationally-dependent executive functioning processes"
"PQ_ACA-08_11","This is an Analysis item because students must interpret a performance discrepancy between contexts and synthesize understanding of competing theoretical frameworks regarding hot versus cool executive functioning limitations.","Analysis of performance discrepancies between controlled settings and real-world contexts by evaluating competing theories of hot and cool executive functioning"
"PQ_ACA-08_12","This is a Recall item because the stem asks students to retrieve developmental facts about early executive function improvement without analysis of a specific child profile or implementation context.","Direct factual knowledge of developmental trajectories showing inhibitory control as the executive functioning component with most dramatic improvement during preschool years"
"PQ_ACA-08_13","This is an Application item because students must interpret a scenario of external supports being used and identify the intervention principle being applied within a special education framework.","Classification of external supports as compensation rather than remediation, demonstrating understanding of bypassing deficits versus directly training impaired abilities"
"PQ_ACA-08_14","This is a Recall item because the stem asks students to recall research findings about sleep deprivation effects on executive function without analysis of implementation scenarios or intervention design.","Direct retrieval of research findings identifying inhibitory control and emotional regulation as executive functioning components most vulnerable to sleep deprivation effects"
"PQ_ACA-08_15","This is an Application item because students must analyze a student profile isolating response inhibition deficit while normal planning skills and select the most appropriate targeted intervention strategy.","Selection of behavioral impulse-control strategies specifically addressing response inhibition deficits distinct from other EF-focused interventions targeting planning"
"PQ_ACA-08_16","This is a Recall item because the stem asks students to recall neurobiological facts about specific brain regions responsible for executive functioning without interpretation of clinical scenarios.","Direct factual knowledge that the prefrontal cortex serves as the primary neural substrate for executive functioning in children and adolescents"
"PQ_ACA-08_17","This is an Application item because students must interpret a performance discrepancy pattern and identify the underlying cognitive deficit affecting independent task execution and problem solving.","Classification of independent task failure despite guided success as working memory deficit affecting maintenance and retrieval of procedural steps without support"
"PQ_ACA-08_18","This is a Recall item because the stem asks students to retrieve developmental trajectory facts about executive functioning across childhood years without analysis of individual student profiles.","Direct factual knowledge that executive functioning develops gradually from early childhood through early adulthood rather than reaching adult capacity by age nine"
"PQ_ACA-08_19","This is an Application item because students must interpret a student profile with weak working memory and recommend specific evidence-based accommodations matching the underlying cognitive limitation.","Selection of accommodations directly targeting working memory limitations by reducing concurrent processing demands through written instructions and simplified step-wise presentation"
