"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_MBH-02_1","This is an Application item because the learner must use scenario details in 'A fifth-grader with social anxiety refuses to raise her hand in class and avoids' to choose the best-fit intervention response. Success requires discriminating Cognitive-behavioral therapy (CBT) with exposure hierarchy to gradually increase participation and cognitive from plausible but mismatched alternatives like Psychodynamic therapy exploring unconscious conflicts from childhood.","Context-based discrimination of Cognitive-behavioral therapy CBT with exposure hierarchy to gradually increase participation within the clinical decision context of fifth-grader with social anxiety refuses to raise her"
"PQ_MBH-02_2","This is an Application item because the learner must use scenario details in 'A school psychologist is beginning individual counseling with a student reporting symptoms of depression' to choose the best-fit intervention response. Success requires discriminating Behavioral activation—gradually re-engaging in pleasurable and valued activities from plausible but mismatched alternatives like Cognitive restructuring to challenge all negative thoughts immediately.","Context-based discrimination of Behavioral activation gradually re-engaging in pleasurable and valued activities within the clinical decision context of school psychologist is beginning individual counseling with student"
"PQ_MBH-02_3","This is an Application item because the learner must use scenario details in 'Which characteristic distinguishes solution-focused brief therapy (SFBT) from other counseling approaches?' to choose the best-fit intervention response. Success requires discriminating It focuses on identifying exceptions (times when the problem was less severe from plausible but mismatched alternatives like It focuses primarily on exploring past trauma and unconscious conflicts.","Context-based discrimination of It focuses on identifying exceptions times when the problem was within the clinical decision context of Which characteristic distinguishes solution-focused brief therapy SFBT from"
"PQ_MBH-02_4","This is an Application item because the learner must use scenario details in 'A school psychologist uses the ""miracle question"" (""If a miracle happened and the problem' to choose the best-fit intervention response. Success requires discriminating Solution-focused brief therapy (SFBT) from plausible but mismatched alternatives like Cognitive-behavioral therapy (CBT).","Context-based discrimination of Solution-focused brief therapy SFBT within the clinical decision context of school psychologist uses the miracle question If miracle"
"PQ_MBH-02_5","This is an Application item because the learner must use scenario details in 'A student with school refusal is highly anxious about returning to school. The school' to choose the best-fit intervention response. Success requires discriminating Systematic desensitization using a graduated exposure hierarchy from plausible but mismatched alternatives like Flooding (intensive immediate exposure).","Context-based discrimination of Systematic desensitization using graduated exposure hierarchy within the clinical decision context of student with school refusal is highly anxious about"
"PQ_MBH-02_6","This is an Application item because the learner must use scenario details in 'Which counseling scenario represents appropriate use of group counseling versus individual counseling?' to choose the best-fit intervention response. Success requires discriminating A student with active trauma processing should begin in individual counseling from plausible but mismatched alternatives like A student with suicidal ideation should be seen in group.","Context-based discrimination of student with active trauma processing should begin in individual counseling within the clinical decision context of Which counseling scenario represents appropriate use of group"
"PQ_MBH-02_7","This is an Application item because the learner must use scenario details in 'A school psychologist is conducting grief counseling with a student after the loss of' to choose the best-fit intervention response. Success requires discriminating Validate the grief experience, allow expression of feelings, and gradually help the from plausible but mismatched alternatives like Discourage discussion of grief to minimize sadness.","Context-based discrimination of Validate the grief experience allow expression of feelings and gradually within the clinical decision context of school psychologist is conducting grief counseling with student"
"PQ_MBH-02_8","This is an Application item because the learner must use scenario details in 'A social skills group is being formed for students with difficulty initiating and maintaining' to choose the best-fit intervention response. Success requires discriminating Teach specific social skills (conversation starting, perspective-taking, conflict resolution) and provide practice from plausible but mismatched alternatives like Provide comprehensive information about social skills including conversation starting, perspective-taking.","Context-based discrimination of Teach specific social skills conversation starting perspective-taking conflict resolution and within the clinical decision context of social skills group is being formed for students"
"PQ_MBH-02_9","This is an Application item because the learner must use scenario details in 'A student is receiving CBT for anxiety. The therapist asks the student to identify' to choose the best-fit intervention response. Success requires discriminating Thought records/cognitive restructuring from plausible but mismatched alternatives like Behavioral activation involves scheduling meaningful activities to improve mood and.","Context-based discrimination of Thought records cognitive restructuring within the clinical decision context of student is receiving CBT for anxiety The therapist"
"PQ_MBH-02_10","This is an Application item because the learner must use scenario details in 'Which statement most accurately describes when school-based counseling should be discontinued and a student' to choose the best-fit intervention response. Success requires discriminating When symptoms are severe (suicidal ideation, psychosis), require intensive/ongoing individual therapy, or from plausible but mismatched alternatives like School counseling is often effective, but external referral becomes necessary.","Context-based discrimination of When symptoms are severe suicidal ideation psychosis require intensive ongoing within the clinical decision context of Which statement most accurately describes when school-based counseling"
"PQ_MBH-02_11","This is an Application item because the learner must use scenario details in 'A student receiving behavioral counseling for off-task behavior earns a reward token each time' to choose the best-fit intervention response. Success requires discriminating Contingency management from plausible but mismatched alternatives like Psychodynamic interpretation.","Context-based discrimination of Contingency management within the clinical decision context of student receiving behavioral counseling for off-task behavior earns"
"PQ_MBH-02_12","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Brief solution-focused therapy (SFBT) is typically delivered in how many sessions?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in 5-10 sessions (brief intervention), not evaluating competing actions such as 1-3 sessions (very brief).","Context-based discrimination of sessions brief intervention within the clinical decision context of Brief solution-focused therapy SFBT is typically delivered in"
"PQ_MBH-02_13","This is an Application item because the learner must use scenario details in 'Which of the following represents a correct application of motivational interviewing principles in school' to choose the best-fit intervention response. Success requires discriminating Exploring the student's ambivalence about change, reflecting back his own motivations, and from plausible but mismatched alternatives like Directly telling a student he must change, using confrontation and.","Context-based discrimination of Exploring the student's ambivalence about change reflecting back his own within the clinical decision context of Which of the following represents correct application of"
"PQ_MBH-02_14","This is an Application item because the learner must use scenario details in 'A student with selective mutism speaks fluently at home but is completely non-verbal at' to choose the best-fit intervention response. Success requires discriminating Gradual exposure to speaking situations with reinforcement (shaping from plausible but mismatched alternatives like Force the student to speak through consequences.","Context-based discrimination of Gradual exposure to speaking situations with reinforcement shaping within the clinical decision context of student with selective mutism speaks fluently at home"
"PQ_MBH-02_15","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Documentation in school-based counseling must include which of the following?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Session date, duration, topics addressed, student response, and plans for next session, not evaluating competing actions such as Detailed verbatim transcripts of everything the student said.","Context-based discrimination of Session date duration topics addressed student response and plans for within the clinical decision context of Documentation in school-based counseling must include which of"
"PQ_MBH-02_16","This is an Application item because the learner must use scenario details in 'A student receiving counseling for anxiety discloses information about peer conflict that may impact' to choose the best-fit intervention response. Success requires discriminating Assess for safety concerns from plausible but mismatched alternatives like Keep all information confidential and tell the student her disclosure.","Context-based discrimination of Assess for safety concerns within the clinical decision context of student receiving counseling for anxiety discloses information about"
"PQ_MBH-02_17","This is an Application item because the learner must use scenario details in 'Which theoretical approach emphasizes acceptance of experiences (including anxiety, sadness) rather than eliminating them' to choose the best-fit intervention response. Success requires discriminating Acceptance and Commitment Therapy (ACT)—acceptance of internal experiences while pursuing valued goals from plausible but mismatched alternatives like Traditional behavioral therapy focuses exclusively on symptom elimination and avoidance.","Context-based discrimination of Acceptance and Commitment Therapy ACT acceptance of internal experiences while within the clinical decision context of Which theoretical approach emphasizes acceptance of experiences including"
"PQ_MBH-02_18","This is an Application item because the learner must use scenario details in 'A school psychologist is planning an anxiety-reduction group for middle school students. Which format' to choose the best-fit intervention response. Success requires discriminating Structured psychoeducational format covering coping skills (breathing, cognitive strategies), anxiety physiology, and from plausible but mismatched alternatives like Unstructured free discussion without guidance, when the situation clearly calls.","Context-based discrimination of Structured psychoeducational format covering coping skills breathing cognitive strategies anxiety within the clinical decision context of school psychologist is planning an anxiety-reduction group for"
"PQ_MBH-02_19","This is an Application item because the learner must use scenario details in 'A student has made progress in individual CBT for depression and behavioral activation but' to choose the best-fit intervention response. Success requires discriminating A psychoeducational social skills group addressing peer relationships while continuing individual counseling from plausible but mismatched alternatives like Immediate termination of all counseling, when the situation still requires.","Context-based discrimination of psychoeducational social skills group addressing peer relationships while continuing individual within the clinical decision context of student has made progress in individual CBT for"
"PQ_MBH-02_20","This is an Application item because the learner must use scenario details in 'Which statement most accurately reflects research on the effectiveness of school-based counseling interventions?' to choose the best-fit intervention response. Success requires discriminating School-based counseling is effective for a range of concerns (anxiety, depression, behavioral from plausible but mismatched alternatives like School-based counseling is never effective, applied as a universal rule.","Context-based discrimination of School-based counseling is effective for range of concerns anxiety depression within the clinical decision context of Which statement most accurately reflects research on the"
"item_060","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Which therapeutic method or therapy works best for selective mutism?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Stimulus fading, not evaluating competing actions such as Behavior therapy.","Context-based discrimination of Stimulus fading within the clinical decision context of Which therapeutic method or therapy works best for"
"item_110","This is an Application item because the learner must use scenario details in 'Case example: An upper elementary school student is referred to the In the previous' to choose the best-fit intervention response. Success requires discriminating Direct instruction, modeling, and coaching from plausible but mismatched alternatives like Self-awareness, positive reinforcement, and social praise.","Context-based discrimination of Direct instruction modeling and coaching within the clinical decision context of Case example An upper elementary school student is"
"item_236","This is an Application item because the learner must use scenario details in 'A school psychologist is asked to perform an intervention for all students in an' to choose the best-fit intervention response. Success requires discriminating Social skills deficits from plausible but mismatched alternatives like Depression.","Context-based discrimination of Social skills deficits within the clinical decision context of school psychologist is asked to perform an intervention"
"item_238","This is an Application item because the learner must use scenario details in 'In which of the following situations would a school psychologist tell a teacher that' to choose the best-fit intervention response. Success requires discriminating When a student with attention deficit hyperactivity disorder (ADHD) starts to have from plausible but mismatched alternatives like When a child blurts out answers in class despite being.","Context-based discrimination of When student with attention deficit hyperactivity disorder ADHD starts to within the clinical decision context of In which of the following situations would school"
