"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_ETH-02_1","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'Professional malpractice in school psychology requires' scenario discrimination"
"PQ_ETH-02_2","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'The standard of care in school psychology is defined as' scenario discrimination"
"PQ_ETH-02_3","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'A school psychologist's case notes serve what legal and ethical purpose' scenario discrimination"
"PQ_ETH-02_4","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'A school psychologist supervises a trainee. If the trainee makes an error' scenario discrimination"
"PQ_ETH-02_5","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'A supervision model that matches challenge level and support to the supervisee's' scenario discrimination"
"PQ_ETH-02_6","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'Before delegating assessment responsibilities to a supervisee, the supervisor should' scenario discrimination"
"PQ_ETH-02_7","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'A school psychologist fails to conduct a triennial reevaluation on time for' scenario discrimination"
"PQ_ETH-02_8","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'A school psychologist conducts an evaluation and recommends a specific intervention. Later' scenario discrimination"
"PQ_ETH-02_9","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'When a supervisee makes an error that affects a student, the supervisor's' scenario discrimination"
"PQ_ETH-02_10","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","NASP ethics code application, professional boundaries, competence, and role obligations; applied to 'School psychological records should typically be retained for' scenario discrimination"
