"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_DBD-05_1","This is a Recall item because it requires direct retrieval of specific assessment knowledge—identifying which standardized instrument appropriately measures a particular cognitive domain without applying information to a hypothetical scenario.","Discriminating among cognitive assessment instruments based on construct validity and appropriateness for measuring phonological processing deficits"
"PQ_DBD-05_2","This is a Recall item because it requires direct knowledge of what cognitive ability digit span measures without scenario interpretation—a straightforward definition retrieval about assessment subtest purpose.","Identifying cognitive constructs measured by specific assessment subtests through knowledge of test design and subtest purpose"
"PQ_DBD-05_3","This is a Recall item because it requires retrieval of definitional knowledge about what RAN measures—rapid automatized naming and retrieval fluency—without application to a clinical scenario.","Recognizing the specific processing construct measured by rapid naming tasks in cognitive assessment batteries"
"PQ_DBD-05_4","This is a Recall item because it requires direct factual knowledge of TOMAL-2 subdomains without interpreting a clinical case or scenario—simple retrieval of assessment construct information.","Identifying memory constructs assessed by specific neuropsychological assessment battery including verbal and nonverbal memory domains"
"PQ_DBD-05_5","This is an Application item because it requires interpreting a clinical scenario and selecting the most appropriate WISC-V index to measure the hypothesized processing deficit underlying math difficulty.","Selecting appropriate cognitive assessment index to evaluate suspected visual-spatial processing deficits in mathematics learning"
"PQ_DBD-05_6","This is an Application item because it requires applying knowledge of SLD evaluation requirements to determine which processing assessment is essential for suspected reading disability assessment.","Identifying which processing domain assessment is necessary in comprehensive learning disability evaluation for suspected reading disability"
"PQ_DBD-05_7","This is a Recall item because it requires direct knowledge of what Beery VMI primarily measures without applying to a hypothetical case—straightforward assessment construct definition retrieval.","Identifying the primary cognitive construct measured by visual-motor integration copying task on developmental assessment"
"PQ_DBD-05_8","This is an Application item because it requires applying knowledge of the PSW model to a mathematics SLD case and identifying the expected pattern of average ability with specific math processing weakness.","Recognizing the characteristic cognitive-achievement pattern consistent with specific mathematics learning disability using PSW model"
"PQ_DBD-05_9","This is a Recall item because it requires direct knowledge of NEPSY-II characteristics and what domains it assesses—simple retrieval without application to a clinical scenario.","Identifying the primary purpose and constructs measured by neuropsychological assessment battery in school psychology practice"
"PQ_DBD-05_10","This is an Application item because it requires interpreting a specific cognitive profile and determining which processing measure would best clarify the underlying deficit causing fluency problems.","Selecting appropriate processing measure given intact phonological awareness but compromised reading fluency performance"
"PQ_DBD-05_11","This is an Application item because it requires applying knowledge of assessment design to create a testing approach that distinctly measures and compares two overlapping but separate constructs.","Designing assessment strategy to differentiate between working memory and attention processing deficits in cognitive evaluation"
"PQ_DBD-05_12","This is an Application item because it requires understanding evaluation best practices and determining when and how processing measures should be incorporated into comprehensive assessment protocols.","Determining the appropriate role of processing assessment batteries in comprehensive psychoeducational evaluation protocol design"
"PQ_DBD-05_13","This is an Analysis item because it requires examining and comparing performance across multiple assessment measures to synthesize findings and identify a specific processing weakness despite average performance in other domains.","Analyzing and interpreting discrepant cognitive and processing profiles to identify specific processing deficits in assessment"
"PQ_DBD-05_14","This is a Recall item because it requires direct knowledge of the Dual Discrepancy Model structure and its two key discrepancy types without interpreting a specific evaluation scenario.","Identifying the two comparison components examined by Dual Discrepancy Model in specific learning disability identification procedures"
"PQ_DBD-05_15","This is an Application item because it requires interpreting a specific pattern of achievement results to understand the nature of the reading difficulty and the student's relative processing strengths and weaknesses.","Inferring specific reading difficulty profile from differential performance on phonetic decoding versus sight word recognition subtests"
"PQ_DBD-05_16","This is an Application item because it requires analyzing specific CTOPP-2 subtest results to understand which phonological processing component is impaired and the relative strengths in naming fluency.","Interpreting intra-test subtest profile discrepancies on phonological processing assessment battery to identify specific weakness pattern"
"PQ_DBD-05_17","This is an Analysis item because it requires evaluating two different SLD identification approaches, analyzing their relative strengths, and synthesizing why PSW can identify cases the traditional model might miss.","Comparing SLD identification models and explaining PSW model advantages for cases without severe IQ-achievement discrepancy patterns"
"PQ_DBD-05_18","This is an Application item because it requires interpreting a specific cognitive profile and achievement pattern to identify and classify the type of learning disability based on the underlying processing weakness.","Linking specific cognitive processing deficit with mathematical performance difficulty in learning disability classification and identification"
"PQ_DBD-05_19","This is an Analysis item because it requires synthesizing information about measurement relationships and interpreting what discrepancies mean relative to task differences and underlying cognitive variation.","Analyzing discrepant results from cognitive and processing measures assessing overlapping constructs in comprehensive assessment"
"PQ_DBD-05_20","This is an Application item because it requires applying knowledge of the relationship between specific processing deficits and intervention selection to determine when intensive targeted intervention is warranted.","Identifying relationship between processing assessment severity and necessity for intensive specialized intervention targeted to deficit area"
"item_057","This is a Recall item because it requires direct retrieval of neurocognitive knowledge linking right hemisphere function to nonverbal and spatial reasoning without applying to a clinical assessment scenario.","Associating nonverbal novel problem-solving tasks with right hemisphere cognitive functioning and spatial reasoning abilities"
"item_086","This is a Recall item because it requires recognizing the definition of phonemic awareness tasks from a brief description without applying knowledge to a complex evaluation scenario.","Identifying phonemic awareness assessment when student manipulates word sounds during formal cognitive assessment administration"
"item_175","This is an Application item because it requires interpreting case information showing concurrent reading and quantitative difficulties to make the clinical decision to screen for mathematics-specific learning disability.","Identifying screening need for mathematics learning disability when student shows both reading and quantitative deficits concurrently"
