"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_LEG-04_1","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'The landmark case Brown v. Board of Education (1954) primarily established which' scenario discrimination"
"PQ_LEG-04_2","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'PARC v. Commonwealth of Pennsylvania (1971) is significant because it established' scenario discrimination"
"PQ_LEG-04_3","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'Mills v. Board of Education (1972) extended the principles of PARC by' scenario discrimination"
"PQ_LEG-04_4","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'Larry P. v. Riles (1979) and PASE v. Hannon (1980) reached different' scenario discrimination"
"PQ_LEG-04_5","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'The practical implication of these differing decisions (Larry P. vs. PASE) for' scenario discrimination"
"PQ_LEG-04_6","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'In Hendrick Hudson v. Rowley (1982), the Supreme Court established the standard' scenario discrimination"
"PQ_LEG-04_7","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'Endrew F. v. Douglas County School District (2017) was significant because it' scenario discrimination"
"PQ_LEG-04_8","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'Irving v. Tatro (1984) established an important principle regarding ""related services."" The' scenario discrimination"
"PQ_LEG-04_9","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'Honig v. Doe (1988) is most directly relevant to which school psychology' scenario discrimination"
"PQ_LEG-04_10","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'A school proposes a 10-day suspension for a student with a disability' scenario discrimination"
"PQ_LEG-04_11","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'Florence County School District Four v. Carter (1993) addressed parental placement in' scenario discrimination"
"PQ_LEG-04_12","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'Cedar Rapids School District v. Garret F. (1999) significantly expanded schools' obligations' scenario discrimination"
"PQ_LEG-04_13","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'Schaffer v. Weast (2005) addressed a procedural issue critical to IEP disputes' scenario discrimination"
"PQ_LEG-04_14","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'Forest Grove School District v. T.A. (2009) addressed whether parents can seek' scenario discrimination"
"PQ_LEG-04_15","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'A school psychologist must testify in a due process hearing regarding whether' scenario discrimination"
"PQ_LEG-04_16","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'In thinking about implications of case law for practice, a school psychologist' scenario discrimination"
"PQ_LEG-04_17","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'A school argues that it cannot afford to provide a student with' scenario discrimination"
"PQ_LEG-04_18","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'The line of cases from PARC through Endrew F. demonstrates an evolution' scenario discrimination"
"PQ_LEG-04_19","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Confidentiality, privilege, informed consent, and legally permitted disclosure limits; applied to 'A parent believes the school failed to provide FAPE and initiates a' scenario discrimination"
