"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_DIV-05_1","This is an Application item because the examinee must interpret the scenario of ELL underidentification and select the assessment principle that directly addresses nondiscriminatory evaluation, distinguishing language difference from language disorder specifically.","Nondiscriminatory evaluation principle: distinguishing language difference from language disorder in ELL assessment"
"PQ_DIV-05_10","This is a Recall item because it asks what components an equity audit should examine in special education, requiring knowledge of audit framework components without requiring scenario-driven decision analysis or synthesis.","Equity audit components: identification-placement rates, service quality-cultural responsiveness, and demographic outcome comparison"
"PQ_DIV-05_11","This is a Recall item because it asks what IEP goals should embody for students from collectivist-background families, requiring knowledge of culturally responsive goal-setting principles without scenario interpretation.","Cultural adaptation of IEP goals: collectivist values with family-community input integration and ambitious achievement targets"
"PQ_DIV-05_12","This is a Recall item because it asks the required procedural action when evaluating students experiencing homelessness, requiring knowledge of IDEA's housing-status-neutral evaluation mandate without case-specific decision analysis.","IDEA evaluation mandate for homeless students: proceeding with assessment regardless of housing instability status"
"PQ_DIV-05_13","This is an Application item because the examinee must interpret ELL evaluation procedures and choose the bilingual assessment approach necessary to distinguish language development from a genuine learning disability.","Bilingual evaluation protocol for ELL learning disability assessment: home and English language proficiency measurement necessity"
"PQ_DIV-05_14","This is an Application item because the examinee must interpret the school psychologist's role within the broader school-to-prison pipeline and recognize how placement-referral decisions affect criminal-justice involvement risk.","School psychologist agency in school-to-prison pipeline: discipline referral and special education placement decision impact on criminal-justice risk"
"PQ_DIV-05_15","This is an Application item because the examinee must apply the least restrictive environment principle to a placement decision, evaluating whether supplementary supports could avoid more restrictive alternatives.","LRE principle application: systematically exploring least-to-most-restrictive options with supplementary supports before restrictive placement"
"PQ_DIV-05_16","This is a Recall item because it asks the appropriate approach for identifying gifted students from underrepresented groups, requiring knowledge of bias-aware identification methods and multi-method assessment without case analysis.","Underrepresented-gifted identification: multi-method assessment and bias-aware referral processes for equitable talent discovery"
"PQ_DIV-05_17","This is a Recall item because it asks what legal entitlements students with disabilities in foster care have under IDEA and related child-welfare coordination requirements without requiring case-specific application.","Foster-care student IDEA entitlements: special education plus child-welfare coordination and trauma-informed IEP planning"
"PQ_DIV-05_18","This is an Analysis item because the examinee must synthesize multiple factors including assessment bias mechanisms, language effects, socioeconomic status barriers, and systemic educational-resource disparities to explain ID overidentification.","ID overidentification root causes: assessment bias mechanisms, language-SES effects, and systemic educational-resource disparities interaction"
"PQ_DIV-05_19","This is a Recall item because it asks the specific criterion for considering extended school year services, requiring knowledge of the regression-recoupment principle related to disability without individualized case analysis.","Extended school year eligibility criterion: significant regression-recoupment risk related to disability-specific needs over summer break"
"PQ_DIV-05_2","This is an Application item because the examinee interprets Lau v. Nichols and IDEA requirements in an ELL context and chooses the appropriate service language condition rather than recalling isolated facts or procedures.","Lau v. Nichols legal requirement for home-language evaluation and services availability in ELL programming"
"PQ_DIV-05_20","This is an Application item because the examinee must interpret comprehensive nondiscriminatory eligibility procedures and synthesize assessment sources to distinguish disability from other factors affecting student performance.","Special education eligibility nondiscriminatory procedures: comprehensive multi-source assessment and culturally appropriate evaluation across all students"
"PQ_DIV-05_3","This is an Application item because the examinee must analyze a twice-exceptional case and select the appropriate accommodation approach balancing giftedness with disability support needs across educational settings.","Twice-exceptional student support: simultaneous gifted curriculum access and disability accommodation implementation strategy"
"PQ_DIV-05_4","This is an Application item because the examinee must interpret the response-to-intervention framework requirement to intervene before formal evaluation, distinguishing effects of socioeconomic status from genuine disability causation.","Problem-solving sequence prerequisite: evidence-based general education intervention implementation before special education referral"
"PQ_DIV-05_5","This is an Analysis item because the examinee must synthesize multiple bias sources including test norms, cultural items, and referral processes and recognize bidirectional disproportionality resulting from systemic factors.","Assessment bias sources and mechanisms: test norm bias, item cultural loading, and referral bias creating over- and underidentification"
"PQ_DIV-05_6","This is a Recall item because it directly asks what IEP goals should reflect for low-income students with disabilities, requiring knowledge of goal-setting equity principles without requiring scenario analysis or case interpretation.","IEP goal-setting equity principle: ambitious outcomes despite SES with explicit poverty-barrier mitigation strategies"
"PQ_DIV-05_7","This is a Recall item because it asks for the definition of underrepresentation as the contrast case to overrepresentation, requiring factual knowledge of disproportionality terminology and patterns without case analysis.","Underrepresentation definition: lower-than-expected referral and identification rates relative to population representation patterns"
"PQ_DIV-05_8","This is an Application item because the examinee must apply IDEA procedures to a Native American student while interpreting tribal sovereignty considerations, balancing legal mandate with cultural respect and community involvement.","IDEA service provision for Native American students: balancing federal mandate with tribal sovereignty and cultural responsiveness"
"PQ_DIV-05_9","This is an Application item because the examinee must interpret restraint-seclusion data patterns and identify systemic bias disparities, inferring meaning from numerical evidence of disproportionate discipline rates across groups.","Restraint-seclusion disproportionality interpretation: recognizing race and disability-based disparities as systemic inequity indicators"
