"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_SAF-03_1","This is an Application item because the learner must use scenario details in 'A student tells a peer, ""I'm going to blow up the school."" When assessed' to choose the best-fit intervention response. Success requires discriminating A transient threat expression requiring assessment and monitoring but not necessarily exclusion from plausible but mismatched alternatives like A substantive threat requiring immediate arrest.","Context-based discrimination of transient threat expression requiring assessment and monitoring but not necessarily within the clinical decision context of student tells peer I'm going to blow up"
"PQ_SAF-03_2","This is an Application item because the learner must use scenario details in 'According to the Secret Service and Safe School Initiative research on targeted school violence' to choose the best-fit intervention response. Success requires discriminating The student has access to weapons or has communicated about obtaining weapons from plausible but mismatched alternatives like The student's family has a documented history of violence and.","Context-based discrimination of The student has access to weapons or has communicated about within the clinical decision context of According to the Secret Service and Safe School"
"PQ_SAF-03_3","This is an Application item because the learner must use scenario details in 'What is the primary purpose of a threat assessment rather than responding to threats' to choose the best-fit intervention response. Success requires discriminating To differentiate threats requiring intervention from expressions of distress, and to assess from plausible but mismatched alternatives like To avoid consequences for students making threats, skipping the assessment.","Context-based discrimination of To differentiate threats requiring intervention from expressions of distress and within the clinical decision context of What is the primary purpose of threat assessment"
"PQ_SAF-03_4","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Which group should compose a school threat assessment team according to best practices?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Multidisciplinary team including administration, mental health professional, educator, and SRO with defined, not evaluating competing actions such as School principal and school resource officer only, leaving out other.","Context-based discrimination of Multidisciplinary team including administration mental health professional educator and SRO within the clinical decision context of Which group should compose school threat assessment team"
"PQ_SAF-03_5","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to '""Leakage"" in threat assessment context refers to', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Intentional or unintentional disclosure of violent thoughts, plans, or intent to others, not evaluating competing actions such as Information shared with law enforcement about a student.","Context-based discrimination of Intentional or unintentional disclosure of violent thoughts plans or intent within the clinical decision context of Leakage in threat assessment context refers to"
"PQ_SAF-03_6","This is an Application item because the learner must use scenario details in 'How should a school differentiate between a suicide risk assessment and a threat assessment' to choose the best-fit intervention response. Success requires discriminating Recognize distinct risk factors and warning signs for each, adjusting assessment and from plausible but mismatched alternatives like Use identical procedures for both.","Context-based discrimination of Recognize distinct risk factors and warning signs for each adjusting within the clinical decision context of How should school differentiate between suicide risk assessment"
"PQ_SAF-03_7","This is an Application item because the learner must use scenario details in 'The Virginia Student Threat Assessment Guidelines (VSTAG) recommend addressing which factor when assessing whether' to choose the best-fit intervention response. Success requires discriminating The circumstances, the student's access to means, the student's state of mind from plausible but mismatched alternatives like Only the specific words used in the statement.","Context-based discrimination of The circumstances the student's access to means the student's state within the clinical decision context of The Virginia Student Threat Assessment Guidelines VSTAG recommend"
"PQ_SAF-03_8","This is an Application item because the learner must use scenario details in 'A student writes an assignment about a fictional school shooting. The student's teacher is' to choose the best-fit intervention response. Success requires discriminating Conduct private assessment with the student to understand the context, intent, and from plausible but mismatched alternatives like Assume this is a substantive threat and immediately report to.","Context-based discrimination of Conduct private assessment with the student to understand the context within the clinical decision context of student writes an assignment about fictional school shooting"
"PQ_SAF-03_9","This is an Application item because the learner must use scenario details in 'In threat assessment, what is the distinction between a ""serious threat"" and a ""very' to choose the best-fit intervention response. Success requires discriminating According to CSTAG, serious threats pose risk but may allow time for from plausible but mismatched alternatives like Serious threats are made by elementary students; very serious threats.","Context-based discrimination of According to CSTAG serious threats pose risk but may allow within the clinical decision context of In threat assessment what is the distinction between"
"PQ_SAF-03_10","This is an Application item because the learner must use scenario details in 'A student threatens a peer: ""You better watch yourself or something bad might happen' to choose the best-fit intervention response. Success requires discriminating Determine whether context, intent, and capability suggest actual risk versus intimidation/joking from plausible but mismatched alternatives like Immediately recommend law enforcement involvement.","Context-based discrimination of Determine whether context intent and capability suggest actual risk versus within the clinical decision context of student threatens peer You better watch yourself or"
"PQ_SAF-03_11","This is an Application item because the learner must use scenario details in 'According to research on warning signs of targeted school violence, which statement is most' to choose the best-fit intervention response. Success requires discriminating Most perpetrators show some warning signs, but many students show warning signs from plausible but mismatched alternatives like Students who will commit school violence usually give clear warning.","Context-based discrimination of Most perpetrators show some warning signs but many students show within the clinical decision context of According to research on warning signs of targeted"
"PQ_SAF-03_12","This is an Application item because the learner must use scenario details in 'A threat assessment team is concerned about a student who has researched weapons, discussed' to choose the best-fit intervention response. Success requires discriminating Law enforcement notification, safety planning, mental health assessment, and coordination with family from plausible but mismatched alternatives like Mental health counseling, parent notification, law enforcement consultation, and documented.","Context-based discrimination of Law enforcement notification safety planning mental health assessment and coordination within the clinical decision context of threat assessment team is concerned about student who"
"PQ_SAF-03_13","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'What is the relationship between mental illness and threat assessment?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in While mental health assessment is relevant, mental illness alone does not predict, not evaluating competing actions such as Students with mental illness are likely to commit school violence.","Context-based discrimination of While mental health assessment is relevant mental illness alone does within the clinical decision context of What is the relationship between mental illness and"
"PQ_SAF-03_14","This is an Application item because the learner must use scenario details in 'A student makes a vague threat, and the school psychologist must determine threat classification' to choose the best-fit intervention response. Success requires discriminating Use structured professional judgment considering multiple sources of information, context, and risk from plausible but mismatched alternatives like Err on the side of caution by treating all threats.","Context-based discrimination of Use structured professional judgment considering multiple sources of information context within the clinical decision context of student makes vague threat and the school psychologist"
"PQ_SAF-03_15","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'In threat assessment, what information should be gathered during the student interview?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Circumstances of the threat, stressors, understanding of impact, emotional state, any planning, not evaluating competing actions such as Only an admission of intent to harm, without accounting for.","Context-based discrimination of Circumstances of the threat stressors understanding of impact emotional state within the clinical decision context of In threat assessment what information should be gathered"
"PQ_SAF-03_16","This is an Application item because the learner must use scenario details in 'A student's social media shows violent fantasies, but the student is in a secure' to choose the best-fit intervention response. Success requires discriminating Violent ideation still requires assessment and mental health intervention despite current security from plausible but mismatched alternatives like The student poses no threat due to being secure.","Context-based discrimination of Violent ideation still requires assessment and mental health intervention despite within the clinical decision context of student's social media shows violent fantasies but the"
"PQ_SAF-03_17","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'What is the purpose of target identification in threat assessment?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in To understand who the student might intend to harm, informing investigation scope, not evaluating competing actions such as To blame victims for being threatening.","Context-based discrimination of To understand who the student might intend to harm informing within the clinical decision context of What is the purpose of target identification in"
"PQ_SAF-03_18","This is an Application item because the learner must use scenario details in 'A threat assessment concludes the student posed a transient threat with low ongoing risk' to choose the best-fit intervention response. Success requires discriminating Monitoring and follow-up, mental health support as indicated, and re-assessment if new from plausible but mismatched alternatives like No further action since it was low risk, rather than.","Context-based discrimination of Monitoring and follow-up mental health support as indicated and re-assessment within the clinical decision context of threat assessment concludes the student posed transient threat"
"PQ_SAF-03_19","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Distinguish between threat assessment and threat evaluation in school contexts', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Threat assessment is the process of determining risk; threat evaluation includes assessment, not evaluating competing actions such as They are identical processes.","Context-based discrimination of Threat assessment is the process of determining risk threat evaluation within the clinical decision context of Distinguish between threat assessment and threat evaluation in"
"PQ_SAF-03_20","This is an Application item because the learner must use scenario details in 'A school psychologist receives a threat assessment report from a private practitioner evaluating a' to choose the best-fit intervention response. Success requires discriminating Conduct the school's own threat assessment using school information, potentially reaching different from plausible but mismatched alternatives like Accept the private report without question because the practitioner is.","Context-based discrimination of Conduct the school's own threat assessment using school information potentially within the clinical decision context of school psychologist receives threat assessment report from private"
