"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_FAM-03_1","This is an Application item because the student must evaluate a specific foster care scenario, identify IDEA provisions for educational stability, and select the action that prioritizes continuity of current services over agency-directed placement.","Prioritizing educational stability for foster-placed students by coordinating IEP review with child welfare agencies per IDEA requirements"
"PQ_FAM-03_2","This is an Application item because the student must understand the legal function of an MOU and distinguish it from other documentation types, recognizing its role in establishing interagency accountability rather than replacing consent mechanisms.","Distinguishing the purpose of Memoranda of Understanding in establishing shared responsibilities and confidentiality procedures between schools and community agencies"
"PQ_FAM-03_3","This is an Application item because the student must recognize mandatory reporting obligation, prioritize child protection over contact procedures, and identify the correct first action despite competing procedural pressures.","Recognizing mandatory reporting obligations for suspected child abuse as the first priority in school psychologist response protocols"
"PQ_FAM-03_4","This is a Recall item because it asks the student to identify the specific legal requirement (signed release of information) that permits sharing educational records with external providers without requiring complex scenario analysis.","Identifying signed release of information as the required authorization for sharing student educational records with community providers"
"PQ_FAM-03_5","This is an Application item because the student must evaluate a substance abuse concern, recognize the need for family consent in referrals, and select the response that balances school intervention with appropriate external collaboration.","Facilitating substance abuse referrals through parental consent and informed explanation rather than coercion or avoidance of collaboration"
"PQ_FAM-03_6","This is a Recall item because it requires retrieval of the factual distinction between FERPA and HIPAA regulatory frameworks and their respective domains without requiring application to a specific scenario.","Distinguishing between FERPA governance of school records and HIPAA governance of health records requiring separate release mechanisms"
"PQ_FAM-03_7","This is an Application item because the student must evaluate juvenile justice liaison roles, distinguish appropriate coordination from privacy violations and discriminatory practices, and identify legitimate re-entry planning.","Identifying appropriate juvenile justice liaison roles as coordinating educational services and detention re-entry rather than facilitating law enforcement access"
"PQ_FAM-03_8","This is an Application item because the student must understand IEP transfer requirements across districts and prioritize service continuation while appropriate evaluation occurs, rather than delaying or automatically re-evaluating.","Implementing current IEPs immediately upon transfer while conducting necessary evaluations and maintaining service continuity across districts"
"PQ_FAM-03_9","This is a Recall item because it asks students to identify the core responsibility of McKinney-Vento liaisons as removing barriers to enrollment and attendance rather than providing housing or eligibility determinations.","Identifying McKinney-Vento liaison responsibility as ensuring educational access and removing enrollment barriers for homeless students"
"PQ_FAM-03_10","This is an Application item because the student must balance emergency safety needs with confidentiality requirements, recognizing that immediate information sharing in emergencies is appropriate with proper documentation and follow-up.","Balancing emergency information sharing with medical providers against confidentiality through documentation and post-emergency consent procedures"
"PQ_FAM-03_11","This is an Application item because the student must evaluate what components constitute an effective interagency agreement and distinguish essential collaborative elements from automatic information sharing or restrictive practices.","Identifying essential components of interagency crisis service agreements including referral procedures, confidentiality obligations, and communication protocols"
"PQ_FAM-03_12","This is an Application item because the student must distinguish the school psychologist's collaborative and supportive role in child protective services investigations from investigation leadership or information restriction.","Coordinating with child protective services through appropriate information sharing and observation contribution while supporting investigation processes"
"PQ_FAM-03_13","This is an Application item because the student must recognize transition planning requirements and identify the need for active family and student involvement, coordination with receiving agencies, and understanding of process changes.","Planning transitions to adult mental health care through student and family education, agency coordination, and collaborative involvement in transition processes"
"PQ_FAM-03_14","This is an Application item because the student must integrate medical recommendations into educational planning, ensure documentation and team involvement, and avoid both deferring entirely to medical providers and ignoring their input.","Integrating medical provider recommendations into formal educational plans through information review, team consultation, and documentation processes"
"PQ_FAM-03_15","This is an Application item because the student must identify the appropriate coordination role when students access school-based health centers, maintaining communication through proper releases while protecting confidentiality.","Coordinating with school-based health centers through signed releases of information to support comprehensive health and education service integration"
"PQ_FAM-03_16","This is an Application item because the student must recognize trafficking disclosure as requiring immediate reporting and coordination with protective services while avoiding independent investigation or perpetuator notification.","Recognizing human trafficking disclosure as requiring immediate reporting to law enforcement and protective services with victim service coordination"
"PQ_FAM-03_17","This is an Application item because the student must identify the proper mechanism for information sharing in wraparound services, requiring signed releases specifying agencies, information types, and purposes rather than blanket sharing.","Managing information sharing in wraparound services through signed releases specifying recipient agencies, data types, and authorized purposes"
"PQ_FAM-03_18","This is an Application item because the student must recognize that community-based school personnel require explicit agreements addressing licensure, confidentiality, liability, and supervision rather than automatic school protocol compliance.","Establishing Memoranda of Understanding with community mental health staff addressing licensure, confidentiality, liability, and supervision requirements"
"PQ_FAM-03_19","This is an Application item because the student must identify appropriate re-entry planning through interagency collaboration with justice, family, and school stakeholders while avoiding surveillance, exclusion, and information restrictions.","Planning successful re-entry for justice-involved students through interagency collaboration supporting educational, family, and reintegration goals"
"PQ_FAM-03_20","This is an Application item because the student must balance professional judgment about benefit against family autonomy and confidentiality rights, recognizing that respecting family requests while discussing benefits is ethically sound.","Respecting family preferences for limited information sharing while explaining potential benefits and inviting reconsideration through collaborative discussion"
