"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_PSY-04_1","This is a Recall item because it tests direct retrieval of Cummins' foundational distinction between BICS (2-3 years) and CALP (5-7+ years) without scenario analysis or contextual application beyond identifying the correct concept.","BICS and CALP distinction: Basic Interpersonal Communication Skills versus Cognitive Academic Language Proficiency development timelines"
"PQ_PSY-04_2","This is an Application item because the scenario presents a newly arrived ELL student and requires discriminating the correct first assessment step among plausible alternatives based on foundational assessment principles.","ELL assessment sequencing: determining language proficiency level before cognitive or achievement evaluation in newly arrived first-graders"
"PQ_PSY-04_3","This is an Application item because the scenario describes BICS achievement and requires the learner to accurately interpret what this does not imply regarding academic readiness and CALP development.","BICS proficiency interpretation: distinguishing surface English fluency from cognitive-academic language proficiency readiness in eighteen-month arrivals"
"PQ_PSY-04_4","This is an Application item because it requires understanding the functional purpose of nonverbal tests as methodological tools for reducing language barriers in ELL cognitive assessment, not merely retrieving.","Nonverbal cognitive testing application for ELL: isolating reasoning ability from language proficiency demands in assessment administration"
"PQ_PSY-04_5","This is an Application item because the scenario involves conducting evaluation with an interpreter and requires applying best-practice standards for interpreter training, communication protocols, and test integrity.","Interpreter protocols for psychological evaluation: establishing communication standards and test administration fidelity with language mediators"
"PQ_PSY-04_6","This is a Recall item because it tests direct retrieval of the definition of cultural loading in assessments—performance dependence on culture-specific knowledge—without scenario analysis or discrimination.","Cultural loading definition: degree to which test performance depends on culture-specific background knowledge and experiences"
"PQ_PSY-04_7","This is an Application item because the scenario presents low achievement in a recently immigrated student and requires evaluating multiple contextual factors as alternative explanations before concluding disability.","Alternative explanations for low achievement: considering educational history, prior schooling gaps, and acculturation in immigrant students"
"PQ_PSY-04_8","This is a Recall item because it tests retrieval of the defining procedural feature of dynamic assessment—test-teach-retest approach—and its purpose of measuring learning potential without scenario application.","Dynamic assessment definition: test-teach-retest procedures examining learning capacity and zone of proximal development exploration"
"PQ_PSY-04_9","This is a Recall item because it retrieves the standard best practice for bilingual assessment requiring evaluation in both languages without presenting a complex scenario demanding interpretation or competing claims.","Bilingual assessment best practice: comprehensive evaluation in both languages to obtain complete cognitive and linguistic profile"
"PQ_PSY-04_10","This is a Recall item because it requires retrieving IDEA's specific statutory requirement for native language assessment of ELL students without scenario analysis, directly testing knowledge of federal regulatory mandate.","IDEA regulatory requirements for ELL assessment: native language and English assessment provision when feasible to prevent disadvantage"
"PQ_PSY-04_11","This is an Application item because the scenario describes variable educational background and requires the test-taker to prioritize which foundational question must answer first, not simply retrieving one fact.","Preliminary assessment prioritization for immigrant students: determining language proficiency and educational history before cognitive ability determination"
"PQ_PSY-04_12","This is a Recall item because it tests direct retrieval of the silent period definition as a normal language development stage without scenario application or discrimination against misconceptions about pathology.","Silent period definition: expected receptive language processing phase before productive speech emergence in second language acquisition"
"PQ_PSY-04_13","This is an Application item because the scenario presents concurrent language difference and deficit and requires interpreting whether these represent separate or overlapping phenomena through applying disorder identification knowledge.","Language disorder and language difference discrimination: recognizing comorbid conditions within culturally and linguistically diverse assessment context"
"PQ_PSY-04_14","This is an Application item because the negative-item format requires test-takers to discriminate best practices from poor practices by applying culturally responsive assessment principles to identify which practice excludes.","Best practices identification for CLD students: discriminating evidence-based assessment practices from practices to exclude in evaluation"
"PQ_PSY-04_15","This is an Application item because the scenario presents cross-linguistic deficit patterns and requires interpreting what this pattern indicates about underlying learning disability mechanism versus typical language development differences.","Cross-linguistic literacy deficit pattern interpretation: identifying language-based learning disability through bilateral performance in both languages"
"PQ_PSY-04_16","This is an Application item because reducing disproportionality requires comprehensive approaches including culturally responsive screening tools, effective tier-one instruction, and thorough evaluation that accounts for language proficiency and cultural context.","Disproportionate representation reduction: implementing assessment, screening, and instructional practices preventing over-identification in special education"
"PQ_PSY-04_17","This is an Application item because the scenario involves interpreting scores for culturally diverse students and requires applying the principle that norm group representativeness affects interpretation validity and score meaning.","Assessment result interpretation caution: considering norm group representativeness and cultural differences in score meaning applicability"
"PQ_PSY-04_18","This is a Recall item because it tests retrieval of the definitional distinction between sequential and simultaneous bilingualism concerning literacy development without scenario application or complex contextual discrimination.","Sequential versus simultaneous bilingualism distinction: literacy development sequencing and first-language foundational effects on acquisition"
"PQ_PSY-04_19","This is an Application item because the scenario describes varied prior schooling and requires interpreting achievement results within educational history context, not merely retrieving a learning disability definition from memory.","Prior educational experience impact on achievement interpretation: distinguishing learning disability from educational gaps and curriculum differences"
"PQ_PSY-04_20","This is an Application item because it requires recognizing all essential components of comprehensive evaluation for differentiating disability from difference in CLD populations through synthesizing multiple assessment and history domains.","Comprehensive evaluation for CLD students: integrating bilingual cognitive assessment, language proficiency, and developmental history components"
"item_026","This is an Application item because it requires understanding how cultural bias on standardized tests can mask true abilities in diverse students and applying this principle to carefully interpret assessment results.","Cultural bias effects on standardized assessment: recognizing test limitations and practicing cautious interpretation when norms may not represent background"
"item_145","This is an Application item because the scenario presents a Spanish-fluent, limited-English student and requires synthesizing formal assessment choices, informal data gathering, and history to construct comprehensive evaluation.","Comprehensive multilingual assessment protocols: combining appropriately normed tests with informal measures and developmental history integration"
