"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_ACA-09_1","This is an Application item because it presents a realistic scenario requiring interpretation of a medical condition and decision-making about appropriate assessment and intervention sequencing rather than simple recall of definitions.","Comprehensive re-entry assessment and planning procedures following traumatic brain injury in pediatric populations"
"PQ_ACA-09_2","This is an Application item because it requires understanding how different school professionals collaborate on medical management within an educational context, applying knowledge to a specific student scenario.","Shared responsibility and professional coordination in diabetes management and monitoring within school settings"
"PQ_ACA-09_3","This is a Recall item because it asks students to retrieve specific knowledge about the characteristic educational profile most commonly associated with FASD without requiring interpretation or decision-making.","Executive functioning deficits and average intellectual ability in fetal alcohol spectrum disorder presentations"
"PQ_ACA-09_4","This is an Application item because it requires analyzing how a specific seizure type affects educational processes and distinguishing this from misconceptions about severity and behavioral effects.","Educational impact of absence seizures on sustained attention and classroom learning accumulation processes"
"PQ_ACA-09_5","This is a Recall item because it requires students to identify the specific term and concept for cognitive changes following chemotherapy, a factual retrieval task without scenario interpretation.","Cancer-related cognitive impairment as distinct etiology in chemotherapy survivors following post-treatment recovery"
"PQ_ACA-09_6","This is an Application item because it requires analyzing which health conditions during specific developmental windows are most likely to cause intellectual disability, comparing mechanisms and developmental timing.","Critical developmental periods and identification of neurological threats to intellectual functioning capacity"
"PQ_ACA-09_7","This is a Recall item because it asks students to identify the definition and purpose of 504 plans versus IDEA special education, requiring retrieval of categorical distinctions without complex scenario analysis.","Distinction between 504 plan eligibility criteria and IDEA special education disability category requirements"
"PQ_ACA-09_8","This is an Application item because it presents a complex presentation requiring interpretation of how psychological factors interact with medical conditions and selection of appropriate evidence-based interventions.","Pain-related anxiety and avoidance behaviors in medical conditions addressed through cognitive-behavioral intervention strategies"
"PQ_ACA-09_9","This is a Recall item because it requires retrieving established knowledge about how ADHD affects educational outcomes regardless of cognitive ability, without requiring scenario interpretation or complex synthesis.","ADHD impact on academic achievement and learning outcomes independent of intellectual ability level"
"PQ_ACA-09_10","This is an Application item because it requires identifying the appropriate professional response to a chronic medical condition affecting school attendance and performance, distinguishing appropriate from inappropriate exclusionary practices.","Professional coordination with medical team for chronic sickle cell disease management in school settings"
"PQ_ACA-09_11","This is an Application item because it requires recognizing the connection between corticosteroid medication effects and behavior changes, then applying knowledge about appropriate professional communication and coordination.","Recognition of medication side effects as behavioral etiology and implementation of physician communication protocols"
"PQ_ACA-09_12","This is an Application item because it requires understanding that standard assessment procedures are inappropriate and determining which modifications (braille, large print, audio format) maintain assessment validity.","Identification and implementation of assessment modification procedures for students with visual impairment populations"
"PQ_ACA-09_13","This is a Recall item because it requires retrieving factual knowledge about the neurobiological nature of tics and their relationship to stress without requiring complex scenario analysis or decision-making.","Understanding involuntary nature of tics in Tourette syndrome and stress-exacerbation relationships in educational contexts"
"PQ_ACA-09_14","This is a Recall item because it requires identifying the correct IDEA disability category definition and matching it to a health condition, a factual retrieval task without complex interpretive judgment.","IDEA disability category classification and matching of health conditions affecting school attendance and functioning"
"PQ_ACA-09_15","This is an Application item because it requires interpreting reported symptoms, recognizing them as medication side effects, and determining appropriate professional action involving communication with the prescribing physician.","Recognition of medication side effects and implementation of appropriate physician reporting protocols for psychostimulants"
"PQ_ACA-09_16","This is an Application item because it requires identifying a medical emergency situation, distinguishing it from behavioral problems, and applying appropriate emergency response protocols rather than punitive approaches.","Recognition of hypoglycemic medical emergency situations and implementation of appropriate emergency management protocols"
"PQ_ACA-09_17","This is an Application item because it requires analyzing how prenatal drug exposure affects multiple cognitive and behavioral domains, distinguishing comprehensive assessment approaches from single-domain assessments.","Analysis of multiple neurodevelopmental domains affected by prenatal drug exposure in neuropsychological assessment procedures"
"PQ_ACA-09_18","This is a Recall item because it requires retrieving factual knowledge about which medication classes have cognitive side effects, specifically naming anticonvulsants without requiring complex clinical interpretation.","Identification of cognitive side effects of anticonvulsant medications on processing speed and learning capacity"
"PQ_ACA-09_19","This is an Application item because it requires understanding the neuropsychological basis for accommodation decisions and distinguishing legitimate compensatory adjustments from grade-lowering or academic-avoidance practices.","Extended test time accommodation rationale based on processing speed and working memory constraints in ADHD"
"PQ_ACA-09_20","This is an Application item because it requires interpreting post-illness functioning, recognizing anxiety as a normal response to medical trauma, and determining appropriate graduated re-integration rather than immediate or indefinite homebound placement.","Development of gradual re-entry planning and accommodation needs following severe illness and hospitalization recovery"
