"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_DBD-01_1","This is an Application item because the student must select the correct sequence of assessment methods according to RIOT principles, requiring analysis of procedural steps and evaluation logic rather than isolated fact recall or definition retrieval.","RIOT framework sequencing: prioritizing records review and interviews before formal testing in special education evaluation"
"PQ_DBD-01_2","This is an Application item because the student must identify a specific observational bias from a described scenario, requiring discrimination and classification among different observer error types and their behavioral manifestations.","Halo effect identification in behavioral observation: recognizing how observer impression from one event biases subsequent rating accuracy"
"PQ_DBD-01_3","This is an Application item because the student must evaluate which combination of assessment methods best represents multimethod data gathering principles in behavioral assessment and classroom performance measurement.","Multimethod assessment design: combining direct observation, interview data, and multiple raters to triangulate authentic classroom performance"
"PQ_DBD-01_4","This is an Application item because the student must identify the feature that contributes to interview validity, requiring selection and judgment among competing structural and procedural interview characteristics that affect data quality.","Semi-structured interview validity: balancing consistency across key inquiry areas with flexibility to follow important details"
"PQ_DBD-01_5","This is an Application item because the student must distinguish between assessment method purposes and constraints, comparing the current-curriculum specificity of probes with the broader normative scope and limitations of standardized testing.","Informal curriculum-based probe versus standardized achievement test differentiation: curriculum sampling versus norm-referenced comparison"
"PQ_DBD-01_6","This is an Application item because the student must identify reactivity as a source of observational bias from described behavioral changes during observation, understanding how observer presence affects measurement validity.","Observer reactivity detection: recognizing when student behavior changes due to presence of observer rather than reflecting typical classroom functioning"
"PQ_DBD-01_7","This is an Application item because the student must select a recording method matching the behavior target characteristics and interpret limitations of frequency-based measurement for different behavioral phenomena.","Frequency recording selection and interpretation: choosing event recording for discrete behaviors and analyzing count-based measurement appropriateness"
"PQ_DBD-01_8","This is an Application item because the student must analyze cumulative file data to form defensible hypotheses about performance decline and its contextual or instructional sources based on longitudinal patterns.","Records review interpretation: identifying patterns of performance decline and linking to potential causative events in cumulative educational history"
"PQ_DBD-01_9","This is an Application item because the student must select recording methods that capture temporal dimensions of behavior rather than frequency alone, demonstrating understanding of behavior measurement modality matching.","Duration and latency recording selection: choosing measurement approaches aligned with behavior topography (continuous versus event-based)"
"PQ_DBD-01_10","This is an Application item because the student must interpret discrepancies in ratings from multiple observers and apply reliability concepts to judge measurement consistency and observational validity.","Observer agreement and inter-rater reliability: evaluating consistency differences between observers and their implications for validity"
"PQ_DBD-01_11","This is an Application item because the student must analyze qualitative observational data in narrative format to derive quantitative conclusions about behavior patterns and frequency from written descriptions.","Narrative observation analysis: extracting behavioral frequency and pattern information from running-record format data"
"PQ_DBD-01_12","This is an Application item because the student must recognize how incomplete or missing records create information gaps that affect comprehensive evaluation design and the formation of accurate assessment hypotheses.","Records review bias recognition: identifying how limited or missing cumulative data affects hypothesis formation and evaluation planning"
