"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_ACA-02_1","This is a Recall item because it requires students to retrieve the definition of accommodation versus modification directly without interpreting a scenario or applying the distinction to a case.","Distinguishing accommodations from modifications based on whether grade-level content standards remain unchanged"
"PQ_ACA-02_2","This is an Application item because the student must interpret a specific scenario involving extended test time for ADHD and classify it correctly within the accommodation-modification framework.","Classifying extended testing time as an accommodation within an ADHD attention-sustaining scenario"
"PQ_ACA-02_3","This is an Application item because the student must evaluate multiple options and select which one appropriately modifies grade-level curriculum content for an intellectually disabled student.","Identifying curriculum content modifications appropriate for intellectual disability and single-digit arithmetic operations"
"PQ_ACA-02_4","This is an Application item because the student must evaluate four options and select the accommodation that reduces motor barriers without changing testing standards in disability context.","Recognizing typing accommodation as barrier reduction without standard modification for motor disability on tests"
"PQ_ACA-02_5","This is a Recall item because it requires students to identify text-to-speech as a specific category of assistive technology accommodation without processing a case scenario or student context.","Classifying text-to-speech software as assistive technology accommodation for dyslexia and reading access"
"PQ_ACA-02_6","This is an Application item because the student must determine the intended function of a quiet testing location accommodation within a Section 504 anxiety disorder scenario.","Explaining separate quiet test environment as barrier removal for anxiety-related performance impediment"
"PQ_ACA-02_7","This is a Recall item because it requires students to identify the correct definition of Universal Design for Learning without applying the framework to a specific student case.","Defining UDL as proactive curriculum design incorporating multiple representation, expression, and engagement modalities"
"PQ_ACA-02_8","This is an Application item because the student must classify large-print textbooks and seating arrangements as accommodations within a visual impairment scenario with specific access needs.","Recognizing large-print and proximity accommodations as access supports maintaining grade-level content expectation"
"PQ_ACA-02_9","This is an Application item because the student must interpret a word processor accommodation and determine its specific function as barrier removal without changing writing standards.","Identifying word processor accommodation as physical barrier removal that preserves writing expectations and content standards"
"PQ_ACA-02_10","This is a Recall item because it requires students to classify reduced reading requirements as a modification by retrieving the definition of content standard changes.","Distinguishing curriculum content reduction in reading requirements as a modification changing expectation level"
"PQ_ACA-02_11","This is an Application item because the student must evaluate how to design effective, individualized accommodations by considering the student's specific needs, documented IEP goals, and learning barriers.","Determining individualized accommodation design using student needs, IEP goals, and identified learning barriers"
"PQ_ACA-02_12","This is an Analysis item because the student must evaluate whether continued extended time is appropriate and synthesize alternative strategies based on progress monitoring data.","Evaluating accommodation efficacy through data analysis and reconsidering strategy effectiveness versus continued extension"
"PQ_ACA-02_13","This is an Application item because the student must connect FAPE legal requirements to accommodation design by recognizing meaningful curriculum access and IEP progress principles.","Applying FAPE mandate requiring accommodations enabling meaningful curriculum access and IEP goal attainment"
"PQ_ACA-02_14","This is an Application item because the student must analyze a reading level modification and recognize how it alters reading standard while potentially maintaining content understanding standard.","Analyzing reading-level material modification preserving content understanding while changing reading difficulty standard"
"PQ_ACA-02_15","This is an Application item because the student must determine the correct purpose of testing accommodations as barrier removal rather than test easiness or content modification.","Identifying appropriate testing accommodation function as removing knowledge demonstration barriers without content alteration"
"PQ_ACA-02_16","This is an Application item because the student must evaluate and select an appropriate accommodation that enables classroom participation within a speech disability communication scenario.","Identifying alternative participation methods as accommodations for speech disability preserving academic engagement"
"PQ_ACA-02_17","This is a Recall item because it requires students to retrieve and discriminate the important distinction between temporary instructional scaffolding that is faded and permanent accommodations.","Discriminating temporary instructional scaffolding from permanent accommodations as progressively faded instructional supports"
"PQ_ACA-02_18","This is an Application item because the student must interpret movement breaks as an ADHD accommodation and explain its specific function as attention barrier removal.","Explaining movement break accommodation as attention and arousal regulation support enabling instructional focus"
"PQ_ACA-02_19","This is an Analysis item because the student must carefully evaluate data suggesting accommodation ineffectiveness and synthesize multiple options including re-evaluation or modified alternative strategies.","Synthesizing data-based decision-making regarding accommodation effectiveness and considering re-evaluation or alternative approaches"
"PQ_ACA-02_20","This is a Recall item because it requires students to retrieve the definition of LRE as placing students in least-restrictive educational settings with necessary supports.","Defining LRE principle requiring instruction in general education setting with least removal while providing necessary services"
"item_009","This is an Application item because the student must determine appropriate teacher procedure for discussing and offering accommodations for an assignment with a visually impaired student.","Determining collaborative accommodation discussion approach for assignment modifications with visually impaired student"
"item_059","This is an Application item because the student must select the appropriate test accommodation that directly addresses dysgraphia's written expression motor planning barrier without changing content.","Selecting multiple-choice test format as accommodation reducing written response motor demands for dysgraphia"
"item_199","This is an Application item because the student must identify extra time as appropriate accommodation addressing reading fluency as a barrier to test performance and access.","Recognizing extended time as accommodation supporting reading fluency barrier removal during assignment and test completion"
