"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_MBH-05_1","This is an Application item because the learner must use scenario details in 'Which brain region is most directly responsible for executive functioning, impulse control, and working' to choose the best-fit intervention response. Success requires discriminating Prefrontal cortex (PFC), particularly the dorsolateral prefrontal cortex from plausible but mismatched alternatives like The amygdala, which governs fear and emotional memory rather than.","Context-based discrimination of Prefrontal cortex PFC particularly the dorsolateral prefrontal cortex within the clinical decision context of Which brain region is most directly responsible for"
"PQ_MBH-05_2","This is an Application item because the learner must use scenario details in 'A child who experienced chronic trauma shows heightened startle responses, hypervigilance, and difficulty concentrating' to choose the best-fit intervention response. Success requires discriminating Amygdala from plausible but mismatched alternatives like Prefrontal cortex (which would reduce fear response).","Context-based discrimination of Amygdala within the clinical decision context of child who experienced chronic trauma shows heightened startle"
"PQ_MBH-05_3","This is an Application item because the learner must use scenario details in 'Which neurotransmitter system is primarily implicated in ADHD, and what is the typical intervention' to choose the best-fit intervention response. Success requires discriminating Dopamine system, particularly in the prefrontal cortex and striatum from plausible but mismatched alternatives like Serotonin system dysfunction in limbic regions; primarily used for comorbid.","Context-based discrimination of Dopamine system particularly in the prefrontal cortex and striatum within the clinical decision context of Which neurotransmitter system is primarily implicated in ADHD"
"PQ_MBH-05_4","This is an Application item because the learner must use scenario details in 'Which neurotransmitter system is most involved in anxiety disorders and depression, and is the' to choose the best-fit intervention response. Success requires discriminating Serotonin system from plausible but mismatched alternatives like Dopamine system exclusively.","Context-based discrimination of Serotonin system within the clinical decision context of Which neurotransmitter system is most involved in anxiety"
"PQ_MBH-05_5","This is an Application item because the learner must use scenario details in 'The HPA axis (Hypothalamic-Pituitary-Adrenal axis) is crucial for the stress response. Which hormone, released' to choose the best-fit intervention response. Success requires discriminating Cortisol from plausible but mismatched alternatives like Growth hormone (promotes physical growth).","Context-based discrimination of Cortisol within the clinical decision context of The HPA axis Hypothalamic-Pituitary-Adrenal axis is crucial for"
"PQ_MBH-05_6","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Neuroplasticity refers to which capability of the brain?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in The brain's ability to change and form new neural connections throughout life, not evaluating competing actions such as The brain's inability to change after early childhood, which removes.","Context-based discrimination of The brain's ability to change and form new neural connections within the clinical decision context of Neuroplasticity refers to which capability of the brain"
"PQ_MBH-05_7","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Critical periods of brain development are windows of time when', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in The brain is particularly sensitive to environmental input for certain skills (e.g, not evaluating competing actions such as The brain is particularly sensitive to environmental input for certain.","Context-based discrimination of The brain is particularly sensitive to environmental input for certain within the clinical decision context of Critical periods of brain development are windows of"
"PQ_MBH-05_8","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Which brain region is primarily responsible for forming new memories and spatial navigation?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Hippocampus, not evaluating competing actions such as Amygdala.","Context-based discrimination of Hippocampus within the clinical decision context of Which brain region is primarily responsible for forming"
"PQ_MBH-05_9","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Broca's area and Wernicke's area are language-related regions in the brain. Where are they', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in In the left temporal and frontal lobes (in most right-handed individuals), not evaluating competing actions such as In the cerebellum, when a targeted and purposeful response is.","Context-based discrimination of In the left temporal and frontal lobes in most right-handed within the clinical decision context of Broca's area and Wernicke's area are language-related regions"
"PQ_MBH-05_10","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Which statement most accurately describes hemispheric specialization in the brain?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in The left hemisphere typically specializes in language and logical processing, not evaluating competing actions such as The right and left hemispheres are identical with no functional.","Context-based discrimination of The left hemisphere typically specializes in language and logical processing within the clinical decision context of Which statement most accurately describes hemispheric specialization in"
"PQ_MBH-05_11","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'The corpus callosum is', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in The main bundle of neural fibers connecting the left and right hemispheres, not evaluating competing actions such as Part of the limbic system involved in emotion, which is.","Context-based discrimination of The main bundle of neural fibers connecting the left and within the clinical decision context of The corpus callosum is"
"PQ_MBH-05_12","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Epigenetics refers to which concept in the context of genes and environment?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Environmental factors can activate or silence genes without changing DNA sequence, not evaluating competing actions such as Genes determine behavior completely; environment is irrelevant.","Context-based discrimination of Environmental factors can activate or silence genes without changing DNA within the clinical decision context of Epigenetics refers to which concept in the context"
"PQ_MBH-05_13","This is an Application item because the learner must use scenario details in 'Which of the following conditions has a strong genetic heritability component, meaning multiple family' to choose the best-fit intervention response. Success requires discriminating ADHD, autism spectrum disorder, and depression from plausible but mismatched alternatives like Language spoken at home (determined by environment only).","Context-based discrimination of ADHD autism spectrum disorder and depression within the clinical decision context of Which of the following conditions has strong genetic"
"PQ_MBH-05_14","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Stimulant medications (e.g., methylphenidate) used for ADHD work by', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Increasing dopamine and norepinephrine availability in the prefrontal cortex and attention centers, not evaluating competing actions such as Increasing inhibition in the brain and reducing all neural activity.","Context-based discrimination of Increasing dopamine and norepinephrine availability in the prefrontal cortex and within the clinical decision context of Stimulant medications methylphenidate used for ADHD work by"
"PQ_MBH-05_15","This is an Application item because the learner must use scenario details in 'Which medication class is commonly used for anxiety and depression in children, and how' to choose the best-fit intervention response. Success requires discriminating Selective serotonin reuptake inhibitors (SSRIs) from plausible but mismatched alternatives like Stimulants (increasing dopamine).","Context-based discrimination of Selective serotonin reuptake inhibitors SSRIs within the clinical decision context of Which medication class is commonly used for anxiety"
"PQ_MBH-05_16","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Which neurotransmitter imbalance is most implicated in depression?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Insufficient serotonin and/or norepinephrine, not evaluating competing actions such as Excessive dopamine production in the prefrontal cortex and limbic system.","Context-based discrimination of Insufficient serotonin and or norepinephrine within the clinical decision context of Which neurotransmitter imbalance is most implicated in depression"
"PQ_MBH-05_17","This is an Application item because the learner must use scenario details in 'Sleep plays a critical role in brain development and functioning. Which of the following' to choose the best-fit intervention response. Success requires discriminating Adequate sleep supports memory consolidation, emotional regulation, and prefrontal cortex functioning from plausible but mismatched alternatives like Sleep duration has no effect on executive functions, when multiple.","Context-based discrimination of Adequate sleep supports memory consolidation emotional regulation and prefrontal cortex within the clinical decision context of Sleep plays critical role in brain development and"
"PQ_MBH-05_18","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'The cerebellum is primarily involved in', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Motor coordination, balance, and cerebellar cognitive functions (timing, attention), not evaluating competing actions such as Language production, which describes a related condition but does not.","Context-based discrimination of Motor coordination balance and cerebellar cognitive functions timing attention within the clinical decision context of The cerebellum is primarily involved in"
"PQ_MBH-05_19","This is an Application item because the learner must use scenario details in 'Which statement accurately describes the relationship between puberty, brain development, and risk-taking in adolescents?' to choose the best-fit intervention response. Success requires discriminating The prefrontal cortex (judgment, impulse control) is still developing during adolescence while from plausible but mismatched alternatives like The brain is fully developed by age 12, and adolescent.","Context-based discrimination of The prefrontal cortex judgment impulse control is still developing during within the clinical decision context of Which statement accurately describes the relationship between puberty"
"PQ_MBH-05_20","This is an Application item because the learner must use scenario details in 'A student with a history of early childhood trauma shows reduced hippocampal volume on' to choose the best-fit intervention response. Success requires discriminating Trauma-related changes in the hippocampus (memory/stress regulation) and HPA axis, leading to from plausible but mismatched alternatives like Trauma has no effect on brain structure, when a more.","Context-based discrimination of Trauma-related changes in the hippocampus memory stress regulation and HPA within the clinical decision context of student with history of early childhood trauma shows"
"item_029","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Which brain structure is usually associated with emotions?', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Amygdala, not evaluating competing actions such as Parietal lobe.","Context-based discrimination of Amygdala within the clinical decision context of Which brain structure is usually associated with emotions"
"item_085","This is a Recall item because it asks the learner to retrieve the specific meaning or definition tied to 'Traumatic brain injury (TBI) in children', rather than selecting among intervention pathways. The key distinction is remembering the precise construct in Can cause learning disabilities and attention problems, not evaluating competing actions such as Is serious, but typically not as serious as TBI in.","Context-based discrimination of Can cause learning disabilities and attention problems within the clinical decision context of Traumatic brain injury TBI in children"
