"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_ETH-01_1","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A student discloses to the school psychologist that their parent is hitting' scenario discrimination"
"PQ_ETH-01_2","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'According to NASP Principles for Professional Ethics (2020), the four broad themes' scenario discrimination"
"PQ_ETH-01_3","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A parent asks to see the raw test data from their child's' scenario discrimination"
"PQ_ETH-01_4","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist is asked to conduct a third-party evaluation (ordered by' scenario discrimination"
"PQ_ETH-01_5","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist has a family member who is a teacher in' scenario discrimination"
"PQ_ETH-01_6","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A student is 17 years old and wants a psychological evaluation but' scenario discrimination"
"PQ_ETH-01_7","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist suspects a colleague is providing services outside their scope' scenario discrimination"
"PQ_ETH-01_8","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'According to ethical standards for documentation, a school psychologist's case notes should' scenario discrimination"
"PQ_ETH-01_9","This is an Application item because the student must map the rule to the scenario facts and reject plausible alternatives that misuse the standard. Success depends on contextual judgment, not rote definition recall.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'A school psychologist becomes aware they made an error in interpreting a' scenario discrimination"
"PQ_ETH-01_10","This is a Recall item because it primarily asks for direct retrieval of the governing legal/ethical rule in the prompt. The student does not need to weigh competing actions across a multi-step scenario.","Structured ethical decision-making, competing-duty analysis, and defensible documentation; applied to 'Informed consent for school psychological services requires' scenario discrimination"
