"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_SWP-03_1","This is a Recall item because it asks for accurate identification of the specific ESSA Tier 1 evidence standards and their defining characteristics without requiring multi-step scenario analysis or decision-making.","ESSA evidence hierarchy: definition and identification of Tier 1 rigorous study requirements across populations and settings"
"PQ_SWP-03_2","This is a Recall item because it requires factual knowledge of the What Works Clearinghouse institutional role, sponsorship, and systematic review functions without requiring scenario-based application.","What Works Clearinghouse institutional role: IES-sponsored systematic review and research rigor rating functions"
"PQ_SWP-03_3","This is an Application item because the student must interpret evidence criteria within a realistic school scenario involving new program evaluation and select an action aligned with rigorous evidence standards.","Program efficacy assessment: effect size interpretation and evidence strength discrimination in selection context"
"PQ_SWP-03_4","This is a Recall item because it asks for identification of the conceptual distinction and functional differences between ESSA and WWC systems without requiring implementation application.","ESSA evidence tiers versus What Works Clearinghouse rating systems: comparative organizational framework and definitions"
"PQ_SWP-03_5","This is an Application item because the student must select the implementation approach that balances fidelity with meaningful adaptation while integrating monitoring and local contextual considerations.","Implementation fidelity with cultural adaptation: balancing core component integrity and meaningful contextual adjustment"
"PQ_SWP-03_6","This is a Recall item because it requires factual definition of external validity as a research concept and its meaning for generalization without scenario-based application.","External validity in research: generalizability of findings and effects across diverse populations and implementation settings"
"PQ_SWP-03_7","This is an Application item because the student must evaluate evidence from a specific demographic context and consider generalizability and context-fit when implementing in a different population.","Evidence generalization and context-sensitivity: demographic variation in program effectiveness and implementation considerations"
"PQ_SWP-03_8","This is a Recall item because it asks for definition of implementation science as a field of study, its core focus, and relevance without requiring application to school scenarios.","Implementation science definition: discipline addressing evidence-to-practice translation and real-world systematic adoption mechanisms"
"PQ_SWP-03_9","This is a Recall item because it requires factual knowledge of Fixsen implementation stage terminology and specific characteristics of the initial implementation phase without application context.","Fixsen implementation stage sequence: initial implementation phase characteristics, staff training, and fidelity development"
"PQ_SWP-03_10","This is a Recall item because it asks for definition of fidelity measurement as a technical term and measurement approach without scenario-based application or implementation problem-solving.","Fidelity measurement definition: systematic assessment of program implementation adherence and design alignment"
"PQ_SWP-03_11","This is an Application item because the student must diagnose implementation failure in a realistic scenario by prioritizing investigation of fidelity as primary troubleshooting variable.","Implementation failure diagnosis: fidelity investigation as primary intervention troubleshooting and effectiveness variable"
"PQ_SWP-03_12","This is an Application item because the student must apply implementation science knowledge to select the appropriate balance between rigid fidelity maintenance and culturally responsive adaptation.","Core component preservation amid adaptation: distinguishing essential implementation elements from superficial cultural customization"
"PQ_SWP-03_13","This is an Application item because the student must integrate evidence strength, cost data, local population fit, and long-term outcome considerations to advise district leadership on program adoption.","Cost-effectiveness analysis within evidence hierarchy: integrating financial expense with efficacy, equity, and long-term outcomes"
"PQ_SWP-03_14","This is a Recall item because it requires factual definition of ESSA promising evidence tier classification and its meaning within the evidence hierarchy without scenario application.","ESSA promising evidence tier: definition of moderate research support and documented need for further rigorous investigation"
"PQ_SWP-03_15","This is an Application item because the student must identify and integrate multiple relevant variables including fidelity, outcomes, equity, and sustainability to make program continuation decisions.","Program continuation decision criteria: synthesis of fidelity, outcome equity, cost-effectiveness, and sustainability data"
"PQ_SWP-03_16","This is a Recall item because it asks for identification of equity implementation principles in evidence-based programs without multi-step scenario analysis or complex decision-making application.","Equity in evidence-based programs: examining outcome distribution disparities across student demographic subgroups"
"PQ_SWP-03_17","This is a Recall item because it requires accurate identification of logic model components and their sequential structure without application to evaluation or planning scenarios.","Logic model structure: inputs, activities, outputs, outcomes, and causal pathway representation in evaluation frameworks"
"PQ_SWP-03_18","This is an Application item because the student must diagnose implementation difficulty in a realistic scenario and select an appropriate response within normal program adoption timeline.","Implementation challenge response: distinguishing initial implementation learning curve from program design ineffectiveness"
"PQ_SWP-03_19","This is a Recall item because it asks for identification of sustainability planning principles and proactive strategies without scenario-based decision application to complex implementation problems.","Program sustainability planning: proactive resource allocation, staff capacity-building, and organizational integration strategies"
"PQ_SWP-03_20","This is an Application item because the student must identify and integrate comprehensive decision criteria including evidence, local context, implementation demands, and population characteristics for leadership presentation.","Evidence-based program recommendation synthesis: integrating efficacy data, local context fit, resources, and population matching"
"item_088","This is an Application item because the student must evaluate alternative behavioral intervention approaches and select evidence-based practices aligned with systemic equity and effectiveness considerations.","Discipline alternative selection: restorative approaches as evidence-based replacements for traditional suspension penalties"
"item_153","This is an Application item because the student must evaluate bullying intervention approaches and select the strategy aligned with restorative and collaborative implementation principles throughout.","Bullying intervention approach: restorative practice recommendation versus individual-focused counseling and group alternatives"
"item_191","This is a Recall item because it asks for accurate identification and recall of the four specific components of the trauma-informed care framework without scenario-based application.","Trauma-informed care framework: realize, recognize, respond, and resist retraumatization component identification sequence"
"item_194","This is a Recall item because it requires factual knowledge of documented zero-tolerance policy negative consequences and limitations without intervention planning or implementation application decisions.","Zero-tolerance policy consequences: negative outcomes including racial disproportionality rather than behavioral effectiveness"
