"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_MBH-04_1","This is an Application item because the learner must use scenario details in 'According to current CDC data, what is the approximate prevalence rate of Autism Spectrum' to choose the best-fit intervention response. Success requires discriminating 1 in 36 from plausible but mismatched alternatives like 1 in 88.","Context-based discrimination of in within the clinical decision context of According to current CDC data what is the"
"PQ_MBH-04_2","This is an Application item because the learner must use scenario details in 'A 7-year-old child has significant difficulty understanding social cues, limited eye contact, restricted interests' to choose the best-fit intervention response. Success requires discriminating Autism Spectrum Disorder (ASD) from plausible but mismatched alternatives like ADHD.","Context-based discrimination of Autism Spectrum Disorder ASD within the clinical decision context of year-old child has significant difficulty understanding social cues"
"PQ_MBH-04_3","This is an Application item because the learner must use scenario details in 'A 10-year-old meets criteria for Generalized Anxiety Disorder: excessive worry about school performance, health' to choose the best-fit intervention response. Success requires discriminating Educate the student about anxiety physiology from plausible but mismatched alternatives like Immediately remove the student from academic demands until anxiety resolves.","Context-based discrimination of Educate the student about anxiety physiology within the clinical decision context of year-old meets criteria for Generalized Anxiety Disorder excessive"
"PQ_MBH-04_4","This is an Application item because the learner must use scenario details in 'Which statement accurately reflects the relationship between depression and ADHD in children and adolescents?' to choose the best-fit intervention response. Success requires discriminating Depression and ADHD can co-occur from plausible but mismatched alternatives like Depression and ADHD never co-occur; a child has one or.","Context-based discrimination of Depression and ADHD can co-occur within the clinical decision context of Which statement accurately reflects the relationship between depression"
"PQ_MBH-04_5","This is an Application item because the learner must use scenario details in 'A 9-year-old shows a pattern of frequent arguing with adults, refusing to comply with' to choose the best-fit intervention response. Success requires discriminating Oppositional Defiant Disorder (ODD) from plausible but mismatched alternatives like Conduct Disorder, which involves more severe violations of others' rights.","Context-based discrimination of Oppositional Defiant Disorder ODD within the clinical decision context of year-old shows pattern of frequent arguing with adults"
"PQ_MBH-04_6","This is an Application item because the learner must use scenario details in 'A 12-year-old meets criteria for Specific Phobia: extreme fear and avoidance of dogs following' to choose the best-fit intervention response. Success requires discriminating Systematic desensitization or graded exposure from plausible but mismatched alternatives like Telling the child to ""just get over it"".","Context-based discrimination of Systematic desensitization or graded exposure within the clinical decision context of year-old meets criteria for Specific Phobia extreme fear"
"PQ_MBH-04_7","This is an Application item because the learner must use scenario details in 'A 7-year-old refuses to leave home for school, becomes extremely anxious when parents prepare' to choose the best-fit intervention response. Success requires discriminating Separation Anxiety Disorder (excessive anxiety about separation from attachment figures) from plausible but mismatched alternatives like Specific Phobia, when the described profile points to a different.","Context-based discrimination of Separation Anxiety Disorder excessive anxiety about separation from attachment figures within the clinical decision context of year-old refuses to leave home for school becomes"
"PQ_MBH-04_8","This is an Application item because the learner must use scenario details in 'A 14-year-old is experiencing persistent depressed mood (feeling ""empty"" and sad), loss of pleasure' to choose the best-fit intervention response. Success requires discriminating Major Depressive Disorder (MDD) if symptoms meet duration and severity criteria from plausible but mismatched alternatives like Normal adolescent moodiness (no intervention needed).","Context-based discrimination of Major Depressive Disorder MDD if symptoms meet duration and severity within the clinical decision context of year-old is experiencing persistent depressed mood feeling empty"
"PQ_MBH-04_9","This is an Application item because the learner must use scenario details in 'A student with Autism Spectrum Disorder is nonverbal, has severe intellectual disability, and shows' to choose the best-fit intervention response. Success requires discriminating ASD with co-occurring intellectual disability and minimal language—a more severe presentation of from plausible but mismatched alternatives like High-functioning autism with typical verbal communication abilities and average intellectual.","Context-based discrimination of ASD with co-occurring intellectual disability and minimal language more severe within the clinical decision context of student with Autism Spectrum Disorder is nonverbal has"
"PQ_MBH-04_10","This is an Application item because the learner must use scenario details in 'A child repeatedly lies, steals from peers, and deliberately breaks school property. When confronted' to choose the best-fit intervention response. Success requires discriminating Conduct Disorder from plausible but mismatched alternatives like Oppositional Defiant Disorder only.","Context-based discrimination of Conduct Disorder within the clinical decision context of child repeatedly lies steals from peers and deliberately"
