"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_DBD-06_1","This is an Application item because the scenario presents discrepant multi-informant ratings and requires the student to interpret why ratings differ, then select the most defensible interpretation of setting-specific behavior variance.","Multi-informant behavioral rating scale interpretation and discrimination of setting-specific versus rater-bias explanations for discrepant findings"
"PQ_DBD-06_2","This is a Recall item because it requires retrieval of the specific BASC-3 T-score cutoff meaning (T=72) and direct classification within established clinical reference bands, without scenario-based interpretation.","BASC-3 T-score metric interpretation: identification of clinical significance thresholds and corresponding behavioral severity levels"
"PQ_DBD-06_3","This is an Application item because the student must evaluate discrepant Conners 3 ratings across two observers and discriminate between valid setting-specific expression and invalid rater-error explanations.","Interpretation of cross-setting behavioral rating discrepancies: discrimination of environmental demand effects from measurement invalidity or rater bias"
"PQ_DBD-06_4","This is a Recall item because the question directly asks for the CBCL construct domain and requires accurate retrieval of what the instrument measures without application to a clinical scenario.","Child Behavior Checklist domain classification: identification of parent-reported emotional/behavioral problem constructs measured"
"PQ_DBD-06_5","This is an Application item because the scenario presents a profile incongruence (high self-report anxiety with low observed anxiety) and requires the student to interpret why visible discrepancy exists and what it reveals about assessment method limitations.","Integration of self-report and observational assessment modality: discrimination of internal symptom manifestation from external behavioral visibility across measurement methods"
"PQ_DBD-06_6","This is a Recall item because it asks for the name of the instrument that measures childhood depression, requiring straightforward instrument-construct knowledge retrieval without scenario complexity.","Instrument-to-construct matching for depression assessment: identification of the Children's Depression Inventory as a targeted depression screening measure"
"PQ_DBD-06_7","This is an Application item because the scenario requires interpretation of an elevated externalizing profile with specific subscale elevations (Aggression, Rule-Breaking) to formulate appropriate intervention implications.","Profile-pattern interpretation in behavioral assessment: linking elevated externalizing and aggression subscale elevations to behavioral intervention targeting"
"PQ_DBD-06_8","This is an Application item because the scenario presents discrepant BASC-3 informant forms (TRS elevated, PRS normal) requiring synthesis of cross-setting observation patterns and awareness differences.","Multi-informant BASC-3 profile divergence analysis: discrimination of school-specific anxiety/withdrawal presentation from home-based parent perception limitations"
"PQ_DBD-06_9","This is a Recall item because it requires direct knowledge of how RCADS and SCARED differ in construct coverage and scope, with no scenario-based clinical decision-making required.","Anxiety and depression assessment instrument differentiation: RCADS versus SCARED construct scope and domain specialization comparison"
"PQ_DBD-06_10","This is an Application item because the scenario requires judgment about what behavioral assessment data is legally and clinically sufficient for special education eligibility classification decisions.","Behavioral assessment comprehensiveness for special education eligibility determination: identification of necessary standardized subscale data across domains"
"PQ_DBD-06_11","This is an Application item because the profile (high aggression, low anxiety/depression) requires interpretation of the dominant behavioral concern and what primary intervention focus is indicated.","Behavioral profile pattern recognition and interpretation: identification of externalizing-dominant pattern and discrimination from mixed or internalizing profiles"
"PQ_DBD-06_12","This is a Recall item because it asks students to directly identify which listed BASC-3 subscale measures adaptive or positive behaviors, requiring specific instrument knowledge retrieval.","BASC-3 subscale domain identification: recognition of Adaptability as a positive/protective behavioral scale versus problem-focused scales"
"PQ_DBD-06_13","This is an Application item because the scenario presents an unusual elevated profile pattern (one subscale high, others baseline) requiring critical examination of response validity and potential causes.","Response pattern validity examination: interpretation of unexpected single-subscale elevations and discrimination from genuine behavioral concerns"
"PQ_DBD-06_14","This is an Application item because the scenario presents discrepant informant reports (teacher hyperactivity concerns, parent aggression concerns, no parent hyperactivity) requiring interpretation of setting-specific behavioral manifestation.","Differential behavioral manifestation across settings: discrimination of school-specific hyperactivity from home-specific aggression in multi-informant assessment"
"PQ_DBD-06_15","This is an Application item because the question asks about best practice methodology for integrating multiple assessment sources and requires judgment about appropriate triangulation strategy.","Multi-method assessment integration strategy: application of triangulation principles across rating scales, observation, interview, and record data sources"
"PQ_DBD-06_16","This is an Application item because the scenario presents inconsistent and contradictory responding patterns and requires the student to evaluate response validity and determine appropriate interpretive caution.","Response validity assessment and inconsistency detection: identification of contradictory response patterns and appropriate limits on interpretation"
"PQ_DBD-06_17","This is an Application item because the profile (high social withdrawal, low social skills) requires interpretation of what the combined pattern reveals about social functioning and functioning domains.","Social-behavioral profile pattern synthesis: interpretation of withdrawal and social skills deficits as indicators of social avoidance with possible skill limitations"
"PQ_DBD-06_18","This is an Application item because the scenario requires judgment about appropriate language for reporting rating scale findings and discrimination of preliminary indicators from confirmed diagnostic conclusions.","Professional communication clarity in behavioral assessment reporting: appropriate qualification and hedging of rating scale data as indicative, not diagnostic"
"PQ_DBD-06_19","This is an Application item because the scenario requires selection of appropriate assessment instruments considering developmental age appropriateness and early childhood norms in instrument selection.","Developmental appropriateness in rating scale selection: identification of age-specific instruments with normative foundations for early childhood populations"
"PQ_DBD-06_20","This is an Application item because the question asks about the purpose and value of comprehensive multi-method assessment integration for diagnostic accuracy and intervention planning.","Comprehensive behavioral assessment purpose and outcome: application of multi-source integration for diagnostic accuracy and targeted intervention development"
"item_006","This is an Application item because the scenario presents parent interview context during emotional assessment and requires selection of the most appropriate initial behavioral rating scale to supplement interview data.","Behavioral assessment instrument selection in clinical interview context: identification of BASC-3 as comprehensive initial emotional/behavioral rating tool"
"item_041","This is a Recall item because it asks for the typical use of projective measures (Rorschach, Draw-a-Person) and requires retrieval of their role and limitations in school psychology assessment.","Projective technique function and application boundaries: identification of supplementary information role and awareness of psychometric limitations in school settings"
