"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_PSY-02_1","This is an Application item because the psychologist must interpret an actual reliability coefficient (0.52) and judge its acceptability for a behavioral measure. Success requires applying knowledge of reliability standards to a specific measurement context.","Interpretation of test-retest reliability coefficients and judgment of adequacy for behavioral measurement purposes"
"PQ_PSY-02_2","This is a Recall item because it directly asks for the definition of what Cronbach's alpha measures. The task requires retrieving factual knowledge about a specific statistical concept without requiring scenario interpretation.","Cronbach's alpha as measure of internal consistency across test items within single administration"
"PQ_PSY-02_3","This is an Application item because the scenario presents conflicting ratings from two observers and requires the student to identify the reliability concern being demonstrated. Success depends on applying understanding of inter-rater reliability to a concrete situation.","Identification of inter-rater reliability concerns from discrepant behavioral ratings across independent observers"
"PQ_PSY-02_4","This is an Application item because the scenario describes a specific testing situation and asks for recognition of a methodological limitation. The student must apply knowledge of practice effects to evaluate the validity of a reliability estimation approach.","Recognition of practice effects and memory contamination as limitations for test-retest reliability estimation"
"PQ_PSY-02_5","This is a Recall item because it asks for the primary purpose of SEM, which is a factual definition requiring retrieval of statistical measurement concepts without scenario-based interpretation.","Standard error of measurement purpose for establishing confidence intervals around individual test scores"
"PQ_PSY-02_6","This is a Recall item because it directly asks for the definition of content validity. The task requires retrieving factual knowledge about a specific validity concept without requiring application to a scenario.","Content validity as comprehensive representation of domain or construct through test items"
"PQ_PSY-02_7","This is an Application item because the scenario describes a screening tool designed for future prediction and requires identifying which validity type should be examined. Success depends on recognizing the match between the tool's purpose and appropriate validity evidence.","Selection of predictive validity evidence to evaluate early screening tool accuracy for future reading performance"
"PQ_PSY-02_8","This is an Application item because the scenario presents divergent scores on two reliable measures and requires explaining this apparent contradiction. The student must apply understanding that reliability does not guarantee identical measurement of constructs.","Explanation of score discrepancies between reliable measures through differential construct coverage and norming differences"
"PQ_PSY-02_9","This is a Recall item because it asks for the definition of convergent validity. The task requires retrieving the factual definition of this validity concept without requiring application to a complex scenario.","Convergent validity demonstrated through strong correlation with measures of identical or highly similar constructs"
"PQ_PSY-02_10","This is a Recall item because it asks for the definition of discriminant validity. The task requires retrieving factual knowledge about what discriminant validity demonstrates without scenario-based analysis.","Discriminant validity supported through weak correlation with measures of theoretically unrelated constructs"
"PQ_PSY-02_11","This is an Application item because the scenario presents an unexpected item response pattern and requires identifying its significance. The student must apply understanding of item analysis and differential item functioning to interpret observed data.","Recognition of differential item functioning from aberrant item response patterns across score levels"
"PQ_PSY-02_12","This is an Application item because the scenario presents contradictory reliability coefficients and requires distinguishing between types of reliability evidence. Success depends on applying knowledge of independence between different reliability types.","Differentiation between internal consistency and inter-rater reliability as independent measurement quality components"
"PQ_PSY-02_13","This is a Recall item because it asks for a fundamental conceptual relationship between two core measurement properties. The task requires retrieving the definition of this relationship without requiring scenario application.","Relationship between reliability as necessary condition and validity as sufficient outcome in test development"
"PQ_PSY-02_14","This is an Application item because the scenario provides multiple pieces of validity evidence and requires identifying which validity component is not addressed. Success requires applying knowledge of different validity types to interpret a complex test manual.","Identification of missing validity evidence types from comprehensive test manual information about scale properties"
"PQ_PSY-02_15","This is an Application item because the scenario describes false positive results and requires interpreting their measurement significance. The student must apply understanding of sensitivity versus specificity to evaluate screening effectiveness.","Interpretation of false positive screening results as sensitivity problems in classification accuracy assessment"
"PQ_PSY-02_16","This is an Application item because the scenario presents a mismatch between normative group and assessed student population and requires evaluating implications. Success depends on applying knowledge of validity generalization limits.","Evaluation of validity evidence applicability constraints across culturally and linguistically diverse student populations"
"PQ_PSY-02_17","This is a Recall item because it asks for the definition of incremental validity. The task requires retrieving the specific meaning of this validity concept without requiring complex scenario-based interpretation.","Incremental validity as added predictive information contribution beyond existing established assessment measures"
"PQ_PSY-02_18","This is an Application item because the scenario requires evaluating whether published validity evidence applies to a specific population served. Success depends on applying professional judgment about measurement appropriateness across different groups.","Clinical judgment regarding validity evidence applicability within specific underrepresented community school settings"
"PQ_PSY-02_19","This is an Application item because the scenario presents a program effectiveness claim requiring critical evaluation. The student must apply multiple criteria involving statistical significance, effect size, and measurement validity.","Critical evaluation of intervention effectiveness using effect size, control group comparison, and measure quality"
"PQ_PSY-02_20","This is a Recall item because it asks for the definition of differential item functioning. The task requires retrieving the specific concept definition without requiring application to a scenario.","Differential item functioning occurrence when item difficulty varies across groups matched on total score"
"item_017","This is an Application item because the scenario provides specific reliability and validity coefficients and requires evaluating test suitability for district purchase. The student must apply knowledge of acceptable validity ranges to make an informed decision.","Convergent validity interpretation and judgment of adequacy for test adoption in resource-limited school districts"
"item_187","This is an Application item because the scenario provides a specific correlation coefficient and requires determining what validity conclusion is supported. Success depends on applying understanding of validity inference from empirical relationships.","Inference of validity conclusions from correlation coefficients in cognitive abilities screening assessment context"
"item_246","This is a Recall item because it asks students to recognize which correlation coefficient represents the strongest reliability by comparing their magnitudes. The task requires applying the basic rule that absolute value indicates strength without scenario complexity.","Comparison of reliability coefficient magnitudes by absolute value to identify strongest measurement stability evidence"
"item_248","This is a Recall item because it asks for the purpose of correlating overall scores on similar tests, which is a factual concept requiring knowledge retrieval about test development methodology.","Purpose of convergent validity evidence through inter-test correlations in standardized cognitive battery development"
