"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_DIV-03_1","This is a Recall item because it asks for factual definition and naming of a statistical concept (disproportionality in referral-to-placement pipeline) rather than requiring scenario interpretation or multi-step analysis.","Disproportionality in special education referral and placement patterns versus actual disability distribution across racial/ethnic groups"
"PQ_DIV-03_2","This is an Application item because the stem presents a specific assessment decision-making scenario where prior information prematurely anchors conclusions, requiring discriminating this bias from other cognitive errors.","Anchoring bias in psychoeducational assessment interpretation when prior impressions unduly influence current conclusions"
"PQ_DIV-03_3","This is a Recall item because it asks for direct definition of what the IAT measures (unconscious associations) rather than requiring scenario analysis or applying this concept to a complex case.","Implicit Association Test measurement of unconscious associations distinct from explicit attitudes and deliberate behavior"
"PQ_DIV-03_4","This is an Application item because the examinee must analyze a scoring scenario involving test bias and non-representative norms, determining which validity concern is most relevant to a specific student demographic.","Cultural loading in standardized test items and norm group non-representativeness as bias sources affecting score interpretation"
"PQ_DIV-03_5","This is an Application item because the scenario requires identifying how teacher cultural bias might lead to inappropriate special education referral, necessitating evaluation of referral basis against disability criteria.","Cultural differences in communication styles misinterpreted as behavioral/emotional disability when referral decisions lack bias awareness"
"PQ_DIV-03_6","This is a Recall item because it asks for direct factual definition and interpretation of a statistical term (risk ratio) without requiring scenario analysis or comparison with alternative statistical concepts.","Risk ratio interpretation as comparative rate of discipline between focal group and reference group"
"PQ_DIV-03_7","This is an Application item because the scenario describes a pattern of biased data interpretation, requiring the examinee to identify this specific cognitive error and its impact on assessment validity and decision quality.","Confirmation bias in assessment interpretation when preferential weight given to data confirming initial impressions"
"PQ_DIV-03_8","This is an Application item because the stem presents theory in scenario context and requires identifying the specific mechanism through which stereotype threat operates on cognitive performance and motivation.","Stereotype threat effects on academic performance when negative group stereotypes create cognitive and affective interference"
"PQ_DIV-03_9","This is an Application item because the scenario requires identifying the most appropriate initial action when disproportionality is observed, balancing urgency with need for data-informed decision-making processes.","Evidence-based investigation protocols for disproportionate referral patterns before implementing intervention or accepting disparity"
"PQ_DIV-03_10","This is an Application item because the scenario describes conflicting data sources and requires identifying how anchoring bias specifically leads to misattribution of performance to ability rather than contextual factors.","Anchoring bias affecting ability interpretation when standardized test score receives unwarranted credibility despite contradictory classroom evidence"
"PQ_DIV-03_11","This is a Recall item because it requires direct definition and recognition of microaggressions as a concept class rather than analyzing a complex scenario or comparing theoretical frameworks about discrimination.","Microaggressions as subtle, brief, cumulative hostile communications conveying derogatory messages based on group identity"
"PQ_DIV-03_12","This is an Application item because the scenario requires recognizing how demographic group data is inappropriately applied to individual cases, and identifying this as fallacious reasoning contrary to individualized assessment principles.","Stereotyping error when group statistical data applied to individual probability predictions, undermining individualized assessment"
"PQ_DIV-03_13","This is an Application item because the scenario presents a professional discovery of implicit bias and requires identifying the ethically appropriate response involving acknowledgment, reflection, and behavioral change.","Ethical imperative for acknowledging implicit biases and implementing deliberate corrective measures in professional practice"
"PQ_DIV-03_14","This is an Application item because the scenario presents underrepresentation in gifted programs and requires identifying the evidence-based approach combining multiple data sources and bias-aware identification procedures.","Multi-method, culturally responsive gifted identification using portfolios, observation, and trained referral processes"
"PQ_DIV-03_15","This is an Application item because the scenario requires analyzing discipline disparity data and identifying whether disparities stem from policy design versus biased application of policies across racial groups.","Application bias in discipline policies where racial disparities reflect differential rule interpretation, not policy content"
"PQ_DIV-03_16","This is a Recall item because it asks for factual knowledge about research findings on school policies and criminal justice outcomes rather than applying this concept to school-based problem-solving scenarios.","School-to-prison pipeline systems linkage where exclusionary school policies and enforcement biases predict justice involvement"
"PQ_DIV-03_17","This is an Application item because the scenario describes observed discipline disparities and requires identifying the professionally appropriate action aligned with anti-racism principles and equity-focused problem-solving.","Anti-racism practice requiring documentation and intervention when disparities in consequences appear across racial groups"
"PQ_DIV-03_18","This is a Recall item because it asks for direct definition and naming of a specific psychological phenomenon (stereotype threat) rather than requiring analysis of a complex scenario or comparing similar constructs.","Stereotype threat phenomenon where performance decrements occur when stereotype salience creates performance-impairing anxiety"
"PQ_DIV-03_19","This is an Application item because the scenario provides epidemiological information and requires applying bias awareness to assessment practice, specifically recognizing underrecognition risk and adjusting evaluation thoroughness.","Gender bias in ADHD diagnosis when underrecognition in girls leads to missed identification despite meeting symptom criteria"
"PQ_DIV-03_20","This is an Application item because the scenario requires identifying evidence-based practices for reducing bias in high-stakes decisions, comparing implementation approaches for their effectiveness in supporting equitable outcomes.","Structured decision-making protocols and diverse IEP team composition as evidence-based bias reduction in eligibility determinations"
"item_035","This is a Recall item because it asks for direct definition of disproportionality as a technical concept rather than requiring scenario interpretation or application to specific educational contexts and disparity investigation.","Disproportionality definition as group outcome differences in services/placements driven by exposure to risk factors or discrimination"
