"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_ACA-03_1","This is a Recall item because the student must recognize a direct factual component of Zimmerman's established three-phase SRL model by identifying which option does not belong to the canonical framework.","Recognition of three-phase structure components in Zimmerman's self-regulated learning model"
"PQ_ACA-03_2","This is a Recall item because the student retrieves the definitional characteristics of the forethought phase directly from knowledge of Zimmerman's model without requiring situational interpretation.","Identification of goal-setting and planning activities as primary forethought phase operations"
"PQ_ACA-03_3","This is a Recall item because the student must retrieve the standard definition of metacognition as a foundational concept without applying it to specific contexts or scenarios.","Definition of metacognition as awareness and monitoring of one's own cognitive processes"
"PQ_ACA-03_4","This is an Application item because the student must observe a concrete behavioral example and classify it within the self-monitoring construct rather than simply defining self-monitoring.","Classification of think-aloud problem-solving with step verification as self-monitoring behavior"
"PQ_ACA-03_5","This is an Analysis item because the student must synthesize contradictory evidence—high ability scores versus poor academic performance—to infer the underlying self-regulation mechanism.","Diagnosis of metacognitive skill deficiency as explanation for ability-achievement discrepancy"
"PQ_ACA-03_6","This is a Recall item because the student retrieves Bandura's direct definition of self-efficacy as belief in capability without requiring application to behavior or scenarios.","Definition of self-efficacy as perceived belief in capability to succeed at a task"
"PQ_ACA-03_7","This is an Application item because the student must predict behavioral consequences of low self-efficacy in a specific domain, linking the construct to observable avoidance behaviors.","Prediction of avoidance and quitting behavior as consequence of low writing self-efficacy"
"PQ_ACA-03_8","This is a Recall item because the student must identify the structural and organizational features of the Cornell note-taking method as a standard factual procedure.","Recognition of two-column organization structure with questions and notes in Cornell method"
"PQ_ACA-03_9","This is a Recall item because the student retrieves established empirical findings comparing spaced and massed practice without interpreting new data or situational variables.","Recall of research evidence showing superior long-term retention and transfer with spaced practice"
"PQ_ACA-03_10","This is a Recall item because the student must identify the definition of elaboration strategy by recognizing meaning-making and prior-knowledge connection as its core mechanism.","Definition of elaboration as connecting new information to existing knowledge for meaning-making"
"PQ_ACA-03_11","This is an Application item because the student must recognize the specific attribution pattern described and classify it within attribution theory framework as adaptive versus maladaptive.","Classification of effort-based versus ability-based attributions as demonstrating adaptive attribution style"
"PQ_ACA-03_12","This is a Recall item because the student must retrieve the established principles of effective goal-setting in academic contexts without applying them to a novel case.","Recognition of specific, measurable, challenging yet attainable as characteristics of effective academic goals"
"PQ_ACA-03_13","This is an Application item because the student must analyze the problem of procrastination and select an intervention strategy that directly targets its underlying self-regulation mechanisms.","Selection of time management and task-analysis instruction to address procrastination behavior"
"PQ_ACA-03_14","This is a Recall item because the student must identify the definition of deep processing by recognizing meaning-extraction and knowledge-integration as its essential features.","Definition of deep processing as understanding meaning and connecting information to prior knowledge"
"PQ_ACA-03_15","This is a Recall item because the student must identify the defining procedural features of reciprocal teaching method including turn-taking, questioning, clarifying, and summarizing roles.","Recognition of peer-led turn-taking with questioning, clarifying, and summarizing in reciprocal teaching"
"PQ_ACA-03_16","This is an Application item because the student must analyze low test-taking skills and select targeted instructional strategies appropriate for that specific academic task.","Selection of preview, time allocation, and question-sequencing strategies for test-taking instruction"
"PQ_ACA-03_17","This is a Recall item because the student must retrieve Dweck's definition of growth mindset emphasizing effort and challenge as pathways to developing abilities.","Definition of growth mindset as belief that effort and practice develop abilities over time"
"PQ_ACA-03_18","This is an Application item because the student must identify teaching methods appropriate to the specific task of building self-monitoring for reading comprehension.","Selection of self-questioning, rereading, and pace-adjustment techniques for comprehension self-monitoring"
"PQ_ACA-03_19","This is an Application item because the student must observe specific checking and revision behaviors and classify them as demonstrating self-regulation and metacognitive awareness.","Classification of checking work, seeking clarification, and revising as self-regulation and metacognitive behaviors"
"PQ_ACA-03_20","This is a Recall item because the student must identify the comprehensive components of effective SRL interventions including goal-setting, strategy use, monitoring, and reflection.","Recognition of goal-setting, strategy selection, implementation monitoring, and self-reflection as intervention components"
"item_014","This is a Recall item because the student must identify chunking as a standard memory technique without applying it to specific content or evaluating its effectiveness in comparison scenarios.","Identification of chunking as memory technique for organizing lengthy information into manageable units"
"item_065","This is an Analysis item because the consultant must evaluate multiple reading program approaches against research evidence to determine which phonologically-based approach aligns with evidence-based practices.","Evaluation of phonologic processes instruction as research-supported approach for beginning reading programs"
"item_198","This is an Application item because the psychologist must analyze Amy's profile showing fluent decoding but weak comprehension, then select SQ3R as the targeted strategy addressing comprehension specifically.","Selection of SQ3R comprehension strategy for student demonstrating decoding fluency with comprehension deficit"
