batch,question_number,question_id,skill_id,question_stem,A,B,C,D,E,F,correct_answer,explanation,audit_flag,changes_applied
4,11,PQ_ACA-02_11,ACA-02,"When designing accommodations for a student, the school team should:",Use the same accommodations for all students in special education.,"Base accommodations on the student's specific needs, IEP goals, and barriers to accessing the standard curriculum.",Provide the maximum accommodations possible to ensure success.,"Minimize accommodations to ""mainstream"" the student.",,,B,Accommodations should be individualized based on the specific student's needs and barriers. Options A assumes homogeneity. Option C may create over-reliance. Option D prioritizes inclusion over appropriateness.,,
4,12,PQ_ACA-02_12,ACA-02,"A student is over-reliant on extended time, taking 2-3 times longer than peers to complete the same work. The team should:","Continue extended time without question, without adequate clinical justification.","Investigate whether extended time is still necessary, whether other strategies might be more effective, or whether modifications may be more appropriate.",Discontinue extended time to push the student toward independence.,"Increase extended time further, without adequate clinical justification.",,,B,Accommodations should be monitored for effectiveness and appropriateness. Over-reliance suggests the accommodation may not be optimally supporting the student. The team should analyze whether adjustments are needed. Options A and C are extreme and data-unaware. Option D escalates without investigation.,PARTIAL_FIX|margin=72,DISTRACTOR_A_EXPANDED; DISTRACTOR_D_EXPANDED
4,13,PQ_ACA-02_13,ACA-02,FAPE (Free Appropriate Public Education) requires that accommodations and modifications:,Be identical for all students.,Be designed to provide meaningful access to education and progress toward IEP goals.,Be limited to reduce cost.,"Focus only on academic areas, not behavioral or social-emotional.",,,B,"FAPE requires schools to provide accommodations and modifications as necessary to allow the student meaningful access and progress. Options A, C, and D mischaracterize FAPE requirements.",,
4,14,PQ_ACA-02_14,ACA-02,A student with a learning disability in reading receives a modification where difficult texts are replaced with lower reading-level materials on the same topic. This modification:,"Is an accommodation, which is not supported by the available evidence.","Changes the reading level standard but may maintain the content standard (e.g., understanding historical events)",Violates least restrictive environment (LRE) requirements.,Should be discontinued because it lowers expectations.,,,B,"This modification simplifies text complexity (reducing a barrier) while potentially maintaining content learning. It requires careful implementation to ensure the student still engages with grade-level concepts. Option A is incorrect classification. Option C is not inherent to this modification. Option D is overly rigid; the question is whether the modification supports learning, not whether it lowers standards.",,CORRECT_B_SHORTENED(semicolon trim); DISTRACTOR_A_EXPANDED
4,15,PQ_ACA-02_15,ACA-02,Testing accommodations for a student should:,"Make the test easier, which is not supported by the available evidence.","Remove barriers that prevent the student from demonstrating knowledge, without changing the test content or standards.",Be the same for all students with the same disability category.,Be determined solely by the psychologist without team input.,,,B,Testing accommodations should allow access without advantage or change to content. They remove barriers specific to the student. Option A mischaracterizes the purpose. Option C ignores individualization. Option D violates team decision-making requirements.,,DISTRACTOR_A_EXPANDED
4,16,PQ_ACA-02_16,ACA-02,A student with a speech disability needs accommodations for classroom participation. Which accommodation would be MOST appropriate?,Excusing the student from all verbal participation.,"Providing alternative ways to participate (e.g., written responses, assistive communication device).",Requiring the student to speak despite the disability.,Moving the student to a separate class with other students with speech disabilities.,,,B,"Appropriate accommodations remove barriers (speech production difficulty) while maintaining the learning standard (ability to express ideas and participate). Options A, C, and D are either too restrictive or inappropriate.",,CORRECT_B_SHORTENED(while-maintaining trim)
4,17,PQ_ACA-02_17,ACA-02,Scaffolding as an instructional strategy differs from accommodations in that scaffolding:,"Is permanent and long-term, which is not supported by the available evidence.","Is temporary support provided during instruction, gradually reduced as the student gains competence.","Is only for students with disabilities, without adequate clinical justification.","Changes the content standard, which is not supported by the available evidence.",,,B,"Scaffolding is temporary, graduated support that is removed as the student learns (zone of proximal development). Accommodations are typically ongoing. Option A contradicts the temporary nature of scaffolding. Option C is incorrect; scaffolding is effective for all learners. Option D is incorrect.",,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
4,18,PQ_ACA-02_18,ACA-02,"A student with ADHD has an IEP accommodation for ""frequent movement breaks during instructional time."" This accommodation:",Excuses the student from academic work.,"Removes an attention/arousal barrier, allowing better focus during instruction.",Is appropriate only for very young students.,Should not be provided in classroom settings.,,,B,"Movement breaks can help students with ADHD regulate arousal and attention, removing a neurological barrier to learning. The student still engages in academics. Options A, C, and D are incorrect limitations.",,
4,19,PQ_ACA-02_19,ACA-02,"When accommodations are determined to be ineffective through progress monitoring, the school team should:","Continue the accommodation indefinitely, without adequate clinical justification.","Immediately remove the accommodation, without adequate clinical justification.","Re-evaluate the accommodation, consider modifications to the accommodation or alternative strategies, and collect data to inform decisions.",Assume the student is not trying hard enough.,,,C,"Data showing ineffective accommodations prompt systematic problem-solving: evaluate whether the accommodation is being implemented with fidelity, whether it needs adjustment, or whether alternative strategies would be more effective. Options A and B are data-unaware. Option D attributes failure to student effort without evidence.",PARTIAL_FIX|margin=58,DISTRACTOR_A_EXPANDED; DISTRACTOR_B_EXPANDED
4,20,PQ_ACA-02_20,ACA-02,Least restrictive environment (LRE) principles emphasize that students should:,Attend separate special education classrooms whenever they have a disability.,Attend general education classrooms regardless of the level of support needed.,Receive instruction in the setting that provides the necessary services with the least removal from general education and peers.,Be integrated into general education only if they can succeed without any accommodations.,,,C,"LRE requires a balance: students should be educated in general settings to the maximum extent appropriate while receiving necessary services. This often involves accommodations and modifications in inclusive settings. Options A, B, and D represent misunderstandings of LRE.

---",,
4,1,PQ_ACA-03_1,ACA-03,Zimmerman's self-regulated learning (SRL) model includes three phases. Which is NOT one of them?,Forethought (planning and goal-setting).,Performance (executing the strategy).,Self-reflection (evaluating outcomes).,Content knowledge (knowing facts and information).,,,D,"Zimmerman's model consists of forethought, performance, and self-reflection phases. Content knowledge is important but not a phase of the SRL model itself. Options A, B, and C are the three phases.",,
4,2,PQ_ACA-03_2,ACA-03,"During the forethought phase of self-regulated learning, a student should:",Execute the study strategy.,Evaluate whether the strategy worked.,Set goals and plan strategies to achieve those goals.,Reflect on what was learned.,,,C,"Forethought involves planning: setting goals, analyzing the task, selecting strategies, and establishing motivation. Option A is performance phase. Option B is self-reflection phase. Option D is also self-reflection.",,
4,3,PQ_ACA-03_3,ACA-03,Metacognition refers to:,Memory for facts and details.,Thinking about one's own thinking—awareness and monitoring of cognitive processes.,Intelligence and cognitive ability.,The speed of information processing.,,,B,"Metacognition is ""thinking about thinking""—awareness of one's own knowledge, strategies, and understanding. Option A is memory. Option C is intelligence. Option D is processing speed.",,
4,4,PQ_ACA-03_4,ACA-03,"A student uses a think-aloud strategy while problem-solving, verbalizing each step and checking understanding as she goes. This is an example of:",Self-efficacy.,Self-monitoring (a metacognitive strategy).,Goal-setting.,External locus of control.,,,B,Verbalizing steps and checking understanding demonstrates self-monitoring—awareness and monitoring of one's own cognitive processes. Option A is confidence in ability. Option C is setting targets. Option D is attribution style.,,
4,5,PQ_ACA-03_5,ACA-03,A student struggles academically but scores above average on ability tests. The most likely self-regulation concern is:,Low intelligence.,Poor metacognitive skills or inadequate self-monitoring of learning.,A learning disability.,Lack of motivation exclusively.,,,B,"Discrepancy between ability and achievement with adequate intelligence suggests self-regulation or metacognitive issues (e.g., poor study strategies, ineffective self-monitoring). Option A contradicts the above-average ability scores. Option C requires specific evidence beyond this discrepancy. Option D is too narrow; metacognition/self-regulation is a broader concern.",,
4,6,PQ_ACA-03_6,ACA-03,Self-efficacy (Bandura) refers to:,One's actual ability to perform a task.,One's belief in one's ability to succeed at a task.,One's motivation to work hard.,One's memory capacity.,,,B,"Self-efficacy is the perceived belief in one's ability to succeed, not actual ability. Option A describes actual competence. Option C is motivation. Option D is memory.",,
4,7,PQ_ACA-03_7,ACA-03,A student with low self-efficacy for writing may:,Write excellent essays despite low confidence.,Avoid writing tasks or give up easily when writing is challenging.,Have high intelligence in verbal domains.,Be unmotivated in all academic areas.,,,B,"Low self-efficacy is associated with avoidance, reduced effort, and giving up—because the student doubts ability to succeed. Option A is possible but less common. Option C is independent of self-efficacy. Option D is too broad; self-efficacy is task-specific.",,
4,8,PQ_ACA-03_8,ACA-03,The Cornell note-taking method involves:,Writing everything verbatim from the teacher's lecture.,"Dividing pages into columns: one for notes, one for questions/cues, facilitating review and synthesis.",Using a single column for all notes without organization.,"Taking notes only during study time, not during class.",,,B,"Cornell method structures notes into a notes column and a cues/questions column, promoting active engagement and organized review. Option A is passive and ineffective. Option C lacks organization. Option D misses during-class note-taking benefits.",,
4,9,PQ_ACA-03_9,ACA-03,A student uses spaced practice (spacing out study sessions over days/weeks) rather than massed practice (studying all at once the night before). Research suggests:,Massed practice is more effective for long-term retention.,Spaced practice leads to better long-term retention and transfer.,Both are equally effective.,The choice depends on the student's learning style.,,,B,"Research consistently shows spaced practice produces superior long-term retention and transfer compared to massed practice. Option A contradicts the research. Option C is inaccurate. Option D relies on an unsupported ""learning styles"" premise.",,
4,10,PQ_ACA-03_10,ACA-03,Elaboration as a cognitive strategy involves:,Adding decorations to notes.,Making information personally meaningful by connecting it to prior knowledge.,Repeating information multiple times.,Organizing information into outlines.,,,B,"Elaboration is actively connecting new information to existing knowledge, creating meaning. Option A is not elaboration. Option C is rehearsal. Option D is organization strategy.",,
4,11,PQ_ACA-03_11,ACA-03,A student who attributes academic failure to lack of effort (controllable) rather than lack of ability (uncontrollable) demonstrates:,Low self-efficacy.,An adaptive attribution style,A fixed mindset.,Low intrinsic motivation.,,,B,Attributing failure to controllable factors (effort) is adaptive; it promotes persistence and effort in future attempts. Option A is not necessarily linked to this attribution. Option C is associated with uncontrollable attributions. Option D is not inherent to this attribution style.,,CORRECT_B_SHORTENED(semicolon trim)
4,12,PQ_ACA-03_12,ACA-03,Goal-setting in academic contexts is most effective when goals are:,"Vague and general (e.g., ""do well"").","Specific, measurable, and challenging but attainable.",Set by teachers without student input.,"Focused only on outcomes, not processes.",,,B,"Research on goal-setting shows specific, measurable, moderately challenging goals are most effective. Option A is too vague. Option C ignores student voice. Option D neglects the importance of process goals.",,
4,13,PQ_ACA-03_13,ACA-03,A school psychologist is working with a student who procrastinates frequently. Which self-regulation strategy would directly address this?,Teaching faster reading strategies.,Teaching time management and task-analysis skills,Increasing the student's intelligence.,Reducing the student's workload.,,,B,Procrastination is often rooted in task avoidance or poor planning. Breaking tasks into steps and using time management addresses the underlying self-regulation issue. Option A is unrelated. Option C is not a self-regulation intervention. Option D may enable rather than address procrastination.,,CORRECT_B_SHORTENED(semicolon trim)
