batch,question_number,question_id,skill_id,question_stem,A,B,C,D,E,F,correct_answer,explanation,audit_flag,changes_applied
9,1,PQ_ETH-01_1,ETH-01,A student discloses to the school psychologist that their parent is hitting them. The psychologist must:,Keep this completely confidential with no exceptions,Speak with the parent first before reporting to child protective services,Make a mandatory report to child protective services/law enforcement as required by law,Discuss the situation with the school principal and wait for the principal to decide,,,C,School psychologists are mandated reporters; child abuse must be reported regardless of confidentiality considerations. Option A wrongly treats confidentiality as absolute. Option B creates delay and risk. Option D inappropriately defers the mandated reporter responsibility.,,
9,2,PQ_ETH-01_2,ETH-01,"According to NASP Principles for Professional Ethics (2020), the four broad themes are:","Competence, Confidentiality, Compliance, and Consultation","Beneficence and Nonmaleficence, Justice and Fairness, Respect for Dignity and Rights, and Professional Responsibility","Assessment, Intervention, Advocacy, and Organization","Individual, Family, School, and Community, without adequate clinical justification.",,,B,"These are the four foundational ethical principles in NASP's 2020 ethics framework. Options A, C, and D are incorrect groupings.",,DISTRACTOR_D_EXPANDED
9,3,PQ_ETH-01_3,ETH-01,"A parent asks to see the raw test data from their child's psychological evaluation. Under FERPA and ethical guidelines, the school psychologist should:",Provide the raw data directly to the parent,Provide an interpretation of the data,Refuse to provide any test information due to copyright,Provide the data only with written consent from the test publisher,,,B,"Raw test data should be interpreted for parents; they can request it go to a qualified professional, protecting both the student and test security. Option A violates test security. Option C over-restricts access. Option D incorrectly requires publisher consent.",,CORRECT_B_SHORTENED(semicolon trim)
9,4,PQ_ETH-01_4,ETH-01,A school psychologist is asked to conduct a third-party evaluation (ordered by a parent's attorney) at the school during the school day. Ethical considerations include:,The school psychologist can automatically refuse due to work obligations,"Clarifying who will pay for the evaluation, ensuring informed consent about the limited confidentiality (it may be used in legal proceedings), and considering impact on the student's school day",Conducting the evaluation without student assent since the parent consented,Using school test materials without considering copyright or test security,,,B,"Third-party evaluations require clear agreements about confidentiality, consent, compensation, and logistics. Option A oversimplifies. Option C ignores student assent. Option D violates test protocols.",STILL_FLAGGED|margin=118,
9,5,PQ_ETH-01_5,ETH-01,A school psychologist has a family member who is a teacher in the same school. This creates a dual relationship that:,Must be automatically prohibited regardless of circumstances,"Can be managed by maintaining professional boundaries, ensuring neither person supervises the other in conflict areas, and being transparent about the relationship",Is ethical as long as the individuals are honest about it,"Is acceptable only if they teach different grades, without adequate clinical justification.",,,B,"Some dual relationships are unavoidable in school settings; they require careful management, boundaries, and transparency. Option A is overly rigid. Options C and D imply management is automatic without intentional steps.",PARTIAL_FIX|margin=72,DISTRACTOR_D_EXPANDED
9,6,PQ_ETH-01_6,ETH-01,A student is 17 years old and wants a psychological evaluation but is reluctant to have parents involved. The school psychologist should:,Proceed with the evaluation without parental knowledge,Require full parental consent and tell the parent about the student's reluctance,Explain to the student that parental consent is required,Refuse to conduct any evaluation,,,C,"Even with minors, school psychologists balance parental rights (they provide legal consent) with the student's assent and confidentiality concerns. Option A bypasses consent. Option B dismisses the student's concerns. Option D is unnecessary.",,CORRECT_C_SHORTENED(semicolon trim)
9,7,PQ_ETH-01_7,ETH-01,A school psychologist suspects a colleague is providing services outside their scope of competence. The ethical obligation is to:,Ignore the situation to avoid conflict,"Speak privately with the colleague, expressing concern",Report the colleague to licensure boards immediately without discussion,Inform parents of the concern,,,B,"Addressing concerns through appropriate channels—first directly with the colleague, then through supervision—is the ethical approach. Option A ignores an ethical obligation. Option C skips internal resolution steps. Option D inappropriately involves parents.",,CORRECT_B_SHORTENED(semicolon trim)
9,8,PQ_ETH-01_8,ETH-01,"According to ethical standards for documentation, a school psychologist's case notes should:",Include only test scores and diagnosis,"Be detailed enough to document the basis for decisions, recommendations, and interventions",Be written in vague terms to protect student privacy,Include speculation about family dynamics or student behavior outside the assessment context,,,B,"Good documentation supports decision-making, protects the student, and defends the school psychologist legally. Option A is too limited. Option C reduces usability. Option D introduces unsubstantiated information.",,CORRECT_B_SHORTENED(semicolon trim)
9,9,PQ_ETH-01_9,ETH-01,A school psychologist becomes aware they made an error in interpreting a student's test results that affects the IEP decision. The ethical obligation is to:,"Hope no one notices and continue as planned, without adequate clinical justification.","Immediately correct the error, inform the team, revise the interpretation, and communicate with the family",Tell only the principal to avoid embarrassing the team,"Wait until the next annual review to correct it, without adequate clinical justification.",,,B,"Beneficence requires correcting errors that affect students. Transparency and timely correction are ethical obligations. Options A, C, and D delay correcting an error that impacts the student.",,DISTRACTOR_A_EXPANDED; DISTRACTOR_D_EXPANDED
9,10,PQ_ETH-01_10,ETH-01,Informed consent for school psychological services requires:,"Only the parent's signature on a form, without adequate clinical justification.","The parent and student (when age-appropriate) understanding what services will be provided, what will happen with information, and the right to refuse","No consent since schools have blanket authority, without adequate clinical justification.","Consent only for evaluations, not for interventions",,,B,Informed consent requires actual understanding and voluntary agreement. Assent (agreement from the student when old enough) complements consent. Option A is pro forma without understanding. Option C ignores consent obligations. Option D creates false categories.,PARTIAL_FIX|margin=61,CORRECT_B_SHORTENED(semicolon trim); DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED
9,11,PQ_ETH-01_11,ETH-01,A school psychologist is consulted by a teacher about a student's behavior but has limited time. The ethical approach is to:,Provide quick advice without full assessment information,Acknowledge the limits of consultation without full assessment,Give the teacher an evidence-based intervention to try,Defer the consultation to another staff member without follow-up,,,B,Competence boundaries require being honest about limitations and offering appropriate alternatives. Option A provides advice without adequate information. Option C may be appropriate but doesn't address the time limitation. Option D abdicates responsibility.,,CORRECT_B_SHORTENED(semicolon trim)
9,12,PQ_ETH-01_12,ETH-01,A parent offers to trade childcare services for the school psychologist's assessment of their child. The school psychologist should:,Accept the barter arrangement to help the family without seeking corroborating evidence or additional clinical inquiry.,Decline the barter; explain that the school has payment mechanisms and bartering can create boundary issues,Accept the barter if the school administrator approves without seeking corroborating evidence or additional clinical inquiry.,Offer to trade services with a reduced fee instead,,,B,NASP ethics prohibit bartering because it creates boundary issues and conflicts of interest. Option A violates ethics standards. Option C doesn't change the ethical problem. Option D still creates a problematic arrangement.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED
9,13,PQ_ETH-01_13,ETH-01,"A school psychologist becomes burnt out and considers leaving the profession. From an ethical perspective, what action is appropriate?","Continue working until finding another job, regardless of ability to provide quality services","Recognize burnout affects competence and seek support through consultation, supervision, or professional development",Hide the burnout from employers and colleagues,Immediately resign without notice,,,B,Self-care and addressing burnout are ethical obligations because they protect student safety and service quality. Option A risks harming students. Options C and D are ineffective or irresponsible.,,CORRECT_B_SHORTENED(semicolon trim)
9,14,PQ_ETH-01_14,ETH-01,An ethical decision-making model typically includes these steps:,"Identify the dilemma, consider alternatives, consult when appropriate, decide, and document","Identify the problem, quickly choose the easiest option",Consult a lawyer before any decision,Make decisions alone to avoid involving others,,,A,This systematic approach ensures ethical decisions are thoughtful and defensible. Option B skips careful consideration. Options C and D over-rely on single sources of guidance.,,
9,15,PQ_ETH-01_15,ETH-01,A school psychologist learns that a student has made a threat of violence toward a peer. Regarding confidentiality:,The threat is confidential and should not be shared,The threat must be reported to administrators and parents,The threat should be reported only to the principal,The threat is a minor concern and can be addressed informally,,,B,Duty to warn/protect requires reporting serious threats while conducting appropriate assessment. Option A fails the duty. Option C is incomplete. Option D underestimates risk.,,CORRECT_B_SHORTENED(semicolon trim)
9,16,PQ_ETH-01_16,ETH-01,A school psychologist receives a request for educational records from a student's grandparent who does not have legal custody. The psychologist should:,Automatically refuse because the grandparent is not the custodial parent,Verify FERPA rights by confirming parental rights,Provide records directly to the grandparent without verification,"Provide records only with the student's consent, regardless of age",,,B,FERPA rights follow legal custody unless a court order changes this. Option A is too rigid. Option C violates FERPA. Option D ignores parental rights.,,CORRECT_B_SHORTENED(semicolon trim)
9,17,PQ_ETH-01_17,ETH-01,Supervision of a school psychologist intern or trainee requires:,Allowing the trainee to practice independently with minimal oversight,"Regular oversight, feedback, and assessment of competence",Supervision only if problems arise,Delegating most work to the trainee to reduce the supervisor's caseload,,,B,Supervision means actively overseeing competence and ensuring safe practice. Option A creates liability. Option C is reactive. Option D violates supervision responsibilities.,,CORRECT_B_SHORTENED(semicolon trim)
9,18,PQ_ETH-01_18,ETH-01,"A school psychologist is invited to serve on a committee that will affect their students' opportunities. When accepting this role, the psychologist should:",Decline to avoid any appearance of bias,Accept and work toward what's best for students while being transparent about the potential for conflict of interest,Accept and prioritize the committee's goals over individual student advocacy,Accept but avoid advocating for their students to appear unbiased,,,B,School psychologists can serve in multiple roles; the key is transparency and managing conflicts appropriately. Option A unnecessarily limits participation. Options C and D either compromise students or abandon advocacy.,,
9,19,PQ_ETH-01_19,ETH-01,A school psychologist receives a subpoena for a student's records in a custody case. The psychologist should:,Automatically comply with the subpoena,Notify the parents/guardians of the subpoena,Refuse the subpoena entirely,Provide records without notifying the family,,,B,Subpoenas require compliance but also notification to parents and adherence to FERPA protections. Option A skips notification. Option C may result in contempt. Option D violates notification requirements.,,CORRECT_B_SHORTENED(semicolon trim)
9,20,PQ_ETH-01_20,ETH-01,"According to NASP ethics, when a school psychologist disagrees with a team decision they believe is harmful to a student, they should:",Go along with the decision to maintain team harmony,Advocate for the student's interests,Immediately report the team to administration without team discussion,Resign from the case,,,B,"Professional advocacy for students is an ethical obligation. Option A sacrifices student interest. Option C skips team problem-solving. Option D is extreme.

---",,CORRECT_B_SHORTENED(semicolon trim)
9,1,PQ_ETH-02_1,ETH-02,Professional malpractice in school psychology requires:,Only that the psychologist was wrong about something,"A legal duty to the student, a breach of duty (not meeting standard of care), causation (breach caused harm), and actual damages",That the psychologist acted intentionally to harm the student,Liability for all student problems occurring during employment,,,B,These four elements are required for a malpractice claim. Option A requires only error. Option C requires intent (separate from negligence). Option D creates unrealistic liability.,STILL_FLAGGED|margin=66,
9,2,PQ_ETH-02_2,ETH-02,The standard of care in school psychology is defined as:,What a perfectly trained school psychologist would do,What a reasonably competent school psychologist with similar training would do in similar circumstances,Following the most advanced research-based practices,Whatever approach the individual psychologist chooses,,,B,"Standard of care is a reasonable professional standard, not perfection or the most advanced approach. Option A is too strict. Option C requires constant cutting-edge practice. Option D has no standard.",STILL_FLAGGED|margin=50,
9,3,PQ_ETH-02_3,ETH-02,A school psychologist's case notes serve what legal and ethical purpose?,"They have no legal significance, without adequate clinical justification.","They document the basis for decisions and recommendations, provide a record for continuity of care, and can defend the psychologist if practice is questioned","They are only for the psychologist's memory, without adequate clinical justification.","They should be vague to protect privacy, without adequate clinical justification.",,,B,Documentation is critical for decision support and legal protection. Option A ignores legal importance. Option C is insufficient. Option D reduces usability.,PARTIAL_FIX|margin=72,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
9,4,PQ_ETH-02_4,ETH-02,"A school psychologist supervises a trainee. If the trainee makes an error that harms a student, who is liable?","Only the trainee, which is not supported by the available evidence.","Only the supervisor, which is not supported by the available evidence.","Both the trainee and supervisor, with liability proportional to each person's role and oversight","The school district but not the individuals, without adequate clinical justification.",,,C,Vicarious liability means supervisors are responsible for supervisees' work; liability can be shared. Option A absolves the supervisor. Option B over-represents the supervisor's responsibility. Option D doesn't account for individual professional responsibility.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_B_EXPANDED; DISTRACTOR_D_EXPANDED
9,5,PQ_ETH-02_5,ETH-02,A supervision model that matches challenge level and support to the supervisee's developmental stage is called:,Discrimination model,Developmental model,Competence-based model,Standard model,,,B,The developmental model adjusts supervision to the supervisee's experience level. Option A is a different model. Options C and D are less specific terms.,,
9,6,PQ_ETH-02_6,ETH-02,"Before delegating assessment responsibilities to a supervisee, the supervisor should:",Assume the supervisee can handle anything with their degree,"Clarify the supervisee's competence, training, and experience",Delegate without discussion to test the supervisee's abilities,Allow the supervisee to decide what they can handle,,,B,Supervisors must assess competence and ensure appropriate delegation with oversight. Option A makes assumptions. Option C provides no support or direction. Option D abdicates supervisory responsibility.,,CORRECT_B_SHORTENED(semicolon trim)
9,7,PQ_ETH-02_7,ETH-02,A school psychologist fails to conduct a triennial reevaluation on time for a student with an IEP. This represents:,A minor administrative oversight,A potential breach of IDEA and the standard of care that could result in liability,A problem only if someone complains,Normal practice since reevaluations are often delayed,,,B,Timeliness of evaluations is required under IDEA and the standard of care; failure can harm the student and violate law. Option A minimizes the issue. Option C makes liability contingent on complaint rather than actual breach. Option D normalizes inadequate practice.,,
9,8,PQ_ETH-02_8,ETH-02,"A school psychologist conducts an evaluation and recommends a specific intervention. Later, the recommended intervention is not implemented, and the student's problems worsen. Is the psychologist liable?","Yes, always, because the student's condition worsened",Only if the recommendation was appropriate and reasonable,Not if the recommendation was documented,Only if the psychologist physically implements it,,,B,"The psychologist's liability is for providing appropriate recommendations; implementation is the school's responsibility. Option A creates liability for others' failures. Option C, while documentation helps, doesn't determine liability. Option D is too narrow.",,CORRECT_B_SHORTENED(semicolon trim)
