batch,question_number,question_id,skill_id,question_stem,A,B,C,D,E,F,correct_answer,explanation,audit_flag,changes_applied
5,1,PQ_ACA-08_1,ACA-08,"According to Barkley's model, ADHD is best conceptualized as a disorder of which executive functioning domain?",Long-term memory encoding and retrieval,Inhibitory control and self-regulation (response inhibition),Visual-spatial processing,Semantic knowledge organization,,,B,"Barkley's influential model proposes that ADHD is fundamentally a disorder of behavioral inhibition and self-regulation, which are executive functions. This inhibitory deficit cascades to affect working memory, motivation, and emotion regulation. Long-term memory (Option A) is generally intact in ADHD. Visual-spatial processing (Option C) and semantic knowledge (Option D) are not the core deficits in Barkley's model.",,
5,2,PQ_ACA-08_2,ACA-08,"A second-grader frequently loses his backpack, forgets homework assignments, and cannot organize materials on his desk. Which executive functioning component is most directly impaired?",Working memory (holding information in mind temporarily),Planning and organization skills,Cognitive flexibility (set-shifting),Inhibitory control (response inhibition),,,B,"Losing items, forgetting assignments, and poor desk organization all reflect planning and organization deficits. This student struggles with systematically arranging and tracking information. Working memory (Option A) is more about holding information during a task, not losing items. Cognitive flexibility (Option C) and inhibitory control (Option D) are not the primary issues here.",,
5,3,PQ_ACA-08_3,ACA-08,"A student starts a math assignment but abandons it to work on art, then switches to science before completing anything. He seems unable to persist with one task. Which executive functioning component is primarily affected?",Cognitive flexibility (ability to shift between mental sets or tasks),Planning and organization,Task persistence and sustained attention (behavioral control/inhibition of distractions),Working memory capacity,,,C,"While the student shifts between tasks, the core deficit is inability to inhibit the urge to switch away and persist with the initial task. This reflects poor sustained attention and behavioral inhibition rather than overly flexible cognition. Option A describes the behavior but not the underlying deficit. Planning (Option B) and working memory (Option D) are not the primary concerns.",,
5,4,PQ_ACA-08_4,ACA-08,The BRIEF-2 (Behavior Rating Inventory of Executive Function) measures which domains of executive functioning?,"Only working memory and processing speed, without adequate clinical justification.","Inhibition, flexibility, working memory, planning, organization, task initiation, and emotional control","Only academic skills and reading fluency, without adequate clinical justification.","Memory and language only, which is not supported by the available evidence.",,,B,"The BRIEF-2 is a comprehensive EF assessment measuring multiple EF domains including inhibition, cognitive flexibility, working memory, planning, organization, task initiation, and emotional control. Options A, C, and D represent incomplete or inaccurate descriptions of the BRIEF-2's scope.",,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
5,5,PQ_ACA-08_5,ACA-08,A student with average intelligence scores low on working memory assessments but performs adequately on long-term memory tasks. His difficulty remembering multi-step directions is most consistent with which profile?,Learning disability in reading,"Executive functioning deficit, specifically weak working memory",Intellectual disability,Hearing impairment,,,B,Working memory (holding and manipulating information temporarily) is distinct from long-term memory. Difficulty following multi-step directions is a classic working memory deficit sign. Average intelligence (Option C is incorrect). Reading disability (Option A) and hearing impairment (Option D) would manifest differently and are not indicated by this selective working memory/long-term memory discrepancy.,,
5,6,PQ_ACA-08_6,ACA-08,Which statement best describes the relationship between metacognition and executive functioning?,They are unrelated constructs; metacognition is about thinking while EF is about behavior,Metacognition (thinking about one's thinking) supports executive functioning by enabling self-monitoring and strategic adjustment,Executive functioning must be present before metacognition can develop,Metacognition is irrelevant for school psychology assessment,,,B,"Metacognition—awareness and reflection on one's own thinking processes—is intimately related to EF, particularly self-monitoring and planning. Metacognitive awareness enables students to notice when strategies aren't working and adjust. They are integrated, not separate (Option A). Metacognition is not irrelevant (Option D). EF and metacognition develop concurrently rather than sequentially (Option C).",,
5,7,PQ_ACA-08_7,ACA-08,"A third-grade teacher implements visual schedules, breaks tasks into smaller steps, and provides external reminders/checklists for assignments. These classroom strategies most directly support which executive functioning need?",Remediating low general intelligence,"Providing external scaffolding to compensate for weak planning, organization, and memory",Treating attention deficit disorder through behavioral medication,Improving reading fluency and phonics skills,,,B,"Visual schedules, task breakdown, and external reminders/checklists are classic external scaffolds that compensate for weak executive functioning (planning, organization, working memory). These are not intended to treat intelligence (Option A), medication (Option C), or reading skills (Option D), though they support students with EF weaknesses.",,
5,8,PQ_ACA-08_8,ACA-08,"Research on cognitive training programs (like ""brain training"" or computerized working memory training) for children with ADHD shows which finding?","These programs produce substantial, lasting improvements in ADHD symptoms and academic performance",Benefits are modest and often limited to the trained task; transfer to other domains is questionable,They are effective for ADHD but ineffective for other conditions,They should replace medication as the first-line intervention,,,B,"Meta-analyses show that computerized cognitive training produces small to modest improvements, often specific to the trained task, with limited transfer to untrained abilities or real-world functioning. Option A overstates effectiveness. Option C is too narrow. Option D contradicts evidence; medication remains the first-line treatment for ADHD.",,
5,9,PQ_ACA-08_9,ACA-08,"A 10-year-old with weak executive functioning benefits from a reward system that provides frequent, immediate feedback and rewards for task completion. This approach reflects which theoretical principle?",Mastery learning (students should perfect one skill before moving to the next),Contingency management and behavioral reinforcement principles,Pure cognitive training without behavioral components,"Unstructured, child-led learning",,,B,"Frequent, immediate rewards for task completion reflect applied behavioral analysis (ABA) contingency management principles. This is especially effective for students with EF deficits because it provides external structure and motivation. Mastery learning (Option A) is a different concept. Option C contradicts the use of reinforcement. Option D is opposite to the structured approach needed.",,
5,10,PQ_ACA-08_10,ACA-08,"Which of the following best describes ""cool"" versus ""hot"" executive functioning?","Cool EF is emotion-free, abstract problem-solving (e.g., sorting tasks)",Cool EF is fast and automatic; hot EF is slow and deliberate,Cool EF develops in infancy; hot EF develops only in adolescence,They are the same construct with different terminology,,,A,"Cool EF involves abstract, emotion-neutral tasks (like the Wisconsin Card Sorting Task); hot EF involves emotionally-laden, reward-based decision-making in real contexts. A student may perform well on cool EF tasks but struggle with hot EF (e.g., resisting temptation). Options B, C, and D are incorrect characterizations.",,CORRECT_A_SHORTENED(semicolon trim)
