batch,question_number,question_id,skill_id,question_stem,A,B,C,D,E,F,correct_answer,explanation,audit_flag,changes_applied
1,1,PQ_CON-01_1,CON-01,A school psychologist utilizes consultee-centered consultation to help a teacher who lacks objectivity regarding a student's behavior. The primary goal is:,To change the student's behavior through environmental modification.,"To address the teacher's internal barriers (e.g., lack of skill or objectivity) to improve their service to the student.",To refer the student for special education evaluation.,To provide direct counseling to the student.,,,B,"Caplan's model specifically targets the consultee's ""internal"" barriers (lack of knowledge, skill, confidence, or objectivity) rather than just the student's behavior.",BATCH1_PRE_AUDITED,
1,2,PQ_CON-01_2,CON-01,"During the first meeting with a teacher to address a student's disruptive behavior, what should be the school psychologist's FIRST priority?",Recommend a specific behavior intervention strategy,Collaboratively define the specific target behavior in operational terms,Review all prior test scores and discipline records,Schedule direct classroom observations,,,B,"Behavioral consultation follows a structured sequence: problem identification (defining the behavior operationally) must come before problem analysis, intervention design, and evaluation. Without a clear operational definition of what behavior is being targeted, all subsequent steps lack focus. Option A jumps prematurely to intervention recommendations. Option C (records review) is important but happens alongside problem definition, not before. Option D (observations) are data-gathering tools but should follow clear problem definition.",BATCH1_PRE_AUDITED,
1,3,PQ_CON-01_3,CON-01,A school psychologist initiates consultation with both a teacher AND a parent simultaneously to address a student's homework completion difficulties. The psychologist facilitates discussion among all three parties to develop a coordinated intervention plan. Which model of consultation is being implemented?,Behavioral consultation,Conjoint behavioral consultation,Consultee-centered consultation,Preventive mental health consultation,,,B,"Conjoint behavioral consultation (CBC) involves the simultaneous participation of the consultant, consultee(s) from school (teacher), and consultees from home (parent) in the consultation process to develop coordinated interventions across settings. Option A (behavioral consultation) typically involves a single consultee (teacher or parent, not both). Option C (consultee-centered) focuses on building consultant's capacity but doesn't specifically involve coordinated school-home planning. Option D (preventive mental health) is broader and not specific to this coordinated model.",BATCH1_PRE_AUDITED,
1,4,PQ_CON-01_4,CON-01,"A teacher tells the school psychologist, ""I've already tried everything with this student, and nothing works."" The psychologist recognizes this as a barrier to effective consultation. Which approach best addresses this barrier?",Immediately implementing a more intensive behavior plan,Validating the teacher's concern while exploring specific strategies already attempted and why they may not have been effective,Suggesting the student should be referred for special education evaluation instead,Recommending the student be removed from the regular classroom,,,B,This barrier reflects teacher discouragement and potential lack of self-efficacy. The appropriate consultative response is to validate feelings while working collaboratively to analyze what was actually attempted and explore why strategies may not have achieved expected results—this builds the collaborative relationship and problem-solving capacity. Option A bypasses the consultation process. Option C and D are premature referral recommendations that don't address the teacher's underlying concern.,BATCH1_PRE_AUDITED,
1,5,PQ_CON-01_5,CON-01,"In behavioral consultation, what is the primary purpose of the problem analysis stage?",To teach the teacher how to praise student behavior more effectively,"To gather data about antecedents, consequences, and function of the behavior",To implement the first intervention trial,To determine whether the student qualifies for special education,,,B,"Problem analysis in behavioral consultation involves systematically gathering information about when the behavior occurs (antecedents), what maintaining it (consequences), and what function it serves. This informs intervention design. Option A is a potential intervention strategy but not the purpose of problem analysis. Option C occurs after problem analysis and intervention design. Option D involves eligibility determination, not behavioral consultation analysis.",BATCH1_PRE_AUDITED,
1,6,PQ_CON-01_6,CON-01,A school psychologist engages a teacher in a discussion about the teacher's beliefs about student motivation and learning capacity before discussing a specific student's difficulties. This approach most aligns with which consultation model?,Behavioral consultation,Organizational consultation,Consultee-centered mental health consultation,Problem-solving RTI consultation,,,C,"Consultee-centered mental health consultation addresses the consultee's (teacher's) understanding, beliefs, and skills before or during problem-solving about a specific client (student). This model recognizes that the teacher's perspective, beliefs, and capacity influence intervention effectiveness. Option A focuses on the student's behavior and environmental factors. Option B targets organizational systems. Option D focuses on data-driven problem-solving protocols.",BATCH1_PRE_AUDITED,
1,7,PQ_CON-01_7,CON-01,A school psychologist is initiating a consultation with a teacher about a student's reading difficulties in a school where several initiatives have generated controversy. What is MOST important as a first step?,Immediately conduct classroom observations,Build a collaborative relationship by understanding the teacher's perspective and concerns about the initiative,Present the research-based interventions that will be used,Schedule a parent conference to explain the plan,,,B,"In controversial or high-stakes contexts, establishing trust and understanding stakeholder concerns is essential before proceeding with assessment or intervention planning. This collaborative entry acknowledges the teacher's position and builds the consultative relationship. Option A jumps to data gathering. Option C is premature without understanding current context and concerns. Option D should follow collaborative planning with the teacher.",BATCH1_PRE_AUDITED,
1,8,PQ_CON-01_8,CON-01,"A school psychologist observes that during consultation meetings, the teacher frequently blames the student for behavior problems without considering environmental factors. What is the BEST way to address this without damaging the collaborative relationship?",Tell the teacher they are wrong and present ecological factors directly,"Acknowledge the teacher's observations while asking questions about specific situations, antecedents, and what works in other settings",Discontinue consultation and recommend special education evaluation,Provide the teacher with research articles about behavior determinants,,,B,This uses consultee-centered techniques to gently expand the teacher's perspective through Socratic questioning and collaborative inquiry. It maintains the collaborative relationship while shifting the teacher's thinking about causation. Option A is confrontational and damages the relationship. Option C is avoidance. Option D is passive and unlikely to shift thinking without dialogue.,BATCH1_PRE_AUDITED,
1,9,PQ_CON-01_9,CON-01,"In the context of home-school collaboration, what is a key advantage of conjoint behavioral consultation compared to separate teacher and parent consultations?",It reduces the number of meetings needed,It allows the consultant to control both the teacher's and parent's behavior,It ensures that interventions are coordinated across settings and increases intervention integrity through shared understanding,It eliminates the need for direct observation,,,C,"Conjoint behavioral consultation's primary advantage is coordinated intervention planning across home and school settings with shared understanding of the target behavior and rationale, which improves intervention integrity and outcomes. Option A is a minor advantage. Option B is inappropriate and not a consultation goal. Option D is incorrect; observation is still needed.",BATCH1_PRE_AUDITED,
1,10,PQ_CON-01_10,CON-01,"A school psychologist implements a coaching model where she observes a teacher delivering a specific intervention, provides specific feedback on implementation, and gradually reduces her involvement as the teacher becomes proficient. This approach reflects which consultation concept?",Dependency on the consultant,Problem-centered case consultation,Skill transfer and capacity building,Crisis intervention,,,C,"This describes consultative coaching that emphasizes the transfer of skills from consultant to consultee, building teacher capacity and gradually reducing consultant dependency. This is a hallmark of effective consultation models. Option A describes the opposite of what good consultation achieves. Option B doesn't capture the skill-building emphasis. Option D is not relevant to ongoing coaching.",BATCH1_PRE_AUDITED,
