batch,question_number,question_id,skill_id,question_stem,A,B,C,D,E,F,correct_answer,explanation,audit_flag,changes_applied
6,11,PQ_MBH-03_11,MBH-03,"In motivational interviewing, a client says ""I know I should do homework, but I just can't seem to get started."" The MI practitioner responds: ""Starting homework is really hard for you, and part of you wants to do it."" This response reflects which MI principle?",Confrontation and direct advice,Reflective listening (demonstrating understanding of the client's ambivalence),Judgment and criticism,Directive commands,,,B,"The reflective response acknowledges the client's mixed feelings (ambivalence) without judgment, demonstrating understanding. This is core MI. Confrontation (Option A), judgment (Option C), and directives (Option D) contradict MI principles. MI addresses ambivalence, not by forcing but by supporting intrinsic motivation.",,CORRECT_B_SHORTENED(em-dash trim (with parenthetical))
6,12,PQ_MBH-03_12,MBH-03,"In ABA, which procedure involves temporarily removing or avoiding a pleasant stimulus as a consequence for an undesired behavior (e.g., timeout, loss of recess)?",Positive reinforcement,Negative reinforcement,Positive punishment (adding an aversive consequence),Negative punishment—removing a pleasant stimulus to decrease behavior,,,D,"Negative punishment removes something the student values (recess, screen time) following undesired behavior, decreasing that behavior. Positive reinforcement (Option A) adds something desirable. Negative reinforcement (Option B) removes something aversive. Positive punishment (Option C) adds something aversive.",,
6,13,PQ_MBH-03_13,MBH-03,"A school psychologist teaches a student to use self-talk (""Stop, think, then act"") before responding impulsively. This reflects which theoretical approach?",Pure behavioral (no cognition),Cognitive-behavioral (incorporating both cognitive strategies),Psychodynamic,Humanistic only,,,B,Teaching self-talk (cognitive) to change behavior (impulse control) integrates both cognitive and behavioral elements—hallmark of CBT. Pure behavioral (Option A) ignores cognition. Psychodynamic (Option C) and humanistic (Option D) approaches don't emphasize self-talk skill-building.,,CORRECT_B_SHORTENED(em-dash trim (with parenthetical))
6,14,PQ_MBH-03_14,MBH-03,The interventions used in the PBIS (School-Wide Positive Behavioral Interventions and Supports) framework reflect which theoretical foundation?,Psychodynamic theory,Applied Behavior Analysis (ABA),Humanistic theory exclusively,Punishment-based discipline,,,B,"PBIS is explicitly grounded in ABA principles: reinforcing desired behaviors (Tier 1 expectations), using data to identify problems, and systematically implementing evidence-based interventions. Options A, C, and D misrepresent PBIS's theoretical foundation.",,CORRECT_B_SHORTENED(em-dash trim)
6,15,PQ_MBH-03_15,MBH-03,Which of the following represents the stages of change in motivational interviewing (Prochaska & DiClemente model)?,Only contemplation and action,Precontemplation → Contemplation → Preparation → Action → Maintenance,Motivation is constant and doesn't change,Only action matters; earlier stages are irrelevant,,,B,"The stages of change progress from pre-awareness (Precontemplation) through contemplating change (Contemplation), preparing (Preparation), taking action (Action), and maintaining (Maintenance). Understanding the client's current stage guides MI strategies. Options A, C, and D misrepresent this model.",,
6,16,PQ_MBH-03_16,MBH-03,"A student with a severe behavior disorder has a structured plan: When he completes his math assignment with no more than 3 prompts, he earns points toward a reward; after 5 days of successful completion, he can select his reward. This reflects which ABA-based intervention?","Free-choice reinforcement, which is not supported by the available evidence.",Contingency contract (a formal agreement specifying behavior expectations and consequences),"Random reinforcement, which is not supported by the available evidence.","Punishment system, which is not supported by the available evidence.",,,B,"This structured plan with clear expectations (complete assignment with ≤3 prompts), contingencies (point earning), and rewards (selection options) is a contingency contract or behavioral contract. Option A (free-choice) isn't structured. Option C (random) contradicts the clear contingency. Option D misrepresents the system.",,CORRECT_B_SHORTENED(em-dash trim (with parenthetical)); DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
6,17,PQ_MBH-03_17,MBH-03,"In cognitive therapy, a thought record is used to help a student examine anxious thoughts. The steps typically include: identify the situation, record the automatic thought, examine evidence for and against the thought, and develop a more balanced thought. This process reflects which principle?",Pure exposure without cognitive change,Cognitive restructuring—identifying and modifying distorted thinking patterns,Behavioral activation only,Avoidance of the anxiety topic,,,B,"Systematically examining thoughts and developing more realistic, balanced thinking is cognitive restructuring. Exposure (Option A) is behavioral. Behavioral activation (Option C) and avoidance (Option D) are separate concepts.",,
6,18,PQ_MBH-03_18,MBH-03,"When using solution-focused brief therapy with a student, the psychologist asks: ""On a scale of 1-10, with 10 being completely solved and 1 being the worst, where would you say you are today?"" This question represents which SFBT technique?",Problem scaling (understanding severity),Scaling question (quantifying progress and envisioning movement toward),Blame assessment,Prognosis prediction,,,B,Scaling questions (typically 0-10 or 1-10) help clients quantify their current state and envision progress by moving the number up. This is a core SFBT technique for goal-setting and progress monitoring. Problem scaling (Option A) is narrower. Options C and D are not SFBT techniques.,,CORRECT_B_SHORTENED(em-dash trim (with parenthetical))
6,19,PQ_MBH-03_19,MBH-03,Which statement accurately describes the relationship between CBT and ABA (Applied Behavior Analysis)?,They are completely unrelated and incompatible,CBT focuses on cognitive change,ABA is outdated; modern practice uses only CBT,They are identical approaches with different names,,,B,"CBT and ABA are complementary, not mutually exclusive. CBT targets cognition and emotion; ABA targets observable behavior systematically. Integration (cognitive strategies + behavioral change) is common and powerful. Options A and C create false dichotomies. Option D is incorrect; they're distinct.",,CORRECT_B_SHORTENED(semicolon trim)
6,20,PQ_MBH-03_20,MBH-03,"A school psychologist using Acceptance and Commitment Therapy (ACT) teaches a student that rather than eliminating all anxiety, she can accept anxiety while taking valued action (e.g., presenting despite feeling anxious). This reflects which ACT principle?","Behavioral avoidance of anxiety, without adequate clinical justification.","Complete elimination of anxiety symptoms, without adequate clinical justification.",Psychological flexibility (accepting internal experiences while pursuing valued goals and actions),"Ignoring anxiety, which is not supported by the available evidence.",,,C,"Psychological flexibility in ACT means accepting unwanted internal experiences (anxiety) while committing to valued action—not eliminating the feeling but no longer being controlled by it. Avoidance (Option A) and symptom elimination (Option B) contradict ACT. Ignoring (Option D) isn't the same as acceptance with action.

---",,CORRECT_C_SHORTENED(em-dash trim (with parenthetical)); DISTRACTOR_A_EXPANDED; DISTRACTOR_B_EXPANDED; DISTRACTOR_D_EXPANDED
