batch,question_number,question_id,skill_id,question_stem,A,B,C,D,E,F,correct_answer,explanation,audit_flag,changes_applied
2,11,PQ_DBD-06_11,DBD-06,"Profile: High aggression, low anxiety/depression. Primary concern?","Multiple disorders, which is not supported by the available evidence.",Externalizing behavioral control problems without significant internalizing distress,"Faking or intentional exaggeration, rather than a genuine clinical pattern.","All domains equally important, which is not supported by the available evidence.",,,B,Profile specificity is clinically useful. This student primarily has externalizing issues. Option A overstates. Option C is unfounded. Option D ignores profile meaning.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
2,12,PQ_DBD-06_12,DBD-06,Which BASC-3 scale measures positive behaviors?,Aggression,Anxiety,Adaptability,Hyperactivity,,,C,"Adaptive scales measure strengths (Adaptability, Social Skills, Leadership). Problem scales measure deficits. Including strengths provides balanced picture.",,
2,13,PQ_DBD-06_13,DBD-06,Rating scale shows one subscale very high while others baseline. First step?,Discard as error,Examine items and response patterns in that subscale for context,Blame rater,Use only typical scores,,,B,"Outliers warrant investigation before dismissing. Response patterns (all yes/no, inconsistency) explain unusual scores. Option A discards potentially important information. Option C is unfounded. Option D ignores valuable data.",,
2,14,PQ_DBD-06_14,DBD-06,Teacher reports hyperactivity concerns; parent reports none but reports home aggression. Best interpretation?,One is wrong,Behavior is setting-specific; different environments elicit different behavior,Student has one disorder both misunderstand,Both invalid,,,B,Setting-specific behavior patterns are normal and clinically meaningful. School structure triggers inattention; home dynamics trigger aggression. Options A and D are unfounded. Option C ignores behavioral specificity.,,
2,15,PQ_DBD-06_15,DBD-06,"Best approach integrating rating scales with observation, interview, records?",Rely only on rating scales,Triangulate all data sources to develop comprehensive hypotheses,Rating scales are most valid; weight them heavily,Discard rating scales if they contradict observation,,,B,Multi-method triangulation provides the most accurate understanding. Options A and D rely on single methods. Option C over-privileges one source.,,
2,16,PQ_DBD-06_16,DBD-06,Rating scale shows inconsistent/contradictory responding. What's indicated?,Test is invalid,Student has no concerns,Response validity should be questioned,Interpret only clear subscales,,,C,"Inconsistency suggests response validity questions, not test invalidity. Possible explanations include cognitive/developmental factors or authentic inconsistency. Option A, B, D misunderstand.",,CORRECT_C_SHORTENED(semicolon trim)
2,17,PQ_DBD-06_17,DBD-06,"Profile: High social withdrawal, low social skills. What does this suggest?",Good social ability,Avoidance of interaction with possible skill deficits,Extroversion,Withdrawal score invalid,,,B,This pattern indicates social anxiety/shyness plus skill deficits. Comprehensive intervention addresses both. Options A and C contradict. Option D dismisses valid data.,,CORRECT_B_SHORTENED(semicolon trim)
2,18,PQ_DBD-06_18,DBD-06,Appropriate framing when reporting rating scales?,"""Student has severe behavioral problems"", without adequate clinical justification.","""Ratings indicate elevated symptoms in these domains, combined with other data, suggesting...""","""Ratings are opinions; ignore them"", without adequate clinical justification.","""Scores prove the student has a disability"", without adequate clinical justification.",,,B,Proper framing acknowledges limitations and integration with other data. Option A overstates. Option C dismisses valid instruments. Option D uses unsupported causal language.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
2,19,PQ_DBD-06_19,DBD-06,Selecting rating scales for kindergarten. Important consideration?,Use elementary scales; age doesn't matter,Select instruments with appropriate content and norms for early childhood,Avoid rating scales with young children,Teacher ratings only; parents unreliable,,,B,Developmental appropriateness matters. Young children show behavior differently (tantrums vs. fighting). Option A ignores development. Option C limits assessment. Option D undervalues parents.,,
2,20,PQ_DBD-06_20,DBD-06,"Purpose of comprehensive assessment integrating rating scales, observation, interview, records?",Complicate the evaluation process without producing clinically useful information.,Comprehensive understanding across settings/sources to inform accurate diagnosis and targeted intervention,Confirm that the rating scales used are valid and require no further scrutiny.,"Eliminate need for professional consultation, without adequate clinical justification.",,,B,"Integration provides holistic, contextual understanding. Options A and C miss the goal. Option D inappropriately limits collaboration.

---",,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
