batch,question_number,question_id,skill_id,question_stem,A,B,C,D,E,F,correct_answer,explanation,audit_flag,changes_applied
3,1,PQ_PSY-01_1,PSY-01,"A child receives a standard score of 85 on a cognitive ability test (mean = 100, SD = 15). A parent asks what this score means. Which statement BEST describes this score?",The child answered 85% of the items correctly.,The child scored at approximately the 16th percentile.,The child is performing two grade levels below grade level.,The child's score is within the average range and above the mean.,,,B,"A standard score of 85 is one standard deviation below the mean (100 - 15 = 85), which corresponds to approximately the 16th percentile on a normal distribution. This accurately interprets the score using the normal curve. Option A confuses standard scores with percentage correct, which is not what standard scores represent. Option C confuses standard scores with grade equivalents, which cannot be directly translated to grade-level placement. Option D is incorrect because 85 is below average (the mean is 100) and below the mean by definition.",,
3,2,PQ_PSY-01_2,PSY-01,A school psychologist is explaining a student's test results to parents. The student earned a percentile rank of 75 on a reading comprehension subtest. Which statement accurately reflects what this means?,The student answered 75% of the items correctly.,The student performed better than approximately 75% of students in the norm group.,The student's score is equivalent to a grade level of 7.5.,The student's performance is in the 75th stanine.,,,B,"A percentile rank of 75 means the student's performance exceeded that of 75% of students in the norm group—this is the precise definition of a percentile rank. Option A confuses percentile rank with the percentage of items answered correctly, which are different constructs. Option C incorrectly applies grade equivalents, which are not derived from percentile ranks and have different interpretive limitations. Option D is incorrect because a percentile rank of 75 does not directly translate to a 75th stanine (stanines are a 1-9 scale, with 75th percentile typically falling in stanine 8).",,
3,3,PQ_PSY-01_3,PSY-01,"A student's cognitive test results show a scaled score of 7 (mean = 10, SD = 3) on a working memory subtest. How should this score be interpreted?",The student is significantly impaired in working memory.,The student performed one standard deviation below the average for the subtest.,The student answered 70% of working memory items correctly.,The student's performance is equivalent to a 7th-grade level.,,,B,"A scaled score of 7 is one standard deviation below the mean of 10 (10 - 3 = 7), representing below-average performance but not necessarily a significant impairment. Option A overstates the severity—one standard deviation below average indicates below-average performance, not necessarily significant impairment (which would typically be 1.5-2+ SD below). Option C confuses scaled scores with percentage correct. Option D incorrectly applies grade-level interpretation to a scaled score, which is inappropriate.",,
3,4,PQ_PSY-01_4,PSY-01,"A child scores 95 on a standardized achievement test in reading (mean = 100, SD = 15). What is this child's approximate z-score?",-0.33,+0.33,-1.0,+1.5,,,A,"The z-score formula is (score - mean) / SD = (95 - 100) / 15 = -5 / 15 = -0.33. A z-score of -0.33 indicates the score is approximately one-third of a standard deviation below the mean. Option B has the wrong sign (positive instead of negative). Option C represents a z-score of -1.0, which would correspond to a standard score of 85. Option D represents a z-score of +1.5, which would correspond to a standard score of 122.5.",,
3,5,PQ_PSY-01_5,PSY-01,A T-score is a standard score with a mean of 50 and standard deviation of 10. A student earns a T-score of 35 on a behavioral rating scale. Which statement is accurate?,The student is 3.5 standard deviations below the mean.,The student is 1.5 standard deviations below the mean.,The student scored in the average range.,The student's score is at approximately the 93rd percentile.,,,B,"A T-score of 35 is 15 points below the mean of 50; since the SD is 10, this represents 15/10 = 1.5 standard deviations below the mean. Option A incorrectly calculates the number of SDs. Option C is incorrect because a score 1.5 SDs below the mean is below average, not in the average range (typically ±1 SD). Option D represents a score well above the mean, whereas 1.5 SDs below corresponds to approximately the 7th percentile.",,
3,6,PQ_PSY-01_6,PSY-01,A school psychologist obtains a student's age-equivalent score of 8.5 years on a reading subtest. The student is currently 10 years old and in 5th grade. Which interpretation is most accurate?,The student should be in 4th grade because the age equivalent indicates 8.5-year-old performance level.,The student should receive instruction in 4th-grade reading level materials.,The student's reading performance is approximately equivalent to the typical performance of an 8.5-year-old.,The student is reading exactly at the level of an 8.5-year-old in all reading components.,,,C,"Age equivalents indicate the chronological age at which a typical student would perform at this level, but they are descriptive, not prescriptive. They do not indicate appropriate grade placement or curriculum level. Option A misuses age equivalents by directly translating them to grade placement, which is inappropriate. Option B similarly misapplies age equivalents to curriculum decisions without considering the student's current abilities across domains. Option D overstates the precision and interpretability of age equivalents, which are summary scores that mask variability in subskills.",,CORRECT_C_SHORTENED(but-clause trim)
3,7,PQ_PSY-01_7,PSY-01,"A student's test profile shows scaled scores of 8, 12, 9, 11, and 10 across five subtests. What does this scatter suggest?",The student has a significant learning disability.,The student has relatively consistent performance across the subtests.,The student likely has specific cognitive strengths and weaknesses.,The student should receive special education services.,,,B,"All scaled scores fall within a narrow range (8-12, with mean 10 and SD 3), indicating that this scatter is within normal variation and suggests consistent performance across domains. Scatter within ±2 points of the mean is typical and not indicative of significant cognitive variability. Option A and D cannot be determined from score scatter alone; a LD diagnosis requires evidence of discrepancy and other factors. Option C would be more appropriate if there were greater scatter (e.g., scores ranging from 5 to 14).",,
3,8,PQ_PSY-01_8,PSY-01,A confidence interval is reported as 90% for a student's IQ score of 102. What does this mean?,There is a 90% chance the student's true score is exactly 102.,There is a 90% probability the student's true score falls within the reported range.,90% of students in the norm group score between 100 and 104.,The student's IQ will remain at 102 for 90% of their lifetime.,,,B,"A confidence interval indicates the range within which the true score likely falls with a specified level of confidence (in this case, 90%). Option A is incorrect because the confidence interval reflects uncertainty around the obtained score, not a statement of exact probability at a single point. Option C confuses confidence intervals with norm groups and percentiles. Option D misinterprets confidence intervals as statements about score stability over time.",,
3,9,PQ_PSY-01_9,PSY-01,A student's standard score of 70 on a cognitive test falls at approximately the 2nd percentile. The psychologist should:,Report only the standard score to avoid alarming parents.,Use multiple measures and conduct further assessment before making placement decisions.,Assume the student meets criteria for intellectual disability.,Recommend immediate special education placement.,,,B,"A single low score requires confirmation through multiple measures and comprehensive assessment before any diagnostic or placement decisions are made. Standard practice requires multiple sources of data (adaptive behavior, achievement, developmental history) before diagnosis. Option A is inappropriate because accurate communication about scores is essential for informed decision-making. Option C and D are premature conclusions based on a single score without additional evidence.",,
3,10,PQ_PSY-01_10,PSY-01,A student receives a grade equivalent of 6.2 on a 4th-grade math achievement test. What is the MOST appropriate interpretation?,The student is ready for 6th-grade math curriculum.,The student's performance approximates the average of a student in the 2nd month of 6th grade.,The student should be advanced to 6th grade.,The student is performing above grade level and should receive enrichment.,,,B,"Grade equivalents indicate the grade and month at which an average student would earn the same score, but they are easily misinterpreted and do not prescribe curriculum or placement. Option A directly misapplies grade equivalents to readiness decisions. Option C is inappropriate placement decision based on a grade equivalent. Option D, while possibly true, cannot be determined from grade equivalent alone without considering other factors and should not be based primarily on grade equivalents.",,CORRECT_B_SHORTENED(but-clause trim)
