batch,question_number,question_id,skill_id,question_stem,A,B,C,D,E,F,correct_answer,explanation,audit_flag,changes_applied
10,11,PQ_LEG-02_11,LEG-02,Related services under IDEA include:,"Only special education instruction, without adequate clinical justification.","Services needed for the student to benefit from special education (speech therapy, occupational therapy, counseling, transportation)","Only services available in general education, without adequate clinical justification.","Services chosen by the student alone, without adequate clinical justification.",,,B,Related services support the student's access to special education. Option A is too narrow. Option C conflates general and special services. Option D doesn't involve appropriate team decision-making.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
10,12,PQ_LEG-02_12,LEG-02,"When considering Least Restrictive Environment (LRE), schools must:",Place all students with disabilities in general education,Consider a continuum of placements,Place students in the most restrictive available setting,Decide placement based on the disability category alone,,,B,LRE requires considering general education first with supports before moving to segregated settings. Option A is too absolute. Option C is opposite LRE. Option D is individualized.,,CORRECT_B_SHORTENED(semicolon trim)
10,13,PQ_LEG-02_13,LEG-02,"A student is suspected of having a learning disability. Before evaluation, the school should:",Automatically refer for special education evaluation,Implement evidence-based interventions with progress monitoring; document RTI/MTSS data before evaluation,Tell the family the student definitely has a learning disability,Begin special education placement immediately,,,B,IDEA emphasizes determining whether the student is a non-responder to quality instruction (RTI framework). Option A skips intervention. Option C is premature. Option D skips evaluation.,,
10,14,PQ_LEG-02_14,LEG-02,An IEP's annual goals should be:,"Vague to allow flexibility, which is not supported by the available evidence.",Measurable and specific; focused on improving the student's functioning in areas of identified need,"Identical across all students, which is not supported by the available evidence.","Set by the school without input, without adequate clinical justification.",,,B,Goals must be measurable to determine progress. Option A prevents measuring progress. Option C ignores individualization. Option D violates parent participation.,,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
10,15,PQ_LEG-02_15,LEG-02,The nondiscriminatory evaluation requirement under IDEA means:,"Evaluations should use only one assessment tool, without adequate clinical justification.","Assessment must be in the student's native language when possible, use multiple measures, and avoid cultural bias","All students should receive identical assessments, without adequate clinical justification.","Evaluation is not necessary if the student is failing, which does not apply in this clinical context.",,,B,"Nondiscriminatory evaluation uses varied, unbiased, culturally responsive assessment. Option A is too narrow. Option C ignores individualization and cultural responsiveness. Option D contradicts evaluation obligations.",,CORRECT_B_SHORTENED(semicolon trim); DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
10,16,PQ_LEG-02_16,LEG-02,Independent Educational Evaluation (IEE) rights under IDEA allow:,School personnel only to conduct evaluations,Parents to request an outside evaluation at school expense if they disagree with the school's evaluation,Only private evaluations,Parents to conduct any evaluation they want free of charge,,,B,IEE provides a mechanism for independent assessment with due process safeguards. Option A prevents outside evaluation. Option C creates false dichotomy. Option D lacks the dispute mechanism.,,CORRECT_B_SHORTENED(semicolon trim)
10,17,PQ_LEG-02_17,LEG-02,A student with a disability requires an interpreter for school access. This would be provided as:,An optional service,A related service if necessary for the student to benefit from special education,Only during special education classes,"Never, because accommodations are the student's responsibility",,,B,Necessary services to access education are provided. Option A minimizes need. Option C limits inappropriate. Option D denies school responsibility.,,
10,18,PQ_LEG-02_18,LEG-02,Extended School Year (ESY) services should be provided to a student if:,The student requests them,The student is at risk of significant regression over the break without services,The district is required to provide them to all students,The parent requests them,,,B,ESY is based on individual need for continuity; regression is the key criterion. Option A makes student choice the standard. Option C requires universal provision. Option D makes parent request alone sufficient.,,
10,19,PQ_LEG-02_19,LEG-02,Child Find under IDEA requires schools to:,"Test all students for disabilities, without adequate clinical justification.","Identify, locate, and evaluate all children with disabilities residing in the district, including homeless children and those in private schools","Only serve students who self-identify, without adequate clinical justification.","Only evaluate students referred by parents, without adequate clinical justification.",,,B,Child Find is a comprehensive identification obligation. Option A tests all unnecessarily. Option C allows students to be missed. Option D limits referral sources.,PARTIAL_FIX|margin=60,DISTRACTOR_A_EXPANDED; DISTRACTOR_C_EXPANDED; DISTRACTOR_D_EXPANDED
10,20,PQ_LEG-02_20,LEG-02,Transition planning for a student with a disability should:,Begin at age 14 or earlier,"Include goals related to post-secondary education, employment, and independent living",Only address special education services,Not involve the student,,,B,Transition planning prepares for post-secondary life with student involvement. Option A is correct timing per IDEA. Option C ignores comprehensive transition. Option D excludes the student.,,CORRECT_B_SHORTENED(semicolon trim)
10,1,PQ_LEG-03_1,LEG-03,"A 10-year-old student with severe asthma experiences frequent hospitalizations and uses an inhaler daily, which substantially limits her ability to participate in physical education and field trips. She does not qualify for services under IDEA. What is the most appropriate response?",The school has no obligation to provide accommodations unless she qualifies for an IEP.,She is eligible for a Section 504 plan that requires the school to provide necessary accommodations.,She should be placed in a separate educational setting to protect her health.,The school should only provide accommodations if the parents can pay for them.,,,B,"Section 504 of the Rehabilitation Act protects students with physical or mental impairments that substantially limit a major life activity—even if they don't qualify for IDEA services. This student's asthma substantially limits respiratory function and major life activities (breathing, physical activity). A 504 plan is required to provide reasonable accommodations. Option A is incorrect because Section 504 creates affirmative obligations for schools to provide accommodations regardless of IDEA eligibility. Option C is incorrect because segregation contradicts the least restrictive environment principle. Option D is incorrect because public schools must provide accommodations at no cost to families under Section 504.",,
10,2,PQ_LEG-03_2,LEG-03,A high school student with diabetes qualifies for accommodations under Section 504 but not IDEA. Which of the following BEST describes the primary difference in how services are provided between the two frameworks?,Section 504 students receive individualized instruction while IDEA students receive only accommodations.,IDEA provides specialized instruction and related services with federal funding,Section 504 is more restrictive and requires more frequent reevaluations than IDEA.,IDEA and Section 504 provide identical services but different funding mechanisms.,,,B,"The fundamental distinction is that IDEA requires specialized instruction and related services (which may require federal funds), whereas Section 504 requires accommodations—modifications to the environment or program that allow access without fundamentally altering the service. This student with diabetes might receive a 504 accommodation to test blood glucose in class or take breaks for insulin injections, but would not necessarily receive specialized instruction. Option A reverses the typical pattern. Option C is incorrect; Section 504 is actually broader and less restrictive in eligibility. Option D is false because they provide different types of services, not just different funding.",,CORRECT_B_SHORTENED(semicolon trim)
10,3,PQ_LEG-03_3,LEG-03,"A student was diagnosed with seasonal allergies that affect concentration during spring months. According to the ADA Amendments Act of 2008, should this student be eligible for Section 504 protections?","Yes, because any allergy diagnosis automatically qualifies under Section 504.","Yes, if the allergies substantially limit a major life activity like learning or concentrating, even if the limitation is temporary.","No, because temporary conditions are explicitly excluded from Section 504 coverage.","No, because allergies are minor medical conditions not covered by ADA.",,,B,"The ADAAA of 2008 expanded the definition of ""substantially limits"" and made clear that conditions need not be permanent to qualify—temporary but significant impairments count if they substantially limit a major life activity. If this student's seasonal allergies substantially impair the ability to concentrate or learn during certain periods, they meet eligibility criteria. Option A is incorrect because diagnosis alone is insufficient; the impairment must substantially limit a major life activity. Option C contradicts ADAAA guidance. Option D is incorrect because the severity or ""seriousness"" of the condition is not the standard; rather, the degree of limitation of major life activities is what matters.",,
10,4,PQ_LEG-03_4,LEG-03,"A school district evaluates a student for Section 504 eligibility and determines that she has ADHD. During the evaluation, the team should specifically assess which of the following?",Only the student's IQ and academic achievement scores to determine service level.,Whether the ADHD substantially limits one or more major life activities compared to the general population.,"The medical diagnosis alone, without regard to functional impact.",Whether the student qualifies for IDEA services first before considering 504.,,,B,"Section 504 eligibility requires a functional analysis: does the disability substantially limit major life activities such as learning, attending, concentrating, or behaving? The determination is comparative—how does this student's functioning compare to the general population? Option A is incorrect because test scores alone don't establish ""substantial limitation."" Option C is incorrect because medical diagnosis is necessary but not sufficient; functional impact in major life activities is the critical factor. Option D is incorrect; 504 and IDEA eligibility are independent inquiries; a student can qualify for 504 without IDEA eligibility.",,
10,5,PQ_LEG-03_5,LEG-03,Who bears the primary responsibility for developing and monitoring a Section 504 plan?,"The school psychologist, who should make all decisions without parent input.","The special education director, in consultation only with the student's teachers.","A 504 coordinator or team that includes the parent, relevant school staff, and may include the student, meeting the child's needs based on Section 504 eligibility criteria.","The student's general education teacher, working alone.",,,C,"Section 504 requires a collaborative team approach that includes the parent/guardian, school staff with knowledge of the child, and often the student themselves. The 504 coordinator facilitates this process. Option A is incorrect because school psychologists are team members but not sole decision-makers, and parent input is required by Section 504 procedural safeguards. Option B is incorrect because special education directors may be involved but the team should include relevant staff and parents. Option D is incorrect because a general education teacher alone lacks the authority and breadth of perspective required.",STILL_FLAGGED|margin=91,
10,6,PQ_LEG-03_6,LEG-03,"A student has a 504 plan that provides extended time on tests and a quiet testing location. A new teacher argues that these accommodations are ""unfair"" to other students. What should the school psychologist explain?",The teacher is correct; accommodations should only be provided to students with IEPs.,"Accommodations are not advantages but rather modifications that level the playing field for students with disabilities, removing barriers to demonstrating knowledge","Accommodations will be phased out as the student ""catches up"" academically.",The school can choose to ignore the 504 plan if teachers object.,,,B,"Accommodations address barriers created by disabilities; they do not provide unfair advantage. Extended time addresses processing or attention limitations, not intelligence. Providing the same test in the same conditions when a student has a documented limitation that affects test-taking is what creates unfairness. Option A is incorrect because 504 accommodations are equally valid and legally required. Option C is incorrect because accommodations address disabilities, which don't ""resolve"" with academic progress. Option D is incorrect because 504 plans are legally binding; schools cannot unilaterally disregard them.",STILL_FLAGGED|margin=79,CORRECT_B_SHORTENED(em-dash trim)
10,7,PQ_LEG-03_7,LEG-03,"Under ADA, a student with a history of cancer in remission (no current medical treatment) is considered to have a disability for purposes of eligibility if:",The cancer might recur in the future.,"The history of cancer substantially limited major life activities, even if currently in remission.",The school district believes the student might become ill.,Any student with a cancer history automatically qualifies.,,,B,"The ADAAA clarifies that students are protected if they have a record of substantially limiting conditions, even if the condition is currently inactive or in remission. This student's cancer history may have substantially limited major life activities (e.g., during treatment) and may create ongoing limitations (e.g., fatigue, medical appointments, psychological effects), making them eligible. Option A is incorrect because potential future recurrence is not the standard; rather, a documented history of substantial limitation is. Option C is subjective and not the appropriate standard. Option D overstates the rule; the record must show substantial limitation, not just any diagnosis.",,
