batch,question_number,question_id,skill_id,question_stem,A,B,C,D,E,F,correct_answer,explanation,audit_flag,changes_applied
7,1,PQ_SAF-01_1,SAF-01,A school is implementing PBIS. Which element represents Tier 1 universal prevention?,Intensive individualized behavior support for students with disabilities,"School-wide expectations, acknowledgment systems, and consistent consequences taught to all students",Therapeutic group interventions for students with elevated risk,Specialized services for students with emotional/behavioral disabilities,,,B,"Tier 1 PBIS is universal, applying to all students and settings, with school-wide expectations explicitly taught and reinforced. Option A represents Tier 3. Option C represents Tier 2. Option D represents specialized services outside PBIS tiers.",,
7,2,PQ_SAF-01_2,SAF-01,What is the primary purpose of data-based decision making in PBIS implementation?,To identify students for exclusionary discipline,"To monitor implementation fidelity and student progress, adjusting practices based on data trends",To rank schools by PBIS effectiveness for accountability purposes,To reduce the number of staff required for behavior management,,,B,"PBIS relies on regular data review to track both implementation (fidelity) and student outcomes (referrals, office discipline, attendance), with adjustments made based on trends. Option A is incorrect; data informs support, not punishment. Option C is incorrect; data is for improvement, not external ranking. Option D is incorrect; PBIS typically requires more staff coordination.",,
7,3,PQ_SAF-01_3,SAF-01,"A student is repeatedly excluded from lunch groups by their peers, resulting in the student eating alone. The student finds other friends within two weeks and shows no distress about the exclusion. Is this bullying?","Yes, because exclusion is a form of relational aggression","No, because bullying requires repeated harm, power imbalance, and intent to harm, which is not established here","Yes, because peers intentionally excluded the student","No, because the student recovered quickly and found other friends",,,B,"While exclusion can be hurtful, bullying requires sustained harm, perceived power imbalance, and intent to harm. The quick resolution and absence of distress suggest conflict or social mismatch rather than bullying. Option A is too broad. Option C conflates intentional act with bullying pattern. Option D is incorrect reasoning (resilience doesn't preclude bullying, but presence here suggests it's not bullying).",,
7,4,PQ_SAF-01_4,SAF-01,A school is developing an anti-bullying program. Which component is most critical for reducing actual bullying behavior rather than just increasing awareness?,Annual bullying prevention assembly,Clear reporting procedures and consistent adult response that stops bullying quickly,Having students sign anti-bullying pledges,Increasing supervision in hallways only,,,B,Research shows bullying decreases when adults respond consistently and stop the behavior; awareness alone does not change behavior. Option A is insufficient. Option C has minimal impact without behavioral response. Option D is incomplete without comprehensive supervision and response.,,
7,5,PQ_SAF-01_5,SAF-01,Which distinction between bullying and conflict is most accurate?,Bullying involves equal-power peers; conflict involves power imbalance,Bullying is one-time; conflict is repeated,Bullying involves power imbalance and repetition with intent to harm,Bullying and conflict are identical terms in school settings,,,C,"Bullying involves power imbalance, repetition, and intent to harm, while conflict is disagreement between equals. Options A and B reverse the correct definitions. Option D is incorrect; they are distinct.",,CORRECT_C_SHORTENED(semicolon trim)
7,6,PQ_SAF-01_6,SAF-01,"A school is selecting a Social-Emotional Learning (SEL) program. According to CASEL framework research, which characteristic should a strong SEL program include?",Only academic skill-building with no attention to emotions,"Integration of self-awareness, relationship skills, responsible decision-making across school settings",Brief annual lessons delivered by an outside presenter,Focus exclusively on students with identified social problems,,,B,"CASEL-identified effective programs integrate multiple competencies (self-awareness, social awareness, relationship skills, responsible decision-making, self-management) across settings and sustained over time. Option A is incorrect; emotions are central. Option C is incorrect; sustained integration is needed. Option D is incorrect; universal programs benefit all students.",,
7,7,PQ_SAF-01_7,SAF-01,"A student makes a threatening statement in frustration after losing a game: ""I'm going to kill you."" Which response best reflects current threat assessment practices?",Immediately arrest the student for making a terroristic threat,Conduct structured interviews to assess whether this is a transient expression of anger or a substantive threat,Suspend the student indefinitely to ensure safety,"Ignore the statement because it was said in emotional context, so it cannot be a serious threat",,,B,"Threat assessment guidelines distinguish transient expressions of anger from substantive threats through structured professional judgment, considering multiple factors. Option A is overly punitive for unclear statements. Option C is premature before assessment. Option D is incorrect; context informs but does not dismiss the need for assessment.",,
7,8,PQ_SAF-01_8,SAF-01,Which is a characteristic of restorative practices in schools?,Punishing students quickly and severely to deter misbehavior,"Focusing on accountability, relationship repair, and repairing harm done",Avoiding consequences because accountability is harmful to relationships,"Using restorative practices only for minor infractions, not serious behavior",,,B,"Restorative practices emphasize accountability through understanding harm and making amends, maintaining relationships while addressing behavior. Option A is incompatible with restorative philosophy. Option C is incorrect; accountability is central. Option D is incorrect; restorative practices work across severity levels.",,
7,9,PQ_SAF-01_9,SAF-01,A school conducts universal screening for social-emotional and behavioral risk using a brief rating scale. The primary purpose of Tier 1 universal screening is:,To identify students needing Tier 2 or Tier 3 support,To exclude students with elevated risk from general education,"To label students as ""at-risk"" for permanent tracking",To test teacher observations without any action,,,A,"Universal screening identifies students who may need additional support while maintaining them in general education, informing efficient Tier 2/3 allocation. Option B is incorrect; screening informs support, not exclusion. Option C is incorrect; identification is for support, not labeling. Option D is incorrect; screening informs action.",,
7,10,PQ_SAF-01_10,SAF-01,Cyberbullying is distinct from in-person bullying because it:,Is less harmful due to occurring online,"Can reach broader audiences, occurs 24/7, is permanent, and may be harder to address",Only occurs between students who know each other,"Should be addressed by police, not schools",,,B,"Cyberbullying's unique characteristics include permanence, rapid spread, anonymity potential, and 24/7 access. Option A is incorrect; online harassment can be deeply harmful. Option C is incorrect; cyberbullying includes both known and unknown people. Option D is incorrect; schools have responsibility when it impacts school climate and safety.",,
