UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_MBH-05_11","Students misidentify the corpus callosum as an emotional processing hub or memory-exclusive region, failing to recognize its structural role as the primary interhemispheric communication cable.","label-retrieval","Distractor A (limbic emotion) and C (memory only) both misname the structure's function. Show anatomy: corpus callosum = 200 million axons connecting left and right hemispheres; it *enables* both hemispheres to coordinate, not generate emotion or memory itself."
"PQ_MBH-05_12","Students treat gene-environment interaction as a zero-sum dichotomy—either genes or environment—rather than understanding epigenetics as bidirectional influence on gene expression.","purpose-confusion","Distractor A (genetic determinism) and B (environmental determinism) both collapse interaction into one-way causation. Use DNA methylation examples: identical twins show diverging epigenetic patterns with age/stress, proving environment shapes expression without changing sequence."
"PQ_MBH-05_13","Students undergeneralize heritability, wrongly restricting inherited conditions to a single category or conflating language (purely environmental) with neurodevelopmental disorders (heritable).","overgeneralization","Distractor A (language is heritable) and C (nutrition only) both misframe the scope. Teach: heritability means genetic contribution to variation; ADHD/ASD/depression all show twin concordance > 50%, whereas language concordance = 0 (exposure driven)."
"PQ_MBH-05_14","Students confuse stimulants' paradoxical calming effect with global CNS depression or apply behavioral punishment frames to a pharmacological dopamine mechanism.","indirect-direct-confusion","Distractor A (global inhibition) and C (CNS depression) swap mechanism directions. Clarify: stimulants increase dopamine availability, enhancing prefrontal regulation of impulsivity—counterintuitive because they seem 'stimulating' but actually refocus attention. Use the paradox: child on methylphenidate becomes *calmer* because dopamine restores executive brake."
"PQ_MBH-05_15","Students misidentify the primary anxiety/depression medication class, either selecting dopamine agents (for ADHD, not mood) or anticholinergics (for different systems entirely).","model-conflation","Distractor A (stimulants for mood) confuses dopamine's ADHD role with serotonin's mood role; distractor D (anticholinergics) names an unrelated system. Emphasize first-line status: SSRIs are gold-standard for pediatric anxiety and depression. Build a table: dopamine drugs = ADHD; serotonin drugs = mood/anxiety."
"PQ_MBH-05_16","Students reverse the monoamine hypothesis of depression, attributing excessive dopamine (a psychosis marker) to depression, or misidentifying GABA or acetylcholine as primary mood regulators.","sequence-inversion","Distractor A (excessive dopamine) inverts the pathology; distractor C (GABA excess) confuses sedation with depression. Teach the monoamine hypothesis: depression = insufficient serotonin and/or norepinephrine. Use PET imaging: depressed brains show reduced serotonin transporter binding, not dopamine excess."
"PQ_MBH-05_17","Students either deny sleep's effect on executive functioning or over-narrow it to quantity alone, failing to recognize sleep quality and architecture as equally critical for prefrontal and emotional regulation.","scope-overgeneralization","Distractor A (no effect) and D (quantity only) both minimize sleep's role. Connect brain architecture to sleep: slow-wave sleep consolidates learning and restores prefrontal function; REM processes emotional memories. Show polysomnography: short sleep = insufficient slow-wave, leading to weak impulse control."
"PQ_MBH-05_18","Students misattribute cerebellar function to language, emotion, or memory alone, missing its integrated role in motor timing and coordination plus cerebellar-prefrontal circuits for attention.","component-confusion","Distractor A (language production) and B (emotional processing) both mislocate cerebellar circuits. Rebuild: cerebellum = 'rhythm keeper' for movement and timing; lesions cause ataxia and timing deficits, not language loss or emotion dysregulation. Use cerebellar ataxia case: preserved language/emotion, broken coordination."
"PQ_MBH-05_19","Students deny adolescent neurobiological risk-taking underpinnings, attributing it wholly to behavior or social influence, or pathologize normal development as pathological mental illness.","developmental-stage-mismatch","Distractor A (brain fully developed by 12) and D (risk-taking = pathology) both mischaracterize adolescence. Emphasize maturation asynchrony: limbic dopamine peaks by early teen; prefrontal development extends to mid-20s. Normalize risk-taking as adaptive (exploration) given this wiring, not as disorder."
"PQ_MBH-05_20","Students deny trauma's neurobiological impact on brain structure and stress regulation, overlooking hippocampal atrophy and HPA axis dysregulation as measurable consequences of early adversity.","population-confusion","Distractor A (no brain effect) and C (only adults affected) both minimize or age-restrict trauma neurobiology. Counter with neuroimaging data: children with chronic maltreatment show reduced hippocampal volume, elevated cortisol, heightened amygdala reactivity. Emphasize that early trauma leaves a neurobiological signature detectable by neuroscience."
