"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_MBH-03_19","Student applied a false disjunctive frame (either CBT or ABA, not both), missing that the two models target complementary mechanisms—cognition and behavior.","scope-overgeneralization","Illustrate coexistence: A student with anxiety has distorted thoughts (CBT target) AND avoidance behaviors (ABA target). Both can be addressed in one intervention plan. Draw overlapping circles to show how CBT and ABA work together."
"PQ_MBH-03_2","Student over-weighted the social judgment phrase ('everyone will think') and mislabeled catastrophizing as mind reading, not recognizing the core binary pass-fail prediction.","indirect-direct-confusion","Show the distortion hierarchy: 'I'll definitely fail' (primary catastrophe) vs 'everyone will think I'm stupid' (secondary consequence). Focus on the ALL-OR-NOTHING foundation. Use color-coding to highlight the catastrophic certainty language."
"PQ_MBH-03_20","Student assumed ACT requires symptom elimination before valued action is possible, reversing the acceptance-plus-engagement stance that is the hallmark of psychological flexibility.","prerequisite-skipping","Teach the ACT paradox: Don't wait to eliminate anxiety before acting. Present WHILE anxious = acceptance + commitment. Demo: 'I'm nervous AND I'll present anyway.' Contrast with avoidance: 'I'm nervous SO I won't present.'"
"PQ_MBH-03_3","Student conflated the consequence class (any post-behavior outcome) with the functional reinforcement subset (consequences that increase behavior).","scope-undergeneralization","Draw a Venn diagram: 'Consequences' (large circle) with 'Reinforcement' (smaller circle inside). All reinforcers are consequences, but not all consequences are reinforcers. Drill: Test 5 classroom examples against 'does behavior increase?'"
"PQ_MBH-03_4","Student focused narrowly on hand-raising behavior change and misread a direct reinforcement application as either extinction or shaping.","model-conflation","Clarify the three-part distinction: (1) Shaping = reinforce APPROXIMATIONS (incomplete attempts); (2) Positive reinforcement = reinforce TARGET already present; (3) Extinction = remove reinforcer. This is reinforcement of the full target behavior, not shaping."
"PQ_MBH-03_5","Student reversed the functional logic of extinction, assuming withdrawal of attention would maintain (reinforce) rather than reduce the target disruptive behavior.","causation-correlation","Use data storytelling: Show a graph—disruption rate spikes while teacher gives attention (positive reinforcement line), drops when attention is withdrawn (extinction line). The behavior DEPENDS on attention to continue."
"PQ_MBH-03_6","Student over-generalized 'stepwise instruction' and confused the successive-approximation refinement of ONE behavior (shaping) with the discrete-step sequence linking (chaining).","model-conflation","Use a skill progression: Shaping = writing A → writing AB → writing ABC (SAME task, improving). Chaining = step 1 (get materials) → step 2 (set up) → step 3 (write) (LINKED tasks). Use video examples of each."
"PQ_MBH-03_7","Student isolated the component-instruction idea but failed to connect the defining feature that chains involve ORDERED sequences linking discrete behaviors toward completion.","component-confusion","Define chaining formula: Stimulus 1 + Response 1 → Stimulus 2 + Response 2 → Stimulus 3 + ... → Reinforcer. Example: putting on shoes (sit down → pick up shoe → insert foot → pull up → stand up = reinforcer). Practice task analysis."
"PQ_MBH-03_8","Student confused immediate token delivery (reinforcement mechanism) with behavior generalization across settings, conflating the system design with a learning outcome.","treatment-assessment-confusion","Distinguish: Token delivery = what happens NOW to strengthen behavior. Generalization = whether the behavior transfers to other contexts later. Tokens are the reinforcement system; generalization is a GOAL of the system that may or may not occur."
"PQ_MBH-03_9","Student assumed SFBT requires extensive problem archaeology before solutions can be found, applying insight-oriented assumptions to a brief solution-building framework.","population-confusion","Illustrate the speed difference: Psychodynamic (dig into past), SFBT (find exceptions today, build on them). Show a session transcript where the practitioner pivots to 'times when the problem is less severe' within 2 minutes. Practice exception-finding openers."
