UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
PQ_DBD-06_1,Students treating all teacher-parent rating discrepancies as evidence of rater bias rather than recognizing setting-specific behavior variation across home and school demands.,scope-undergeneralization,"When students choose 'one rater is wrong,' redirect by asking: Does hyperactivity manifest equally in both a structured classroom and a low-structure home environment? Show examples of how reinforcement schedules and social demands differ between settings. Use a comparison chart of school vs. home environmental demands to concretize why different behaviors emerge."
PQ_DBD-06_10,"When selecting assessment tools for ED eligibility, students conflate single screening scores with sufficient depth, failing to recognize that comprehensive evaluation requires multi-domain standardized subscale measurement.",scope-overgeneralization,"Address distractor A (brief screening only) by contrasting screening (yes/no gate) with diagnostic assessment (depth across domains). Use a visual showing: Screening ≠ Diagnosis. Walk through what 'multiple subscales' means (e.g., aggression, withdrawal, attention, adaptability) and why each domain adds critical discrimination. Emphasize that ED eligibility requires normative comparison across, not single summary scores."
PQ_DBD-06_11,Students interpreting high-aggression/low-anxiety behavioral profiles as evidence of multiple co-occurring disorders rather than recognizing a coherent externalizing presentation without internalizing distress.,model-conflation,"When students select 'multiple disorders,' ask: If a child is aggressive but not anxious or depressed, does that create two separate disorders or one unified behavioral pattern? Use a case: a fourth-grader with conduct problems but no mood symptoms. Guide them to see this as coherent externalizing dysfunction, not fragmented pathology. Contrast with a profile showing both high aggression AND high anxiety (mixed presentation)."
PQ_DBD-06_12,"When identifying BASC-3 scales, students confuse direction of measurement, treating problem scales (aggression, anxiety, hyperactivity) as measuring strengths instead of recognizing Adaptability as the dedicated positive/protective dimension.",label-retrieval,"This is straightforward scale navigation. Show the BASC-3 structure: 'Problem scales measure deficits (higher = worse); Adaptability measures strengths (higher = better).' Use a memory aid: 'Aggression, Anxiety, Hyperactivity are A-words for problems. Adaptability is the A-word that's adaptive.' Drill the full subscale list to build automaticity."
PQ_DBD-06_13,"Rating scale outliers trigger students to dismiss entire protocols as invalid, rather than investigating whether the unusual profile reflects genuine behavioral intensity in that domain or response bias.",treatment-assessment-confusion,"Distractor A (discard the scale) reflects premature closure. Ask: If one subscale is very high and others are normal, does that invalidate the test or invite investigation? Investigation. Walk through a detective process: Check item responses for consistency, ask the rater about specific incidents related to that subscale, determine if it reflects genuine behavioral intensity or response bias. Show that investigation precedes judgment."
PQ_DBD-06_14,"Divergent teacher-parent behavioral reports on Conners 3 lead students to attribute the discrepancy to rater inaccuracy or bias, failing to consider that legitimate setting-specific environmental demands elicit different behaviors.",eligibility-criteria-confusion,"Distractors A (teacher is wrong) and C (parent is dishonest) close explanation too early. Ask: In which setting might hyperactivity manifest more—school (structured, transitions, peer demands) or home (flexible, self-paced)? School. Show setting logic: Same child; school emphasizes sitting, attending, transitions; home allows movement. Rater threshold also matters: teachers compare to 25 students; parents compare to one child. Different baselines = different thresholds."
PQ_DBD-06_15,"Students view multi-method integration as optional when data sources conflict, failing to recognize that triangulation across rating scales, observation, interview, and records is the core principle for developing coherent clinical hypotheses.",prerequisite-skipping,"Distractors A (scales alone) and D (discard contradictory scales) both skip triangulation. Build: Rating scales capture structured patterns. Observation reveals in-the-moment behavior. Interview provides developmental context. Records show history. Each has limits; together they compensate. When scales contradict observation, that discrepancy is data, not noise. Use a case: Low aggression rating but multiple playground reports. Show reconciliation through source-specific lenses."
PQ_DBD-06_16,"Internally inconsistent rating scale responses prompt students to declare the entire instrument invalid, rather than recognizing response validity concerns as a limited interpretive condition that preserves selective clinical utility.",validity-reliability-confusion,Distractor A (invalid); distractor D (selective interpretation despite validity questions). The correct path is middle: question validity but don't trash the instrument. Ask: Are inconsistencies random (validity problem) or patterned (genuine variability)? Show how to flag: 'Response validity concerns limit confidence in subscale interpretation; elevated scores on [subscale] warrant verification through observation.' This qualifies rather than eliminates clinical use.
PQ_DBD-06_17,"Students failing to synthesize low-social-skills and high-withdrawal scores, instead inferring intact social competence from low withdrawal alone, or rejecting the coherent profile as invalid.",component-confusion,"Distractor A treats low withdrawal as implying competence, ignoring concurrent skills deficit. Ask: Does 'not socially withdrawn' equal 'socially skilled'? No. Low withdrawal and low skills are different constructs. Show the profile: Withdrawal is approach/avoidance tendency; skills are behavioral capability. High withdrawal + low skills = avoidance from genuine deficits. Low withdrawal + low skills = participation despite incompetence. Different interventions."
PQ_DBD-06_18,"When reporting rating scale findings, students overstate preliminary indicators as confirmed diagnostic conclusions, failing to hedge appropriately or frame findings as requiring integration with other sources.",tier-level-confusion,"Distractors A ('has severe problems') and D ('proves disability') elevate preliminary findings to certainty. Teach hedging: 'Ratings indicate elevated symptoms. Combined with [other data], these suggest...' vs. 'The student has [diagnosis].' Use sentence stems: 'Compared to norms, this student reports concerns in...' vs. 'This rating proves...' This is professionalism. Model how qualified, scaled-back reporting maintains credibility in IEP contexts while preserving evidentiary rigor."
