"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_PSY-02_19","Students select individual evaluation components (control groups, effect sizes, or measurement quality) as sufficient for intervention claims, missing the requirement to triangulate across all three dimensions simultaneously.","prerequisite-skipping","Choice A focuses only on statistical controls and comparative improvement—students neglect effect magnitude and measure quality. Choice B centers on effect size alone—students believe numeric magnitude of change is sufficient without ruling out attribution errors or poor instrument quality. Choice C emphasizes measurement properties without considering study design or practical significance—students treat psychometric rigor as a standalone criterion. Program evaluation requires convergent evidence: Show changes bigger than chance (design), show they matter in magnitude (effect size), and trust the measurement (reliability/validity). Create a rubric: 'Good claim = controlled comparison + large effect + valid measures. Choose any one alone, and the claim collapses.'"
"PQ_PSY-02_2","Students confuse Cronbach's alpha—a within-test, single-administration coherence measure—with temporal stability or predictive association, layering incorrect reliability types onto internal consistency.","causation-correlation","Choice B attributes internal consistency to temporal stability—students conflate within-administration coherence with test-retest correlation. Choice C links internal consistency to predictive validity—students mistake item correlation for criterion correlation. Choice D associates internal consistency with inter-rater agreement—students treat alpha as a multi-observer metric when it is fundamentally single-test-single-time. Use this hierarchy: 'Alpha 0.88 = my 10 items all measure the same thing, taken once. Test-retest = same test, given twice, same results. Inter-rater = same test, two people score. Different contexts, different indices.'"
"PQ_PSY-02_20","Students attribute differential item functioning to within-test item correlations, test administration inconsistency, or broader test reliability decay, missing the core comparison of item difficulty across matched ability groups.","tier-level-confusion","Choice A focuses on item-to-total correlations—students conflate item discrimination (correlation strength) with DIF (group-based difficulty shift). Choice C wrongly attributes DIF to administrator variation—students import rater/observer unreliability into a psychometric property. Choice D connects DIF to test-retest instability—students confuse item-by-group interaction with temporal drift. DIF requires a group comparison logic: 'At equal overall ability, does Group X consistently find Item 5 harder/easier than Group Y? If yes, possible bias in that item for that comparison.' Teach the contrast: 'Item discrimination = does this item separate high from low scorers overall? DIF = does this item treat groups equally at the same level?'"
"PQ_PSY-02_3","Students misattribute disagreement between two raters to test-wide properties (internal consistency, validity) rather than to the specific measurement dimension of observer agreement on the same construct.","consent-confidentiality-confusion","Choice A mistakes the rater disagreement for a within-test coherence problem—students conflate inter-rater reliability with internal consistency. Choice B confuses rater discrepancy with predictive accuracy—students believe disagreement undermines the test's ability to forecast outcomes. Choice D incorrectly attributes rater disagreement to criterion-related validity—students assume rater alignment directly influences outcome prediction. Draw the distinction sharply: 'Internal consistency = do items within one rating cohere? Inter-rater reliability = do two independent raters agree? One teacher's on-task rating could be internally consistent (her items correlate); still disagree with a second teacher. The scale needs both properties, but they address different sources of error.'"
"PQ_PSY-02_4","Students conflate the practice effect (memory contamination inflating scores on retest) with inherent limitations to test-retest applicability or interval selection, treating the problem as interval-dependent rather than response-contamination-dependent.","sequence-inversion","Choice A assumes cognitive tests are unsuitable for test-retest entirely—students overgeneralize the practice limitation to categorical exclusion. Choice B assumes the 1-week interval is too short—students believe longer intervals always reduce practice effects, missing that memory can persist. Choice D reverses the logic—students think longer intervals improve reliability when the opposite is true (forgetting and real change both inflate disagreement). Clarify the practice effect: 'Retesting within days/weeks allows students to remember items and answers. They score higher not because they improved, but because they remember. This artificially inflates the correlation. Spacing tests weeks or months introduces forgetting and real skill gain, both of which lower observed stability. Neither timing eliminates practice effects—you must use alternate forms, control for practice in analysis, or accept that test-retest is harder to interpret for cognitive tests.'"
"PQ_PSY-02_5","Students incorrectly map standard error of measurement to test validity determination or internal consistency calculation, conflating SEM with broader psychometric concepts instead of recognizing it as a tool for score-level confidence interval estimation.","indirect-direct-confusion","Choice A associates SEM with validity assessment—students treat measurement error as a validity property rather than a precision descriptor. Choice C links SEM to internal consistency computation—students mistake the role of Cronbach's alpha in the SEM formula for the concept SEM measures. Choice D attributes SEM to outcome prediction—students confuse individual score uncertainty with future performance forecasting. Teach SEM as a precision tool: 'SEM converts test reliability into the band of uncertainty around one person's score. If a student scores 100 and SEM is 5, their true score likely falls between 95–105. SEM helps you avoid over-interpreting small score differences. It does NOT tell you if the test is valid or predict the future.'"
"PQ_PSY-02_6","Students misname content validity as a global accuracy property, confuse it with criterion-related validity (predictive success), or conflate it with inter-rater reliability, missing its core meaning as domain sampling adequacy.","scope-undergeneralization","Choice A incorrectly generalizes content validity to 'whether a test measures what it claims'—students use vague language that could apply to any validity type. Choice C wrongly attributes content validity to predictive outcomes—students link domain representation to criterion prediction. Choice D confuses content validity with rater consistency—students believe inter-rater agreement proves the test represents the domain. Anchor content validity to domain coverage: 'Content validity asks: Do the items sample the domain adequately? If I want to measure anger (a construct with triggers, escalation, regulation), do I have items touching each part? Or am I only asking about yelling (narrow)? Content validity is about the MAP—does it cover the territory?—not about predicting consequences or getting raters to agree.'"
"PQ_PSY-02_7","Students select content validity, internal consistency, or test-retest stability as adequate evidence for a screening tool's ability to forecast future outcomes, overlooking the necessity of predictive validity to evaluate forward-looking screening accuracy.","purpose-confusion","Choice A emphasizes domain sampling—students believe that adequately representing early reading is sufficient to predict third-grade outcomes. Choice B highlights item coherence—students assume that items measuring the same construct internally will forecast future performance. Choice D focuses on temporal score stability—students conflate consistency with prediction. Screening is inherently predictive: 'Content validity (does it cover early reading?) is necessary but not predictive. Internal consistency (do items correlate?) is quality assurance but not outcome-based. Test-retest (do scores stay stable?) is reliability but not prediction. Predictive validity alone answers the real question: Do first-grade screening scores actually relate to third-grade reading status? Without it, you may have a reliable, representative test that doesn't forecast anything.'"
"PQ_PSY-02_8","Students misinterpret the score discrepancy between two reliable tests as evidence of poor reliability or true fluctuation in the construct, when differences reflect variations in construct coverage, norm groups, and item selection across tests.","model-conflation","Choice A wrongly assumes score differences indicate measurement unreliability—students treat difference as error when both tests are internally consistent. Choice C suggests the student's true IQ varies substantially—students anthropomorphize IQ as fluctuating rather than recognizing tests measure related but distinct constructs. Choice D implies one test is more reliable based on score divergence—students confuse validity/construct differences with reliability magnitude. Teach construct coverage: 'Two reliable tests can produce different scores because they weight cognitive domains differently, norm to different samples, or include different item types. A 12-point gap is possible and normal. Reliability = consistency within a test. Validity = fidelity to the construct. Different constructs + different norms = different scores, even with good reliability. Check what each test emphasizes, not which one is \"really\" more reliable.'"
"PQ_PSY-02_9","Students reverse the logical structure of construct validation by identifying discriminant validity (low correlation with unrelated constructs) as the defining feature of convergent validity (high correlation with related constructs).","overgeneralization","Choice B describes discriminant validity, not convergent validity—students select it as defining convergent validity, inverting the correlation logic. Choice C confuses convergent validity with criterion prediction—students mistakenly believe that measuring a construct implies predicting outcomes on unrelated criteria. Choice D wrongly attributes convergent validity to inter-rater reliability—students treat agreement between raters as evidence that the test measures the intended construct. Lock in the opposite directions: 'Convergent = same/similar constructs, expect HIGH r. Discriminant = different constructs, expect LOW r. They are two sides of the SAME validation coin: to prove you measure X, show you correlate with other X measures (convergent) and don't correlate with non-X measures (discriminant).'"
