"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_ACA-06_19","Students conflate transfer of learning with rote memorization or assume skills only work in the exact context where taught, missing that transfer requires understanding the underlying strategy well enough to reapply it flexibly.","model-conflation","Teach transfer explicitly by first teaching the underlying principle, then showing multiple contexts. Use contrast: memorized procedure (Q: 'How do you solve THIS?') vs. generalizable strategy (Q: 'What principle applies here?'). When students show context-dependency, scaffold with bridge problems."
"PQ_ACA-06_2","Students confuse negative reinforcement (removing aversive stimulus to increase behavior) with positive reinforcement, or assume positive reinforcement means indiscriminate praise without contingency.","model-conflation","Use the two-by-two matrix: Adding Desirable (+ Reinf) vs. Removing Undesirable (Neg Reinf) × Increasing Behavior. Drilling: 'Praise is only reinforcement if the behavior increases afterward.' Address D: 'Non-contingent praise is NOT reinforcement—there's no learned link.'"
"PQ_ACA-06_20","Students apply classical conditioning or strict behaviorism exclusively, or reduce all learning to a single theory instead of recognizing that constructivism + cognitive load theory best explain deeper learning from hands-on engagement.","model-conflation","Teach theory selection as context-dependent. Hands-on learning works because: (1) students actively construct meaning (constructivism), (2) concrete experience manages cognitive load better than passive observation (cognitive load theory). Present parallel: 'Classical conditioning ≠ hands-on science learning.'"
"PQ_ACA-06_3","Students mistake the reinforcement schedule type, confusing continuous reinforcement with fixed or variable ratios, or misapplying extinction terminology.","label-retrieval","Define continuous reinforcement: Every single correct response gets praise. Contrast with Fixed Ratio (every Nth), Variable Ratio (on average every Nth), Fixed Interval (time-based), Variable Interval (time + randomness). Use tally charts: mark every reinforcer, then ask 'How many between rewards?'"
"PQ_ACA-06_4","Students believe unpredictability or variability leads to rapid extinction or low motivation, rather than understanding that variable ratio schedules produce the highest resistance to extinction and sustained responding.","model-conflation","Explain slot machine behavior: unpredictable reward = strongest persistence even during extinction. Contrast with continuous (behavior drops immediately when reward stops) and interval schedules. Use real-world examples: fishing (variable reward interval) maintains effort despite long dry spells."
"PQ_ACA-06_5","Students focus exclusively on behavior or on cognition/emotion, failing to recognize the reciprocal, bidirectional relationship that defines cognitive-behavioral theory.","scope-undergeneralization","Draw the triangle: Thoughts ↔ Feelings ↔ Behavior (all connected, not linear). Show that changing any one vertex affects the others. Example: anxious thought → nervous feeling → avoidant behavior → thought reinforcement. Ask students to trace all three directions."
"PQ_ACA-06_6","Students reduce Bandura's theory to direct experience or to pure behaviorist principles (punishment/reward only), underestimating the role of observational learning and self-efficacy in behavior change.","scope-undergeneralization","Emphasize: Bandura moved BEYOND behaviorism by showing learning happens by watching others WITHOUT personal reward/punishment. Add self-efficacy: belief in capability shapes whether observed behavior is adopted. Use modeling video: student watches peer succeed, attempts task, builds efficacy."
"PQ_ACA-06_7","Students interpret ZPD as academic performance trajectory, intelligence-achievement discrepancy, or developmental age-grade mismatch, rather than as the specific gap between independent performance and supported performance.","model-conflation","Define ZPD precisely: what a child can do ALONE vs. what a child can do WITH SUPPORT. Use the metaphor of scaffolding: adult support bridges the gap. When students cite grades or IQ-achievement, redirect: 'That measures X. ZPD specifically measures the gap between independent and supported.'"
"PQ_ACA-06_8","Students believe preoperational children can think logically about concrete objects or can already use abstract reasoning, or confuse preoperational characteristics with sensorimotor stage reflexes.","developmental-stage-mismatch","Use Piaget's tests explicitly: conservation of liquid (pouring water into different containers), centration (focus on one feature). Preoperational kids fail these. Use age anchors: ages 2–7 = preoperational. Clarify: concrete operations come later, abstractions even later. When students cite 'logical thinking,' ask 'Can a 4-year-old understand conservation?'"
"PQ_ACA-06_9","Students attribute advanced abstract reasoning to the concrete operational stage, confuse concrete operations with sensorimotor reflexive behavior, or misidentify the primary accomplishment of logical reasoning about objects.","developmental-stage-mismatch","Teach the concrete operational milestone: reversibility, decentration, conservation, logical operations on tangible items (not yet abstract). Use Piaget tasks: water conservation, class inclusion (all dogs are animals, but not all animals are dogs). Contrast with abstract thinking: 'If X = Y and Y = Z, then X = Z' (no concrete objects needed)."
