UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_ACA-08_19","Students recommend extended time as a working memory accommodation, overlooking that time alone does not reduce the concurrent processing load; they conflate a general accommodation (more time) with a working-memory-specific one (reduced step complexity).","scope-undergeneralization","Explain the mechanism: extra time helps slow processing or allow breaks, but does not increase working memory capacity. Weak working memory requires *structural* changes (one step at a time, written cues). Distractor A is a common, general accommodation—use it to illustrate why matching the underlying deficit matters."
"PQ_ACA-08_2","Students identify working memory as the problem when observing disorganization and material loss, missing that the student's specific struggle is planning and organization (where to put things, how to sequence tasks) rather than short-term information holding.","indirect-direct-confusion","Anchor to the scenario: loses backpack, forgets assignments, cannot organize desk. These reflect failure to plan storage and prioritize tasks, not failure to hold a phone number or math steps in mind. Working memory concerns immediate information; planning concerns future sequencing. Distractor A is appealing but targets the wrong mechanism."
"PQ_ACA-08_20","Students restrict EF impact to mathematics, treating reading and writing as independent of executive functioning demands, and miss the fact that planning, organizing, and impulse control support all academic domains.","population-confusion","Walk through each domain: math (planning problem-solving steps), reading (organizing comprehension, resisting distracting thoughts), writing (planning essays, organizing ideas, revising). Distractor A isolates math—use it to show why EF is a *cross-domain* skill, not subject-specific."
"PQ_ACA-08_3","Students identify cognitive flexibility as the core problem when a student abandons tasks, confusing the ability to *shift between* tasks with the ability to *persist on one* task until it is done.","purpose-confusion","Define the distinction: flexibility = switching between different mental sets (good when appropriate); persistence = staying on a task despite distractions (required for task completion). The student is *too* flexible. Distractor A is a real EF component but describes the opposite problem—clarify the intervention mismatch."
"PQ_ACA-08_4","Students assume the BRIEF-2 assesses only working memory and processing speed, dramatically narrowing the scope of the instrument and ignoring the seven specific EF domains it measures: inhibition, flexibility, planning, etc.","eligibility-criteria-confusion","Explicitly list the BRIEF-2 domains: inhibition, cognitive flexibility, working memory, planning, organization, task initiation, and emotional control. Distractor A is partially accurate (working memory is one domain) but drastically incomplete—reinforce that valid assessment instruments measure multiple, interrelated constructs."
"PQ_ACA-08_5","Students conflate a working memory deficit with global intellectual disability, overlooking that a student with average intelligence and poor working memory shows the hallmark pattern of specific cognitive unevenness.","tier-level-confusion","Use the profile: average intelligence + low working memory = *specific* deficit in temporary information holding, not broad reasoning impairment. Distractor C (global intellectual disability) would affect all domains uniformly; the profile shows sparing of long-term memory—this is diagnostic differentiation. Teach students to see unevenness as evidence of a specific EF deficit."
"PQ_ACA-08_6","Students treat metacognition and EF as separate, non-interacting processes rather than recognizing that metacognition (monitoring one's own thinking) is foundational to executing EF strategies like self-monitoring and adjusting plans.","causation-correlation","Explain the dependency: metacognition is the *awareness* layer; EF is the *action* layer. Metacognition asks 'Am I on track?'; EF asks 'What do I do about it?' Distractor A separates them artificially—clarify that without metacognitive awareness, EF strategies cannot be deployed."
"PQ_ACA-08_7","Students identify classroom supports as remediation for general intelligence, misreading the purpose of visual schedules and task breakdowns as attempting to boost IQ rather than as compensation for planning and memory deficits.","consent-confidentiality-confusion","Reframe the intervention: visual schedules and checklists do not attempt to improve a student's IQ or memory capacity; they *externalize* planning and memory functions so the student can succeed despite the deficit. Distractor A frames supports as remediating intelligence—use it to highlight that accommodations are about access, not about changing the child's underlying ability."
"PQ_ACA-08_8","Students overestimate the effectiveness and transfer of computerized cognitive training, believing that lab-based task practice translates broadly to real-world ADHD symptoms and academic outcomes.","treatment-assessment-confusion","Present the empirical finding: training on task X improves performance on task X but does not reliably improve performance on task Y or reduce ADHD symptoms. This reflects the specificity of neural gains; real-world ADHD requires multimodal intervention (behavior management, medication, environmental supports). Distractor A is the attractive misconception—use it to teach skepticism about 'brain training' marketing."
"PQ_ACA-08_9","Students misidentify the theoretical basis of a reward system for weak EF, conflating it with mastery learning (skill progression) rather than recognizing it as a behavioral contingency (immediate, frequent reinforcement for task completion).","norm-criterion-confusion","Contrast approaches: mastery learning = 'practice until perfect'; contingency management = 'do X, get reward immediately.' Weak EF requires frequent, immediate feedback to maintain motivation and task engagement. Distractor A sounds pedagogically sound but misses the behavioral mechanism at play—use it to teach why EF deficits specifically benefit from external motivators, not just skill-building."
