UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_SWP-02_1","Students believe that repeating a grade provides enduring academic gains, conflating short-term opportunity for reteaching with long-term achievement trajectories. This ignores research showing retention predicts later dropout without corresponding achievement recovery.","overgeneralization","Distractor A assumes additional time automatically translates to permanent learning gains. Distractor C splits the effect by subject, ignoring that retention produces no subject-specific benefits across the research base. Distractor D misattributes outcomes to teacher quality instead of recognizing that retention itself is the risk factor. Teach: Anchor students on the phrase 'long-term outcomes' in the stem—retention's harms compound over years, not improve. Use graph of retention vs. dropout trajectories to show the divergence."
"PQ_SWP-02_10","Students isolate education from criminal justice systems, failing to recognize the causal chain linking school practices (retention, tracking, exclusion) to reduced graduation rates and increased justice involvement. This reflects a boundary misunderstanding between institutional systems.","scope-undergeneralization","Distractor A claims the two systems are independent, severing the empirical link between school disengagement and justice outcomes. Distractor C inverts causality—suggesting retention identifies and prevents problem behavior when the evidence shows retention causes disengagement and pushes students toward justice system contact. Distractor D endorses tracking as uniformly positive, ignoring its role in concentrating risk. Teach: Walk students through a concrete example (e.g., a retained student drops out at 16, then enters the juvenile system) to make the pipeline visible. Name the specific mechanisms: exclusion → disengagement → dropout → justice involvement."
"PQ_SWP-02_11","Students treat academic performance as the sole retention decision factor, neglecting the evidence-based requirement to evaluate intervention history, student readiness for promotion, and alternatives simultaneously. This reflects reduction to the most visible data point.","component-confusion","Distractor A stops at grades and current performance without examining whether interventions were attempted or whether next-grade content is accessible to the student. Distractor C substitutes teacher retention history for actual retention decision criteria, confusing aggregate school-level patterns with individual case factors. Distractor D elevates age and developmental readiness alone, missing the integration of readiness with intervention effectiveness and research on retention efficacy. Teach: Use a decision tree that branches on each of the four components in the correct answer (research + history + readiness + alternatives). Show that missing even one branch (e.g., skipping 'alternatives') produces an incomplete decision."
"PQ_SWP-02_12","Students treat dropout and retention as separate causal paths when retention is actually a proximal risk factor—especially after multiple retentions—that triggers cumulative disengagement leading to dropout. This reflects underestimation of within-system influence.","causation-correlation","Distractor A attributes dropout solely to economic forces, ignoring school-based factors that interact with economics (retained students in low-income families have compounded risk). Distractor C reverses causality by claiming retention provides 'catch-up time,' when in fact students retained after one attempt often reoffend and drop out. Distractor D denies any school-placement effect, treating dropout as a purely external or individual outcome. Teach: Use cumulative risk framing—each additional retention multiplies dropout hazard. Show a cohort trajectory (retained once → 20% dropout; retained twice → 40% dropout) to make the dose-response relationship concrete."
"PQ_SWP-02_13","Students assume acceleration is a direct treatment for affective barriers (anxiety, perfectionism) instead of recognizing that emotional readiness must be addressed in parallel before acceleration can be viable. This conflates the vehicle for learning (acceleration) with treatment of the obstacle (anxiety).","treatment-assessment-confusion","Distractor A claims acceleration solves anxiety directly, skipping the prerequisite of anxiety remediation. Distractor C prescribes retention as a pressure-relief strategy, when retention reliably increases anxiety and perfectionism (negative self-esteem after retention is well-documented). Distractor D blanket-excludes any student with emotional concerns from acceleration, ignoring that appropriately-challenged gifted students often show anxiety relief when content matches ability. Teach: Use a clinical lens: first identify and treat the barrier (anxiety intervention), then reassess readiness for acceleration. Show examples of gifted anxious students whose anxiety declined after acceleration (once the affective work was done) versus those who deteriorated under retention pressure."
"PQ_SWP-02_14","Students treat within-class and between-class grouping as functionally equivalent, missing the structural feature that within-class grouping allows mid-year movement while between-class tracking locks students into static assignments. This reflects failure to distinguish flexibility from rigidity.","model-conflation","Distractor A equates the two methods and their outcomes, ignoring that within-class flexibility permits student mobility and re-evaluation, whereas between-class tracking creates durable segregation. Distractor C reverses which method offers flexibility, incorrectly claiming between-class tracking is more responsive to student change. Distractor D denies differential outcomes of the two approaches, ignoring decades of research showing tracked systems widen gaps more than flexible grouping. Teach: Use a 'student trajectory' lens—show a student in a within-class low group who reads data indicating readiness to move up and successfully transitions mid-unit, versus a between-class tracked student locked until the next year (or never). Highlight the structural difference as the mechanism."
"PQ_SWP-02_15","Students overgeneralize ESSA's regulatory scope, assuming it either mandates retention universally or eliminates retention entirely, when ESSA actually preserves state autonomy while discouraging purely punitive retention. This is a scope-of-authority confusion.","scope-overgeneralization","Distractor A assumes ESSA prescribes retention as an accountability mechanism, when ESSA intentionally grants states flexibility in accountability design. Distractor C assumes ESSA mandates retention for a specific proficiency marker (reading level in 3rd grade), when no such federal mandate exists (Florida's policy is state-level). Distractor D assumes ESSA has the power to ban retention nationwide, when federal law cannot override state education authority to that degree. Teach: Explicitly contrast federal guidance (discourages punitive retention) with state policy latitude (each state sets its own rules). Use ESSA's language: 'flexibility' is the operative principle, not mandates. Compare across 2–3 states' different retention policies to show the decentralization."
"PQ_SWP-02_16","Students attribute disproportionate retention of minority students to inherent group differences in capability or family choice, rather than recognizing bias in the decision-making process itself—a misattribution that obscures the need for equity audits and training. This reflects failure to identify systemic bias.","population-confusion","Distractor A attributes patterns to ability differences, conflating demographic disparities with genuine achievement gaps and ignoring that controlling for actual achievement still shows overrepresentation (proving bias beyond performance). Distractor C shifts responsibility to family preferences, ignoring that families often face pressure to consent and that disproportionality persists even when researchers examine decision-making. Distractor D recommends increasing retention overall to 'maintain consistency,' essentially accepting or amplifying the biased pattern. Teach: Show two achievement-matched student cohorts (one majority, one minority) with different retention rates, proving that bias in decision-making—not capability—is driving the disparity. Name the specific decision-making step (screening, teacher recommendation, parent consent) where bias is likeliest to occur."
"PQ_SWP-02_17","Students omit language proficiency and instructional quality from the English learner retention decision, instead focusing on tenure or family values as proxies, missing the fundamental distinction that retention decisions for EL students require assessment of dual-language development and instruction integrity. This reflects incomplete assessment logic for multilingual learners.","prerequisite-skipping","Distractor A narrows to school tenure alone without assessing English proficiency level, reading in the L1, or whether instruction in both languages was available (prerequisites for sound judgment). Distractor C invokes family education values as a decision factor, imposing cultural assumptions instead of gathering psychometrically sound data on language proficiency and instructional quality. Distractor D bases the decision on behavior ratings, which are neither predictive of reading readiness in EL students nor relevant to language development milestones. Teach: Create a decision matrix for EL retention: Years in US schools + English proficiency (assessed) + L1 reading skill (assessed) + quality/consistency of bilingual instruction (observed). Show that two EL students with identical reading scores may face different decisions if one had only English instruction and the other had robust bilingual support."
"PQ_SWP-02_18","Students believe that retention and additional time provide direct psychological benefits (improved self-esteem, motivation) without accounting for the powerful indirect pathway through peer stigma and social comparison. This underestimates mediation by peer perception.","indirect-direct-confusion","Distractor A assumes more time leads to automatic esteem gains, ignoring that being retained typically triggers visible social demotion and age-separation from peers. Distractor C assumes retention is emotionally neutral or benign when meta-analyses consistently show negative effects (reduced self-esteem, lower motivation, higher absenteeism after retention). Distractor D attributes all esteem effects to the teacher relationship, missing the dominant effect of peer perception—students retained are often socially marked and perceived as 'behind' by classmates regardless of teacher warmth. Teach: Use a mediation model: retention → peer recognition of stigma → social exclusion and shame → lower self-esteem and motivation. Compare retained students' self-report pre/post retention to show the shift driven by external (peer) cues, not internal academic gains."
