UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_DIV-01_19","Educators either impose inflexible, site-bound meeting schedules, minimize formal family participation despite law-mandated roles, or substitute educator proxies for authentic caregiver voice in decision-making and progress monitoring.","scope-undergeneralization","Distractor A defaults to business-hour, in-person requirement; teach barrier removal for working families (asynchronous email, off-hours video, phone check-ins). Distractor D dilutes family authority through teacher intermediaries; clarify IDEA partnership roles—educators facilitate, families retain decision power. Frame accommodations as access equity, not watering down engagement."
"PQ_DIV-01_2","Respondents reverse the defining features of cultural humility and cultural competence, or collapse both into broader movements, confusing practitioner stance toward ongoing limits-awareness with mastery-oriented frameworks or structural curricula.","label-retrieval","Distractors A and C swap or blur two distinct constructs; use definitional comparison table (humility = lifelong reflection + power awareness; competence = knowledge mastery). Distractor D narrows both to false scope boundaries; teach that humility and competence operate at individual and systems levels. Use vivid case examples showing humility-in-practice (admitting gaps, seeking consultation)."
"PQ_DIV-01_20","Practitioners either lower expectations as cultural accommodation, replace evidence-based practices with cultural alternatives, or focus only on within-student factors while ignoring language, bias, and institutional barriers affecting performance.","purpose-confusion","Distractor A stereotypes culture into lowered standards; teach that cultural responsiveness = high expectations + intensive, culturally valid scaffolding. Distractor B pits culture against evidence; show adaptation matrices preserving active ingredients (e.g., cognitive rehearsal stays; examples become culturally valid). Distractor D ignores structural factors; use ecobehavioral lens to identify language demands, bias, and resource gaps."
"PQ_DIV-01_3","Assessors confuse strength-based approaches with avoiding documentation of deficits, or perform them as performative cultural display rather than using protective factors and cultural assets to inform valid decisions and partnership.","indirect-direct-confusion","Distractor A misreads strengths as lowered standards; teach that comprehensive evaluation documents both assets and needs. Distractor C thinks strengths mean skipping deficit assessment; clarify that integrated profiles (strengths + weaknesses) predict better support and eligibility. Distractor D treats strengths as impression management; reframe as genuine partnership tool grounded in valid decision-making."
"PQ_DIV-01_4","Planners treat intersecting identities as separate categorical addenda rather than as interacting membership systems that create distinct barriers and advantages, or prioritize disability while ignoring co-occurring contextual stressors and cultural demands shaping presentation.","scope-overgeneralization","Distractor A uses single-axis planning (race | class | disability separately); teach intersectional framework where overlapping memberships compound advantage and disadvantage. Distractor C privately prioritizes disability label; explain that barriers are multidimensional—disability determination requires contextual analysis. Distractor D proposes parallel interventions per identity; show integrated coordinated design for overlapping needs."
"PQ_DIV-01_5","Clinicians insist on Western individual-decision norms as non-negotiable CBT protocol, or declare an entire evidence family culturally incompatible, or over-individualize case formulation while omitting culturally legitimate decision-makers.","component-confusion","Distractor A treats autonomy as core to CBT itself; teach that goal-setting autonomy can align with collectivist consensus (involve extended family in collaborative planning). Distractor C abandons CBT due to perceived incompatibility; show that adaptation (include kin, reframe thoughts as group outcomes) preserves mechanisms. Distractor D ignores accountability agents; explain that homework and commitment are stronger when legitimate stakeholders co-author goals."
"PQ_DIV-01_6","Practitioners either dismiss cultural worldviews as inferior to school services, skip comprehensive engagement when families show initial reluctance, or bypass informed consent and procedural safeguards by implementing services unilaterally.","causation-correlation","Distractor A ranks school services above cultural practices; model humility language validating alternative approaches while clarifying education rights. Distractor C documents refusal without continued assessment efforts; teach child-find obligations—persistent good-faith engagement even when initial resistance surfaces. Distractor D imposes placement without consent; reinforce IEP integrity and shared decision-making requirements."
"PQ_DIV-01_7","Respondents treat SES as direct single cause of achievement, attribute group patterns to fixed ability, or collapse complex racial/ethnic disparities into economics alone, missing mechanisms (access, stress, opportunity, discrimination) and multilevel variance.","overgeneralization","Distractor A reduces SES to fatalism; teach specific mediators (nutrition, materials access, chronic stress, healthcare gaps). Distractor C attributes disparities to ability differences; redirect toward measurable opportunity gaps and measurement bias. Distractor D attributes all racial gaps to SES; show that racism, language load, cultural bias in tests, and school quality independently contribute beyond economic factors."
"PQ_DIV-01_8","Practitioners bypass families to avoid stigma, pressure families into professional help to prove commitment, or predict non-engagement without structured culturally credible outreach when privacy norms and help-seeking barriers are salient.","prerequisite-skipping","Distractor A sidelines caregivers to protect privacy; teach that family-centered planning includes explicit confidentiality boundaries and shared goal-framing. Distractor C uses coercion to demonstrate commitment; model motivational interviewing with culturally credible messengers and frames. Distractor D assumes disengagement; teach barrier assessment (language? transportation? trust?) and low-cost adaptations maintaining dignity."
"PQ_DIV-01_9","Respondents invert the fundamental contrast between cultural humility (ongoing reflection on limits and power) and cultural competence (mastery of cultural knowledge), or treat them as synonymous or falsely compartmentalized by scope.","role-confusion","Distractor A flips the definitions; use side-by-side contrast (humility = epistemic humility + power awareness; competence = knowledge base) with examples. Distractor C treats as synonyms; show how professional literature distinguishes them (humility critiques competence as mastery myth). Distractor D assigns false boundaries; teach that both operate at individual practice and systems levels for authentic responsiveness."
