UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_FAM-02_19","Students conflate problem-focused family involvement with resilience partnerships, unaware that genuine partnerships center *existing* family strengths, assets, and competencies rather than deficits and unmet needs.","scope-undergeneralization","Distractor A (problems identified at meetings): Student saw involvement as enough. Teach: presence ≠ partnership. Resilience work *discovers and builds on* what the family already does well. Distractor C (professional assessment determines needs): Student trusted professional eyes alone. Reframe: families are experts in their own resources. Distractor D (critique family approaches): Student mistook critique for support. Model strength-spotting language.
"
"PQ_FAM-02_2","Students assume parental requests override procedural protections and mistakenly believe schools must implement every requested IEP change immediately, missing that schools can implement with documented disagreement recorded in writing.","consent-confidentiality-confusion","Distractor A (implement before meeting ends): Student imposed immediate compliance. Clarify IDEA timeline: schools may implement after documenting disagreement. Distractor B (one parent agreement sufficient): Student lost sight of *both* parents' procedural rights. Distractor D (new IEP required): Student over-accommodated. Teach: disagreement ≠ automatic re-development. Documentation is the procedural safeguard.
"
"PQ_FAM-02_20","Students prioritize quick diagnoses and technical expertise over accessible explanation and two-way dialogue, missing that family partnership in results interpretation depends on clarity, dual-perspective feedback, and space for questions.","scope-overgeneralization","Distractor A (technical language shows expertise): Student confused demonstration with comprehension. Teach: Plain-language summaries *elevate* expertise, not diminish it. Distractor C (diagnosis-centric framing): Student buried strengths in labels. Show: strengths + disability + next steps. Distractor D (speed over depth): Student rushed. Model: 'Take the time to ask, "What do you hear?" and "What questions do you have?"'
"
"PQ_FAM-02_3","Students default to low-context, written-first communication without recognizing that families from high-context cultures prioritize relationship-building, indirect communication, and collective processing before decisions.","developmental-stage-mismatch","Distractor A (written info with minimal verbal discussion): Student underestimated relationship primacy. Teach: high-context engagement sequence—*relationship* → *indirect explanation* → *time to process* → *decision*. Distractor B (formal meetings at standard times): Student imposed schedule uniformity. Highlight flexibility: evening meetings, home visits, community spaces. Distractor D (unmodified assessment): Student ignored cultural validity. Show: standardization ≠ cultural responsiveness.
"
"PQ_FAM-02_4","Students assume evaluation authority overrides consent or immediately escalate to due process, missing the intermediate procedural step of re-engagement: providing information, answering questions, and building understanding before formal disputes.","sequence-inversion","Distractor A (conduct anyway): Student violated IDEA consent requirement. Clarify: no evaluation without consent—period. Distractor B (document and stop): Student abandoned relationship. Teach the *engagement sequence*: refusal → info + dialogue → reconsideration. Distractor C (jump to due process): Student skipped collaborative steps. Model: 'Help me understand your concerns. Here's what I think would help your child. Let's talk.'
"
"PQ_FAM-02_5","Students confuse emotional closeness (cohesion) with the flexibility to adapt roles and respond to crisis, missing that adaptability—not bonding—is the family systems capacity that predicts resilience under trauma and instability.","component-confusion","Distractor B (family cohesion): Student prioritized emotional bonds. Clarify: cohesion asks 'Are you close?' Adaptability asks 'Can you shift roles and problem-solve together?' Both matter; trauma/homelessness stress *adaptability* most. Teach the Circumplex Model. Distractor C (identified patient): Student individualized what is systemic. Distractor D (structural alignment): Student conflated school-family alignment with family function.
"
"PQ_FAM-02_6","Students defer to professional authority and treat school-family relations as hierarchical (school leads, parents follow), unaware that current evidence explicitly requires shared power and mutual recognition of both parental and professional expertise.","tier-level-confusion","Distractor A (defer to professionals): Student positioned school authority above family voice. Teach: partnerships ≠ compliance models. Mutual expertise is the foundation. Distractor C (attendance only): Student minimized substantive involvement. Clarify: decisions—not just meetings—include families. Distractor D (separate roles): Student siloed school and home. Highlight: coordinated action across contexts, not parallel tracks.
"
"PQ_FAM-02_7","Students treat IDEA requirements as rigid constraints incompatible with cultural accommodation, unaware that culturally responsive IEP language can honor collectivist values while meeting compliance obligations.","indirect-direct-confusion","Distractor A (IDEA mandates inflexibility): Student saw law as barrier to culture. Teach: IDEA *allows* adaptation. Reframe IEP goals—include family/community goals alongside individual goals. Distractor C (resistance signals non-value): Student made a cultural judgment. Address stereotype. Distractor D (opt out of services): Student offered escape instead of solution. Model inclusive language: 'How can we make these goals feel right for your family?'
"
"PQ_FAM-02_8","Students confuse FERPA timeline specifics or incorrectly believe personal notes and raw test data are excluded from education records, missing that FERPA grants broad parental access with very limited exceptions tied to specific harmful disclosure standards.","validity-reliability-confusion","Distractor A (personal notes excluded): Student misunderstood FERPA scope. Clarify: personal notes = education records (limited exceptions exist but are rare). Distractor B (raw data excluded): Student invoked 'interpretation privilege' that doesn't exist in FERPA. Teach: access ≠ interpretation coaching, but access is still required. Distractor D (release form required): Student over-proceduralized. Confirm: parental access is an *entitlement* under FERPA; no release blocks it.
"
"PQ_FAM-02_9","Students either capitulate to parent demands uncritically or assert professional authority unilaterally, missing that IEP disagreement resolution requires respectful explanation of reasoning, active listening to parental concerns, and genuine consensus-seeking.","model-conflation","Distractor A (always support parent request): Student abdicated professional responsibility. Teach: agreement isn't the goal; *understanding* is. Distractor C (assert and expect deference): Student relied on authority, not dialogue. Model: 'Here's what the data show. Here's what I recommend. Tell me what you're seeing at home. Let's figure this out together.' Distractor D (50-50 compromise): Student offered false solution. One view may be right; the resolution may be in-between. Always *reason through it*.
"
