"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_DBD-07_19","Student addresses only the primary maintaining function when an FBA explicitly identifies co-occurring reinforcement pathways requiring an integrated replacement.","scope-undergeneralization","Distractor A picks only one function (attention OR escape) despite both being explicit. Teach: when FBA shows dual functions, design a *single* replacement that satisfies both. Example: student's hand-raise can gain both teacher attention *and* escape from a too-difficult task (teacher offers an easier version). Distractor C fragments per function—inefficient."
"PQ_DBD-07_2","Student conflates behavioral function with any postcedent event or the setting itself, rather than identifying the *reinforcer* that maintains the response class.","model-conflation","Distractor A says ""consequences that follow,"" which is too broad (includes punishers). Distractor C confuses setting/context with function. Teach: function = the reinforcer (positive or negative) that *increases/maintains* the behavior. Use a clear sequence: student called out → teacher called on student → calling-out increases → *that teacher call is the reinforcer* → that's the function."
"PQ_DBD-07_20","Student prematurely abandons the entire FBA hypothesis before checking procedural fidelity and whether replacement reinforcement is sufficiently stronger than problem-behavior reinforcement.","validity-reliability-confusion","Distractor A discards the whole analysis on first sign of plateau. Teach troubleshooting hierarchy: (1) Did we implement with fidelity? (Observe the replacement opportunity and count actual teacher delivery.) (2) Is replacement reinforcement stronger? (increase frequency or value.) (3) Only *then* revisit FBA. Distractor C wrongly invokes willful refusal; distractor D overgeneralizes."
"PQ_DBD-07_3","Student misses that contingent adult responses (reprimands, attention) can serve as positive reinforcers, or does not recognize removal from task as negative reinforcement.","population-confusion","Distractor A treats public reprimands as purely aversive; actually, contingent adult attention is often positive reinforcement. Distractor B assumes time-out is purely punitive; actually, it can be negative reinforcement (escape) if student wanted to avoid the task. Teach: same response can have *different functions* depending on what the student is escaping or gaining."
"PQ_DBD-07_4","Student selects a prosocial alternative that does not match the escape function, or adds rewards for non-behavior without teaching an appropriate way to escape demands.","eligibility-criteria-confusion","Distractor A (sitting quietly) is passive—does not contact escape from aversive demands. Distractor C adds tangibles for abstinence without a demand-reduction pathway. Teach: a replacement for escape-maintained behavior *must* allow the student to remove or reduce the aversive stimulus appropriately. ""Request break"" = student can take action to escape; tangible reward alone doesn't teach that pathway."
"PQ_DBD-07_5","Student attributes the reinforcement contingency to a non-targeted social agent (peers) or generic consequence class (tangibles) when the sequence shows adult-mediated demand withdrawal.","causation-correlation","Distractor A attributes to peer attention when the teacher removes work. Distractor C mislabels work reduction as tangible access. Teach the ABC chain: (A) Difficult problem → (B) Yells/refuses → (C) Easier work given. The maintaining reinforcer is *demand reduction*, delivered by the teacher. Peer attention didn't follow; adult action did."
"PQ_DBD-07_6","Student identifies secondary benefits (time/cost savings or multiple perspectives) rather than the core evidentiary logic of hypothesis generation through indirection and verification through direct methods.","purpose-confusion","Distractor A emphasizes efficiency over the core function (indirect generates hypothesis; direct verifies). Distractor C and D blur the distinction by restating complementarity without the sharpened roles. Teach: indirect FBA (interview, checklists) generates *hypotheses*; direct FBA (observation, functional analysis) *tests* them. One proposes; one confirms."
"PQ_DBD-07_7","Student mislabels well-regulated states or generic environmental conditions as typical risk-elevating setting events, missing the individualized linkage to behavior probability.","developmental-stage-mismatch","Distractor A treats sleep and emotional regulation as *elevating* problem behavior—backwards logic. Distractor B wrongly classifies prior praise as a risk factor. Distractor D offers generic weather without individualized evidence. Teach: a setting event is *specifically linked* to one student's increased behavior likelihood. ""When Marcus had an argument that morning, aggression spiked that afternoon"" is a setting event, not ""rainy days."""
"PQ_DBD-07_8","Student assumes teacher extinction can suppress behavior maintained by unaddressed peer reinforcement, ignoring the competing reinforcement source.","tier-level-confusion","Distractor A assumes teacher extinction is sufficient despite ongoing peer reinforcement. Distractor C predicts replacement gains while peers still reinforce calling-out. Teach: when multiple sources deliver reinforcement, extinction by one source is ineffective. Solution: either recruit peer buy-in or shift the target behavior to a context where peers cannot reinforce it."
"PQ_DBD-07_9","Student conflates assessment and planning processes or treats FBA and BIP as optional rather than procedurally mandated under disciplinary and placement safeguards.","norm-criterion-confusion","Distractor A treats FBA and BIP as one undifferentiated process. Distractor C reverses the sequence (BIP first, then FBA). Distractor D calls them optional. Teach the sequential logic: *FBA assesses (answers: why is the behavior happening?)*; *BIP plans (answers: what will we teach instead?)*. Both are required when a student faces discipline or change of placement."
