"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_CON-01_1","Students conflate indirect teacher-focused capacity building (consultee-centered) with direct environmental behavior modification strategies applied by the teacher to the student.","indirect-direct-confusion","Show distractor A: 'direct environmental modification.' Anchor teaching: Consultee-centered = teacher change, Behavioral consultation = student behavior change. Use comparison: 'Who's the target of growth? The teacher's thinking or the student's behavior?' Have students sort consultation models by target."
"PQ_CON-01_10","Students misinterpret graduated consultant withdrawal and skill-building coaching as evidence of continued dependency or crisis-level intervention necessity rather than capacity building success.","component-confusion","Distractor A reveals confusion about withdrawal timing. Teach explicitly: 'Reduced consultant involvement = teacher learned the skill.' Use video clip: coach gradually steps back. Have learners trace the consultant's role across time—when visible, when invisible."
"PQ_CON-01_11","Students accept global, subjective labels ('bad behavior') as sufficient for measurement without recognizing the operational definition requirement as the gating step for all behavioral consultation work.","label-retrieval","Distractors B, C, D all miss the core: 'bad behavior' is unmeasurable. Role-play correcting: Teacher says 'disrespectful.' Ask: 'What does that look like? Count what? Measure when?' Repeat until definition is concrete (e.g., 'talks out without hand raising')."
"PQ_CON-01_12","Students attribute inconsistent behavior narratives to trust deficits (distractor D) or collaboration failure (distractor A) rather than the foundational problem of unclear, unshared understanding of behavioral reality.","purpose-confusion","Distractors A, D conflate trust and respect with shared perception. Teach: 'Inconsistency = we're not seeing the same behavior.' Scenario: two teachers describe same child differently. Ask: 'Are they in the same setting? Are they measuring the same thing?' Use observer template to align perception."
"PQ_CON-01_13","Students assume one-way explanation of environment-behavior links, missing the consultee-centered requirement that caregivers jointly explore discrepancies through collaborative inquiry rather than receiving explanations or validations.","scope-undergeneralization","All distractors mix validation, explanation, and exploration in wrong proportions. Correct answer (B) centers collaborative inquiry. Teach the difference: 'I'll explain why (A)' vs. 'Let's figure out together (B).' Model with parent-teacher conversation; pause and ask: 'Is this explanation or exploration?'"
"PQ_CON-01_14","Students underestimate the necessity of direct observation and specific feedback as mechanisms for intervention integrity, instead assuming detailed written procedures and teacher good intentions are sufficient.","prerequisite-skipping","Distractor C assumes teacher consistency without monitoring; distractor A excludes parent involvement. Teach: 'Written + observation + feedback = integrity. Written alone fails 30% of the time.' Show video of teacher following vs. not following procedure; student must spot the difference and its impact."
"PQ_CON-01_15","Students jump to immediate program development and staff training before establishing relationship and understanding stakeholder concerns, mistaking change readiness for change agility.","sequence-inversion","Distractors A, C prioritize implementation; distractor D isolates early adopters. Correct answer (B) = relationship first. Teach: 'Your first job is listening, not selling.' Role-play: consultant enters resistant staff meeting. First 5 minutes: What are they actually worried about? Write it down before any research is presented."
"PQ_CON-01_16","Students privilege standardized assessment authority as the foundation for consultation entry instead of recognizing the consultee's own expertise about the student and classroom context as the initial knowledge source.","role-confusion","Distractors A, C, D all emphasize assessment or psychologist expertise. Correct answer (B) flips the hierarchy: teacher is expert on the student. Teach: 'Before you pull any test, ask the teacher: \What have you seen? What works?\"" That's your baseline.'"""
"PQ_CON-01_17","Students recommend abandoning interventions or intensifying them immediately upon first report of ineffectiveness, bypassing the critical step of analyzing implementation fidelity and actual student response data.","causation-correlation","Distractors A, D skip fidelity check; distractor C invokes special ed without data. Correct answer (B) = fidelity first. Teach: 'Not working could mean: (1) not tried yet, (2) not done right, (3) done right, no effect.' You must know which before changing anything. Review videotaped implementation samples."
"PQ_CON-01_18","Students treat behavioral and consultee-centered consultation as functionally equivalent by conflating student behavior analysis with teacher capacity growth, missing the fundamental distinction in intervention targets.","model-conflation","Distractors emphasize speed, data volume, or measurement instead of target clarity. The core: Behavioral = student behavior is the problem; Consultee-centered = teacher capacity/confidence is the problem. Use two case scenarios side by side: same student, different diagnoses, different consultation models."
