UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_MBH-04_1","Student relied on outdated 1-in-88 CDC prevalence statistic instead of consulting current 2023 surveillance data showing 1-in-36 ASD prevalence.","label-retrieval","Distractor A trades on real historical data that has been superseded. Show students the ADDM Network timeline of prevalence increases (2000→2023) and explicitly teach that epidemiological figures update with surveillance methodology. Use contrasting examples: 1-in-88 vs. 1-in-36 with publication dates side-by-side."
"PQ_MBH-04_10","Student conflated Oppositional Defiant Disorder (verbal defiance only) with Conduct Disorder (rights violations including theft and property destruction without remorse), missing the severity threshold criterion.","tier-level-confusion","Distractor A presents ODD as sufficient when theft and remorselessness require Conduct Disorder severity. Use a severity ladder: arguing → refusing → damaging property → stealing → harming others. Map each ODD symptom to distractor A, then show why distractors A alone cannot explain theft + remorse absence."
"PQ_MBH-04_11","Student conflated Generalized Anxiety Disorder (worry-based, non-trauma) with PTSD (trauma-specific intrusions, hypervigilance, and avoidance), treating all anxiety as equivalent.","model-conflation","Distractor A pairs with trauma exposure but misses trauma-specific features. Teach the PTSD signature: (1) traumatic stressor + (2) intrusions/nightmares about it + (3) arousal reactivity + (4) avoidance of reminders. For GAD, show worry across multiple domains without trauma tie. Use real case: same student with and without assault history."
"PQ_MBH-04_12","Student mistook lack of attachment behaviors for secure attachment, fundamentally inverting the attachment dimension; did not distinguish environmental neglect etiology from neurodevelopmental causes in ASD.","developmental-stage-mismatch","Distractor A inverts the attachment continuum (no seeking = secure?). Teach attachment styles using Mary Ainsworth's categories: secure (seeking), avoidant (ignoring), resistant (conflicted), disorganized (no strategy). Show that RAD stems from deprivation (reversible with caregiving) while ASD is neurodevelopmental (comorbid but distinct etiology)."
"PQ_MBH-04_13","Student reduced Intellectual Disability diagnosis to IQ score alone, omitting mandatory adaptive functioning assessment across conceptual, social, and practical domains required by DSM-5.","prerequisite-skipping","Distractors A and B both skip adaptive functioning entirely. Teach a two-gate model: IQ<70 opens gate 1, but gate 2 requires deficits in self-care, communication, social reciprocity, and safety. Use real example: student with IQ=65 but high adaptive functioning (no ID diagnosis) vs. IQ=72 with severe adaptive gaps (ID diagnosed)."
"PQ_MBH-04_14","Student conflated Specific Learning Disorder in Reading (domain-specific decoding deficit despite average IQ) with Intellectual Disability (global cognitive deficit), misapplying broader diagnosis.","scope-overgeneralization","Distractor A inappropriately generalizes to ID when SLD affects one domain only. Create a 2x2 matrix: (IQ: average/low) × (Reading: typical/impaired). Place SLD students in (average, impaired) cell; ID in (low, impaired). Use a student profile: normal math, normal verbal, poor decoding = SLD Reading, not ID."
"PQ_MBH-04_15","Student treated Selective Mutism as a phobia of social situations themselves (Specific Phobia) rather than anxiety-driven selective failure to speak in specific contexts, missing the situational selectivity.","component-confusion","Distractor A misnames the fear object (social situations = phobia?) when SM is anxiety about speaking itself, triggered by social performance contexts. Teach: SM = anxiety about speaking (component) in specific settings (context). Contrast with Specific Phobia of dogs (object fear). Use timeline: child speaks at home (no mutism) but not at school (selective, not global)."
"PQ_MBH-04_16","Student conflated rapid daily mood shifts (DMDD pattern) with multi-day distinct manic and depressive episodes (Bipolar I pattern), misidentifying episode duration and structure.","sequence-inversion","Distractor A reverses the temporal signature: Bipolar I has distinct episodes (days-to-weeks), DMDD has recurrent brief outbursts (minutes-to-hours) within persistent irritability. Create a timeline grid: Bipolar (Mon-Fri: manic high, then Sat-Sun: depressed low) vs. DMDD (multiple outbursts daily within same week). Show the child's actual outburst log."
"PQ_MBH-04_17","Student avoided immediate risk assessment and parent notification, instead normalizing or trivializing suicidal disclosures, placing the student in imminent danger.","role-confusion","Distractors A and C both abdicate the school psychologist's duty to assess and warn. Teach the risk management sequence: (1) assess intent/plan/access, (2) notify parents immediately, (3) notify admin, (4) refer to crisis/ED. Role-play a disclosure: show what to say (\"I'm glad you told me, I need to keep you safe\") vs. what not to say (\"That's normal, you'll feel better\")."
"PQ_MBH-04_18","Student isolated medication as standalone treatment when adolescent depression requires multimodal intervention (behavioral activation, cognitive restructuring, family support, monitoring) to address root causes.","treatment-assessment-confusion","Distractor A prescribes medication without psychoeducation or behavioral scaffolding. Teach a three-pillar model: (1) activate behavior (schedule valued activities), (2) restructure thoughts (identify and challenge negative self-talk), (3) engage family (psychoeducation, monitoring for safety). Show how skipping behavioral activation allows avoidance to strengthen depression."
